,sentiment,wordCount
"""Dolph Ziggler"" wow",0.5859,5
#BringBackTheInternetChampionship,0.0,1
#ROADTO30MILLION,0.0,1
#Return5things,0.0,1
#SaveHeathSlater Jajajajaja,0.0,2
#WWELOVE  #BRASIL,0.0,2
*ANYONE HERE JUST FOR THUMNAILS.*,0.0,8
*BLISSFULL*,0.0,3
"*You're
You're welcome",0.4588,4
*_2017>>>>>>2018_*,0.0,7
+,0.0,1
"1 like my comment
2 subscribe my channel
3 comment done 
4 i subscribe back",0.3612,15
2 million views on my 2 videos :) thank You Youtubers,0.6705,11
2+2 is 4-1=20 quick mafs,0.0,9
20 MILLION OH MY GAWWD,0.0,5
20 Million Subs Babe,0.0,4
20 Million Subs Yeah Baby !!!,0.4724,8
20 mil? back in 2011 (when i started watching WWE on TV) the universe had barely 1mil,0.0,20
20 million 3:16,0.0,3
20 million followers,0.0,3
20 million idiotic sheep point blank.,-0.5574,7
20 million subs and only 500k watching your videos lmfao that's not very good. Wrestling hasn't been good in decades and the characters are trash!,-0.2588,27
"20 million subscribers but can barley pull off 20k,  we'll this video will get around 3 million but okay.",0.3291,21
20m subs and not even a million views yet,0.0,9
22.000.000,0.0,3
"2:14 

You are not dolph ziggler",0.0,6
2🌽.🌽🌽🌽.🌽🌽🌽  🍻🍰🍩,0.0,13
30 millions go go Youtubers 🔝🔝🔝😎😎😎😎,0.0,11
3:16,0.0,1
"50m, 500k view on 2 day",0.0,7
"ARGENTINA
ARGENTINA
ARGENTINA",0.0,3
Aj styles is the best,0.6369,5
Alexa Bliss sed 20 bilion xd,0.8176,6
Alexa said she has a daughter wtf.,-0.5859,8
At 1:01 ms bliss said 20 billion sub lol,0.7579,9
Batista vs brock lesnar 2018,0.0,5
Battery render still generally away challenge cite let now outdoor freeze,0.128,11
Been here since 1 mill,0.0,5
Breeze and Ziggler Hahahahahaha  Love it!,0.6696,7
Bring back Tom Philips,0.0,4
Bring back the JBL & Cole show,0.0,7
Bring it back zack,0.0,4
Bunch of jokers,0.0,3
CONGRATS WWE,0.5267,2
Came here to see Alexa bliss booty,0.5719,7
Can I please I have subscribers,0.3182,6
Clicked because I saw Alexa,0.0,5
Congo,0.0,1
"Congrats
🍾",0.5267,2
Congrats WWE,0.5267,2
"Congrats WWE 
I love you",0.8225,5
Congrats and hope u have a merry Christmas,0.8689,8
Congrats and now I feel like getting a WM ticket from WWE and I actually want now! I subscribed when they had like 18 or 19 Million subscribers.,0.8398,30
"Congrats on the 20M subs, WWE. Double congrats on being trending.",0.7783,14
Congrats well done i love ur channel,0.8658,7
Congrats wwe,0.5267,2
Congrats.,0.5267,2
Congratulation WWE,0.5994,2
Congratulation WWE for 20 sub,0.5994,5
Congratulation wwe,0.5994,2
Congratulations,0.5994,1
Congratulations *WWF*,0.5994,4
"Congratulations 20,000,000 Subs",0.5994,5
Congratulations WWE,0.5994,2
Congratulations WWE I Love U,0.8442,5
Congratulations WWE for 20 Million Subscribers i am very happy  Thank You WWE,0.8927,13
"Congratulations on reaching 20 million YouTube subscribers, WWE! You really deserve it! :D",0.8905,16
Congratulations universe of the wwe for the 20 million subscribers since for me and for all the fans know that the wwe is the best fight of the sports entertainment that has existed and never stop being the best fight company that has seen in this world and it's the truth is the damn truth greetings from bolivia,0.9476,58
Congratulations wwe,0.5994,2
Congratulations wwe on the completion of this milestone,0.5994,8
Congratulations wwe universe my message is for dean ambrose he is my favorite player please send a message for me,0.8481,20
Congratulations ❤,0.5994,2
Congratulations 🎉🎊🎆🎇🎉🎊🎇 merry Christmas,0.8126,10
Congratulations!!!! 🎊🎉🎊,0.0,7
Daddy was a fall down man!,0.0,7
Didn't even know who Cole was cause he's so annoying,-0.541,10
