,sentiment,wordCount
*I am so READY*,0.0,6
"*V* iolence
*F* ire
*D* espair",0.0,12
*two episodes,0.0,3
"........








 I THOUGHT IT WOULDN’T CONTINUE..






*Im so happy there’s more T^T*",0.6948,21
0:21,0.0,1
0:28 Said this on another trailer but I really can't stress enough how much that girl looks like a drag queen,0.6503,21
"0:30 is that Jacques Snicket and someone else, or is that Jerome and Esme Squalor, and who are those other people at 0:50?",0.0,26
0:31 Is that.. Is that Carmelita Spats ?,0.0,9
0:34 Can someone please tell me what he's saying,0.3182,9
"0:58
Count Olaf:I can't wait

Me too count olaf, me too",0.0,14
22 more days,0.0,3
23!,0.0,2
24 days,0.0,2
25 more days!!,0.0,5
:0 OMG I CAN WAIT IT COME OUT THIS MONTH :),0.4588,12
ABOUT TIMEEEEEE,0.0,2
AH IT LOOKS SO GOOD CAN'T WAIT,0.4927,7
Ahh yeaaahh,0.0,2
"And i thought the villion was bad already, but jeez!",-0.3699,12
Anyone here want to see the REAL Baudelaire parents?,0.0772,10
Ava Linaker-Bates march 30th,0.0,4
Ava Linaker-Bates yes. March 30th 2018. Sorry. I misunderstood at first,0.0,14
"Bork, doggo, Bork they will",0.0,7
Brittany Weaver  Cool!,0.3802,4
Brittany Weaver  I'm planning on getting an ASOUE shirt from there. Best store ever!,0.6696,16
"Brittany Weaver  It's cool you got the necklace, too. Hot Topic is literally my favorite store ever. They have ASOUE, Melanie Martinez, Halsey, and Imagine Dragons merchandise; basically everything I love all in one store. Not to mention the Gothic clothing...💖",0.8591,51
"Brittany Weaver  Oooh, you're cool! 😎😍💗",0.3802,10
Brittany Weaver  You are very welcome 😀,0.5095,7
Can not wait for this show.,0.0,7
Can you pweez put some assembly required on Netflix,0.0,9
Carl Grimes sorry I meant March 30 but    2018 or.?,-0.1655,12
Cool 😀😃😄🎃🎥🔪,0.3182,7
"Count Olaf--Who Is a Big Fangirl of me!? *Laughs happily*

Asoue girl Fans  *Back up*

Count Olaf---*sighs* no girl will never love me i am to ugly

Me *runs up to Count Olaf and hugs him* your not ugly your handsome and hot and I love you 

Count Olaf--*Blushes and smiles*

Me--*Looks into his bule eyes*

Count Olaf--*Puts his hand undereneth my chin and kisses me*",-0.8297,95
Does it make us bad people if we actually ENJOY this? I wondered that so...,0.1111,17
DrewZepp 5-9,0.0,2
EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEKKKKKKKKKKKKKKKKKKKKKK,0.0,1
Even though Season 2 is a hype to be happy for... I'm disappointed and sad for the wait and hiatus we had and still have to suffer for.,-0.7184,30
FINALLY YES!!!,0.5538,5
"FINALLY!! 
Not what i expected Esmé to look like and at 0:30. Is that Carmalita? Alrightyyy. Interterested how it'll pan out with Kit and others",0.4738,30
FRICKEN PUMPED,0.0,2
Final mente salió la temporada 2,0.0,6
Finally! I can't wait!!! I'm a fan of the books!!! Come on March 30!!!😀,-0.4819,25
Finally!! I’ve been waiting what feels like a hundred years!!,0.5673,16
HYYYYYPEEEE,0.0,1
Hello with RUSSIA,0.0,3
Help us...,0.4019,3
"How many books are in season  2??, same as 1. 4 books",0.0,16
I A M F U C K I N G HYYYPPPEDDD,0.0,11
I AM SOOOOOOO READY FOR THIS,0.3612,6
I CANT WAIT!!!! (I’m on the 8th book I’d better start reading),0.6209,21
I GAVE THIS UP FOR LENT catholic probs amiright,0.0,9
I LOVE THE CALAGARI CARNIVAL,0.6369,5
I M S O E X C I T E D,0.0,11
I am also reading the 📖,0.0,6
I am ready,0.3612,3
I am so excited! Can’t wait till March 30th!,0.5068,13
I am so freaking excited!!!,-0.3162,8
I am so ready I’ve been watching for so long I have been re-watching season one and just can’t wait,0.4201,24
I can't wait I grew up reading the books,0.0,9
I can't wait I just can't wait I need it I need it,0.0,13
"I cant wait!!!!!
But... I'm afraid of doctors!!
Lucky me!",0.6083,17
I can’t wait!!!,0.0,8
"I can’t wait, this was my favorite book series and I was afraid they wouldn’t make a season 2",0.4588,24
I didnt realize that was a sad occasion,-0.4767,8
I didn’t realise this was a sad occasion,-0.4767,10
I hated the ending to the book series so much should Wrote a sequel,-0.6369,14
I haven't watched this show yet but is Count Olaf a funny character in this series? I remember in the books he was vicious and cruel,-0.6808,27
I hope they release the entire series at once,0.4404,9
I just want Olaf to actually be frightening rather than satirical,-0.4404,11
"I knew the ending of season one needed to be better, but that’s not how the story goes. 🎼🎤",0.2382,24
"I know it never happened in the books, but I really wanna see Neil and Patrick interact together as Olaf and Snicket, even if it's just a flashback.",0.0,31
I know we are supposed to hate the count but i cant help but like him its sort of like borderlands u hate the bad guy but cant help but love them at the same time XD,-0.9662,37
I love the books. I love the show!,0.8655,10
I love the unwanted elective surgeries,0.5106,6
I love you,0.6369,3
"I really also love the way they made the seasons, the fact that the second one will go from book five (when Snicket was free to start the VFD plotline) to book nine (when it stopped being just a mistery and became the main conflict, particularly considering who is introduced in book ten) mirrors perfectly the evolution of the series.",0.8683,67
I still wish Jim would return...,0.4019,7
I wonder who's going to play Fiona and Captain Widdershins?,0.34,11
I would do ANYTHING to be on this show!!!!!,0.0,12
I'll be in Florida when this is on Netflix but I'm staying up at midnight  in Florida at my grandparents house and watching it 😁😁😁😁,0.0,27
I'm a stable person why won't I look away,0.296,9
"I'm late and I'm so excited.
Love season 1 and season 2 is looking great.",0.9135,17
I'm sooo looking for this😂😂😍😍,0.0,9
I'm soooo exited I've red all the books but I'm still exited,0.0,12
I've been preparing this for all my life.. Or since I finished the first season. I read the hospital one already so I saw some scenes that I knew were gonna happen but I'M PUMPED!!!,0.0,40
I've been waiting all my life for this fucking season,0.0,10
I. Wanna. See. Hector. So. BADDDD,0.0,11
IM SHOOK AND EXCITED,0.25,4
IM SO HAPPY😇😇😇😇,0.0,6
IM SO HYPED UP!,0.0,5
