,sentiment,wordCount
"@Jeff Wilson.    Awwww, A little butt hurt there Snowflake?",-0.4804,12
Because youve shook hands like this before right?,0.2732,9
Big deal.,0.0,3
Donald Trump sucks!,-0.4199,4
Genius!,0.0,2
He wasn’t trying to not shake his hand the fact the position they’re all in is awkward AF to begin with he was simply trying to balance himself compare to how short everyone else is next to him lmao I swear media tries to portray him a lot worse than what Libs already portray him as,-0.2755,60
I died,-0.5574,2
Issac Kaiser don't forget whipped topping on chocolate cream pie.,0.1695,11
Just another idiotic display from this man. No big deal at all. He's an idiot. Who cares.,-0.7269,21
Our President did it with a good-natured smile!  Gotta luv Trump!,0.4738,13
"Satan

 always going to be around can you see me",0.0,10
Seljačina. :D,0.6166,3
Seriously rappler? Wla n b tlga kaung mabalita?,-0.264,10
True,0.4215,1
Truly is a divider.,0.4404,5
Trump is a funny guy,0.4404,5
Trying hard talaga kayo sa pagiging anti-duterte Rappler. Nakakatawa kayo.haha,-0.1027,11
"Two scoops.
Dead koi.
F-ck off.",-0.6486,9
Why always Trump? Don't you look the right of Vietnamese PM in 0:22?? He was wrong to follow the ASEAN handshake. Who was him?,-0.6199,29
[sign],0.0,3
americunts....HAHAHAHAHA XD,0.6739,4
"hahaha, asean might be poor, but this rich us president sure is idiot",0.3291,15
"he did fine as usual,  its the libtard media that sucks.",-0.1779,13
"https://youtu.be/_mL7LSK09Wo
Trump on oprah winfrey show",0.0,6
"look at all these bozos , no wonder this world is so messed up.",-0.6504,15
pati ba naman to hahahahhaa tsk tsk... kawawang rappler,0.0,10
"still hurt, hillary? :)",-0.1027,6
"vamos mantequilla BuT wHuT aBuT hiLLerY,",0.0,7
very misleading! Watch the footage at the start! Trump actually is exchanging his hands but not intend to grab it with both hands! Though i dont like trump but this is nonsense at all!,-0.8548,38
yeah exactly..Trump is actually funny..i love that! #MAGA,0.7712,13
Идиоты.,0.0,2
"На цепочку похоже, цепочку ДНК. Живой мост, так сказать.",0.0,13
😁😂😅,0.0,3
😂😂😂,0.0,3
