,sentiment,wordCount
3K views and it's on trending. What the hell is wrong with this site?,-0.8271,16
Amazing role in the greatest show!!! She is so amazing,0.9407,13
Bagavathy Kumaran at least she's hotter than any dark skin black girl could be.,0.0,15
FirstTime ISawJupiter HA!,0.5307,4
Happy Holidays 🎄✴👍👏❤.,0.743,8
I'm so sorry. But I thought this sas Lizzy from GMM. Sorry bye.,-0.2247,16
It’s also known as Beyonce’s Girl band,0.0,11
"Mike Buttfild the second best-selling girl group with complete sales reviews, third if we include the Supremes",0.0,18
MrRobynLover for real. She messed up the delivery and ended up sounding like she was having a seizure instead.,0.0258,21
"MrRobynLover you tell it better than, mister funny guy",0.7003,10
They sure look a like,0.5859,5
This is top trending material right here good job YouTube ($$$),0.5719,15
Too bad her name isn't Beyonce....,-0.5423,7
Trending is paid for it's damn apparent.,-0.4019,8
Very poorly told anecdote on her part,0.0,7
What an ugly Woman.,-0.5106,5
Who is Destiny Child anyway?,0.0,6
because she is stupid,-0.5267,4
fuck you,-0.5423,2
salty,0.0,1
thumbs down,0.0,2
"what the fuck is wrong with youtube? this has 3k views, on fucking trending.",-0.765,17
