,sentiment,wordCount
"""Er... ohh... arrrgh... ask me anything else."" XD",0.6739,14
"""Who's president?"" LOLLLLL I'M DYING",0.0,8
#WF4lyfe,0.0,1
#supportWongFu,0.0,1
*totally* not crying,0.3724,5
"+1 I just discovered your channel today, and I've not stopped watching! Keep it up!!!",0.428,21
"15 years u give us original content!  Yeah dont give a damn thing with other channel especially with ""gold digger prank"" and ""social experiment"" that truly fake! Lol",0.8378,34
"2:20 Shows Chris' face, cuts to Dr. Who intro XD",0.516,13
3 million subscribera but every single one of them is faith and a true fan to Wong Fu were not just subscribers we're the Wong Fu family!,-0.722,28
7:19 hahahhaa,0.0,2
AWWWWW <3 so proud to be a part of the Wong Fu family and so proud of you guys!! #wongfu4lyfe,0.7761,22
All i got from this is that they're gonna make something called Yappie and i cant wait,0.0,17
"And I, too rarely ever writes a comment on here so please know how amazing you guys are! Because I can sense there are some things you said on the video that you may really feel, anytime you feel that way please remember the 2011 you! Please know When We See It has helped me through a rough semester :')",0.9429,64
And Trump becomes a president lol 😂,0.4215,7
And u win one SUBSCRIBER for a near 4M and more 🏆❤️❤️❤️❤️😊😘😘😘😘😘,0.5859,24
Asian don’t Rasin THEY ALMOST LOOK EXACTLY THE SAME,0.0,11
Best One!!!!!,0.7482,5
Bring wong fu weekends back!!,-0.7418,7
"But wait, if he talked to past phil, then he changed the future. Wouldn't future phil know about what happened and the talk?",0.0,27
Can't wait for yappie to come out then lol,0.4215,9
Cathy got married?! Hahaha his reaction.....,0.5983,9
Chris forgot to add that Phil became a K-pop star with 2 charting songs.,0.0,15
Chris gains more hair when he time travels to the past...,0.34,12
"Congrats on 3 million!
https://www.youtube.com/watch?v=UQqb8EXhoto",0.5707,6
"Congratulations guys, the videos you produce show your dedication and professionalism at making great content. One day there will be, Wong Fu - the movie!",0.5562,29
DAMN how do y'all recreate certain scenes of ur old vids. Even have ur old hair back,-0.3254,18
Damn I must feelin some type of way but this video made me hella cry I love you guys and the videos you put out for us 3M and up from here on out thanks for helping me through your videos that so many of us can relate too,0.814,49
"Damn...your channel is now the same age as me. Crazy. I remember I was SUCH a big fan of you in 2011. I was seven or eight at that time and I was just blown away by you, Ryan Higa and kevjumba. Good times. You guys were my childhood and it's really nostalgic thinking back to those days. Thanks for everything, and I'm so glad I've found you again and am now obsessed with everything that you make :) Here's to a fun journey ahead!",0.9378,96
