,sentiment,wordCount
"""Because I forgot mine""😂",0.0,7
"""I don't have a super sunny disposition""  Can Anna please sing pulled from the addams family?",-0.4902,19
"""What's happening. Is someone hitting me in the face?""",0.0,13
"""no, I don't have any""
Any traits??
That makes sense actually",0.0,16
",Canada and britten has all the talent",0.4215,8
",fat Amy I luv her",0.0,6
0:41 anna camp,0.0,3
1DKidrxuhl are you in love,0.6369,5
1DKidrxuhl oh,0.0,2
1DKidrxuhl they're my favorite,0.4588,4
2:12 Anna Kendrick's face! lol,0.4753,6
4:12 haha,0.4588,2
5:20 I wanna hear Rebel's joke lol,0.6124,7
Alex Townsend which anna tho 🤔,0.0,6
Amy that’s her name from pitch perfect the British 1 there all my favorite,0.7717,16
And my mom,0.0,3
And my name is Kendrick 😂,0.0,6
"Anna ""the lame RA"" Kendrick <3",0.0258,8
Anna Camp definitely still has a bra on,0.4019,8
Anna Camp is so pretty.,0.6269,6
Anna Camp? I thought her name was Skyler Astin.,0.0,11
Anna K.- hate to say this... TMI📰,-0.5719,11
Anna Kendrick so cute I wanna pinch her nose .... ❤️,0.5949,12
Anna Kendrick😘💕,0.0,4
Anna camp is so beautiful.,0.7177,6
Anna seems like a b,0.3612,5
Brittany is much shyer compared to the others but she’s so sweet and quirky and down to earth! I love this cast so much !,0.9229,28
Brittany is soooooo gorgeous!!!!!!!!,0.0,7
Brittany’s trait should have been her inability to drink out of a public water fountain xD,0.2732,18
Brittneys dress is so beautiful😍,0.0,6
Can I be Brittany Snow please?!! She's unbelievably beautiful :0,0.6982,14
Can they make another part of Pitch Perfect ❤😭❤😭❤,0.5719,13
Can you pick me to be on your show,0.0,9
Captain Jack Sparrow Zayn isn’t my wallpaper. That’s Justin Bieber.,0.0,16
Clickbait 101 😁,0.0,3
Did anyone else spend the whole time trying to see if u could tell,0.0,14
Did ya know that Link from Rhett and Link loves the Pitch perfect movies,0.8126,14
"Do you ever just think to yourself ""Damn, I have a lot of serial killer traits. Weird."" Because I don't, but I do now, and now I am just confused.",-0.6808,38
Elen all for of those women,0.0,6
Ellen is looking more and more like an Alan as he/she gets older.,0.469,16
Ellen this is ladies or man,0.0,6
Ellen this is ladies or no,-0.296,6
Ellen usually does the talking but she didn’t talk at all. They just kept changing the subject every 2 seconds and it’s hilarious,0.5499,28
Ellen your serial killer trait is your hate of cotton balls. Hands down. Lolol,-0.8402,16
"Ellen, if you're reading this I ❤ singing more than anything, and they are my role models, just like you!😍 P.S. I absolutely LOVE 'Ellen's Game Of Games'❤ Like... You take such joy in dumping women into Lemon Meringue pie!😂 Love you Ellen💜💜",0.9433,59
Emily Clarke ellen is the host and didn't even had that much chance,0.25,13
Everyone's laughing at the girls and all then there's just me laughing at the guy at the very end x))))))),0.7506,23
Excellent trilogy!!! These ladies are so funny and so talented. Oh and Anna if you're watching.. I love you!!!,0.9545,27
Fat Amy ;D,0.368,3
Fat Amy lol,0.4215,3
Fun!,0.5562,2
Her fear of cotton balls is Ellen's serial killer trait.,-0.8176,11
Here&there Where which Anna 😂,0.0,7
Hi Andy,0.0,2
How can you only watch a movie once?!? I watched pitch perfect like 20 times when it first came out,0.7815,23
How do you forget to wear a bra??,-0.3094,10
How old is Ellen?!,0.0,6
"How the heck do you 'forgot to wear a bra'??

I mean, I'd imagine there are 2 types of women (in context):
1. Always, always, always wear a bra, at least when going outdoor. In which case, she's ridiculous to forget to wear a bra to a TV show.
2. Indifferent, to wear or not, either way is the same. In which case, she would've just gone braless herself, especially since she was wearing buttoned up blouse + jacket.",-0.6767,100
I LOVEE KENDRICK but in this inteview..I felt like she was annoying to me bcoz other ladies barely speak bcoz she kept on talking and talking not giving other ladies a chance to speak.. shes so hype,-0.091,40
I Love PitchPerfect123 I Love you BecaChloeAubrey,0.8555,8
I am Ellen on the Group ! i repeat I am Ellen on the group 😂😂,0.0,17
I am a little girl and i am a good girl i and a am a fan,0.6369,17
I didn't feel Ellen's existence here 😂,0.0,7
"I feel like Brittany is just there, she's only gets like 3 chances to talk",0.7003,16
I have seen Pitch Perfect 1 and 2 more than 10 tines fear Rebel 😂✋🏻✋🏻,-0.0258,19
I have seen Pitch Perfect 5 million times.......i love it,0.836,12
I have the feeling that they discussed the serial killer trait a few times already lol,-0.25,16
"I have the same trait as Rebel, literally my favorite movie is the only one I have seen twice",0.34,20
I just watched it! It was great as always.,0.6588,11
I know every word to Pitch Perfect 2,0.5719,8
I know her cereal killer trait she doesnt wear short sleve chirts,-0.6486,12
I know my Serial Killer Trait....I watch ro much Pitch Perfect...😂😂😂,-0.6486,17
"I like Anna  Kendrick,Anna camp and rebel And Brittany",0.2263,11
I like bechloe ❤,0.3612,4
I love Anna,0.6369,3
I love he new outro where ellen scares Andy like it makes me laugh histaerically every time it's also like. 5 am so I should sleep lel,0.886,28
I love pitch perfect best movies ever ❤️❤️😂,0.9201,12
"I love pitch perfect, there so pretty and tanented😍😍😋😋",0.908,14
I love the Pitch Perfect girls. Can’t fault them! ❤️❤️😍,0.7574,18
I love the sound of camp's laugh 😁😀,0.8316,9
I love them so much. This cast is great,0.8519,10
I love these girls,0.6369,4
I love these girls together haha,0.802,6
I love these girls. ❤️,0.6369,7
I never watch movies more than ones but I saw pitch perfect like 5 now 😂they’re amazing ❤️,0.9382,22
I only watch movies once or it will be boring,-0.3182,10
"I prefer orange gummies  too      
there my favorite",0.4588,8
I prefer red vitamin gummies,0.296,5
I prefer the orange also tbh,0.0,6
I really can’t stand how Anna kendric interrupts everyone,-0.3182,11
I really love Pat Amy 😊,0.6697,6
I think this is the only time Ellen didnt talk that much cause the girls got too excited and talk a lot 😂😂😂,0.34,25
I think this was the longest time ellen didn't talk in 😂😂😂,0.0,14
I want an orgy with all of the girls💜💛💚💙❤👭🌈💯,0.0772,17
I watch every pitch perfect movie about 4 times each a year besides when the next one isn't out yet,0.5719,20
I watched all the Pitch Perfect movies,0.5719,7
"I watched pitch perfect 1 like 5 times and pitch perfect 2 like 10 times and PP 3 1 time!
Lol",0.9381,22
I watched pitch perfect so much❤️❤️😘😘,0.5719,12
I watched them talking on this video half way...and suddenly I felt dizzyyy.....,0.0,16
I went to watch the third movie and I asked my mom how in the world is this rated PG-13,0.0,22
I'm Stuck She talks on the show nearly everyday! Brittany is a guest and deserves to talk since she has only been there like once or twice,0.2003,28
I'm going to see pitch perfect 3 on my bday yayayayayya,0.5719,11
"I'm such a big fan and want to become an actress just like them 
According to my friends and family I have an really good singing voice and I've been in so many school productions as the lead roles
Luv being on stage so much and want to be them so badly",0.7719,52
"I'm the same way as Rebel! I can't watch most movies twice. Mainly bc there's just so much else I could be watching, I want to spend my time wisely, ya know?",0.4199,37
I'm with Rebel on the movie thing!,-0.2244,8
If only I had those Anna Kendrick super powers.  Ask a girl for their bra and they just hand it over no questions asked.,0.7096,26
In Baton Rouge Lousiana I live there OMG,0.0,8
Is BECHLOE gonna happen!? That's what I wanna know!,0.0,12
Is it a coincidence that pitch perfect 3 ad came on?,0.5719,12
Is rebel wilson fat amy,-0.1531,5
