,sentiment,wordCount
"""Flappy Fold"" is an excellent term! ;-) LOL",0.8599,11
"#26 on trending💛 gorgeous holiday look , I love u Alissa",0.8979,12
#28 on trending 🎉🎉,0.0,5
*MY GIRL IS ON A ROLL AYYY*,0.0,9
@alissa where did you get that puma mustard shirt?????? Please link it. I have to have it. I absolutely have to get it frfr❤️❤️❤️❤️❤️,0.504,39
Absolutely stunning!!! I’m so happy you’re doing tutorials again!! I love when you do these kinds of videos!!! 😍😍😍,0.9225,33
Alissa i didn't catch what lipstick you used to line. It's beautiful so would love to know the name. Could you put the names of products in the description,0.8548,31
Alissa you are stunning!! I think you are absolutely beautiful 😊,0.8114,13
Alissa you're so god damn beautiful. I really y can't wait to see a New Years look from you.,0.6029,21
"Alissa,you are very beautiful with and without makeup. Love watching your channel.",0.2083,16
Always gorgeous 😍,0.6124,3
"Alyssa I discovered you after watching a couple of Auntie Jackie’s vlog videos and I am glad I did. I love your style and makeup techniques. As a fellow hooded eye sister, I thoroughly enjoy your videos especially because you give me the courage to rock eyeshadow in ways I’d never known possible.",0.9312,61
Amazing 😉,0.5859,2
Amber rose wannabe,0.0,3
Beautiful,0.5994,1
Beautiful as always! Wish I could recreate something like this but I'm not wear near as good as you and I'd look like a clown.,0.9089,27
Beautiful yet subtle 😍😍😍,0.5994,6
Beautiful 😍🔥,0.5994,3
Beautiful!,0.636,2
Beautiful!!!! I wish I had nice skin. I can never seem to put on makeup without it looking cakey right after...my pores suck and I have dry patches on my nose and forehead...could you do a skincare routine or how to not cake your makeup maybe you could do one for dry skin and oily skin or just like say the difference. Hope this makes sense! LOL love you!!!! ❤️❤️❤️☺️😘😘,0.9509,92
Can you do a tutorial on your eyebrows? Very nice.,0.4754,12
Can you do a tutorial using Pat McGrath,0.0,8
Cc je comprend pas donc counia manmanw,0.0,7
Damn you make everything look so easy,0.2596,7
Delightful,0.5859,1
Does anyone know what lashes she’s wearing??,0.0,11
Does the brown base trick work for darker skin as well in your opinion? I'm a deep milk chocolate completion and I want to do this look but I'm wondering if the natural brown color of my eye lid is sufficient.,0.5927,43
Easy Slayyyyyyyyyyy,0.4404,2
Exactly. I'd love to see her wear that alone,0.4939,10
"FLAPPY FOLD ❤️❤️❤️❤️ 
That’s for y’all haters that don’t like that word. It’s cute. It’s Alissa. Get over it 😝",0.3182,40
Fav glammm,0.4588,2
"First of allllll u look gorgeous. Love the look thank u for filming it. Andddd I love ur sweater, and ur overall style 😍😍",0.9423,28
