,sentiment,wordCount
!!,0.0,2
"""That was cool, but I aint watching it a second time."" (watches it again)
""That was neat, really, a third time? Nope. WAIT THERE'S A CAMERA ON THE CAR!"" (watches it a third time)",0.7133,49
#ModernPlay,0.0,1
+114514pts,0.0,2
. ♪ . ♪ . ♪ .♪  ...(≧Д≦)!!!,0.0,17
..i watched the POV at 1:14 to the end in 0.25 speed slo-motion and think ending under the start with an elevator back would be 'boss',0.0,29
10/10!,0.0,2
1145141919810,0.0,2
1:17 I'm on a rollercoaster!!!,0.0,8
1:42 bro you hit my car,0.0,6
"1:45 ""Hope you got insurance!"" 😤😡",0.4926,10
360 version would be flippin' amazing,0.624,7
360 video?,0.0,3
A 360° degree camera would have made it VR compatible and really cool,0.3804,14
Amazing looks video game,0.5859,4
Another entertaining ride! I love it that you did the part with the whole thing in one take - I know that was tough to do,0.784,27
Another triumph!,0.5255,3
Anyone remember the game on pc? You could be on a beach and a lawn while racing,0.0,18
Awesome,0.6249,1
Awesome work!,0.6588,3
Awesome! During the first two laps I thought to myself how cool it would be if he'd used some sort of mini camera... 3rd lap mini camera :9,0.7712,31
Awesome... Love the ride. :-D,0.8494,7
Awsome,0.0,1
B-Beast Senpai?!,0.0,4
"BGM
https://youtu.be/Wr3L8kUnr4Y",0.0,2
Back round music 👍🏽,0.0,5
"Bae: I'm home alone
Me:",-0.25,7
Brilliant! I want to see more!,0.6892,8
Bro that first person view tho fucken beast 👍 props,0.0,10
By GoPro,0.0,2
C R E A T I V E,0.0,8
Can you make a longest Lego coaster with a camera and a random Lego Man?,0.0,16
Check out         Love Acoustic Style - My Favorite Time of Year (Christmas)       Enjoy!!!!!,0.8544,18
Cool hotwheels track and cool tecno rave tune,0.5574,8
Cool nice can you. Make a all house race track,0.6249,11
Cool track build.,0.3182,4
Cool!,0.3802,2
Cool!!!!,0.0,4
Could you imagine watching something like this in VR,0.3612,9
DEFINITELY A +1 SUB because of the different POV's!,0.5754,11
Damn I remember the days of playing with hot wheels all the time,-0.2263,13
Every 8 year olds dream track.,0.25,7
"FPR , first person racing...",0.0,6
Fast 9 trailer,0.0,3
Felt like I was in RCT3,0.3612,7
"Fine. I’ll go see Downsizing, you’ve convinced me.",0.5423,15
Forza Horizon 3 FTW,0.5766,4
Glad you enjoyed it Sean!,0.7644,6
Great video and even greater memories...,0.765,7
Grown men playing with hot wheels smh lol,0.3182,8
HOT WHEELS!!! 🔥🔥🔥,0.0,8
Have you ever tried getting one of those hot wheels cars with a camera in them for tracks with pov?,0.0,21
Hello guys can you guys help a small Channel out by subscribing it would mean a lot to me,0.4019,19
Hey I have that green bug,0.0,6
Hey bro nice track I just subbed can you please check my channel out,0.6249,14
"Homemade videos like this is the reason youtube exists. Not ridiculous youtube celebrities, not channels of people playing video games, not wacky conspiracy theories.",0.5538,28
Hotgoo Wheels,0.0,2
How hotwheels turn right and lapft side,0.0,7
"I Love this!!! So, COOL, what I always wanted to do - build a really cool, long hot wheels track and have all the hot wheels to drive on it!!!  I'm in my 50's and still love them!! You go-HOT WHEELS HAPPINESS!!!!!",0.9476,58
"I clicked this video, because it isn't clickbait, and it looked cute. I'm subbing you, because none of your videos have clickbait titles, and they all look cute. Well done. Maintain your integrity.",0.8658,41
"I had some Hot Wheels Sizzler cars in the early 70' s. They were amazingly fast for micro electric , rechargeable cars.Did they ever come back? Maybe modernized?",0.0,32
I like this! 😍😊👍,0.4199,7
I like your videos they are amazing,0.743,7
I love You!,0.6696,4
I love the camera on the car it feels like your driving it,0.7717,13
"I remember my old Hot Wheels track. I would make coasters with the track, long before I broke my fear of riding one. I always wished there was a way for me to ""view"" what the car would see on the tracks I created. You just made this a reality for me, decades later. Ha ha.",-0.0516,65
"I try stuff like this when I was a kid, my car falls off the track within 10 seconds",0.3612,20
"I was having fun watching when suddenly we got an ""in car"" view and I audibly said ""YES!"" Out loud! Ha Ha! Awesome video!!",0.9241,33
I was just gonna complain about the cuts in the video,-0.5719,11
"I was like, 'this video needs fpv'.  But then 1:58.",0.3612,15
I wonder what the scale speed would be if a car was actually traveling that fast. I'm going to guess about 100mph? :),0.4588,25
I'm in the best part of YouTube again.,0.6369,9
I've been subbed for awhile and love the hot wheels and track videos and even the filming but i think this one could've had some more fluid and steady camera shots would be nice.,0.743,35
If I was a tiny person riding that coaster I would have crapped my pants a couple times.,0.0,19
If you are reading this please help me fulfill my new years resolution and watch a few of my videos and subscribe please the money is going to a good cause and I need all of your help,0.9377,38
Imagine how many times it took to record each scene lmao,0.5994,11
I’m so entertained by this 😂😂,0.4576,9
JUst donent say lil bro,0.0,5
"Jeez, how small was that POV camera?",0.0,9
Let's be honest. Grown-up human beings spending hours with this ... and it's just so ... so TOTALLY WORTH IT! AWESOME!,0.939,24
"Loved the video,, hated the music.. 
.",-0.0772,9
Minecraft sucks (shhh the triggered kids might be coming),-0.3612,11
"My question is how'd he get all those shots? Did he have multiple people recording every piece, or did he spend his own time redoing the process but him just doing every POV separately. *oof*",0.0,40
Nice,0.4215,1
Nice how they get the camera in the car,0.4215,9
Nice video,0.4215,2
Nicely done!  After I watched the 2nd car go down the track I was thinking it would be cool to have a on car camera and boom you had one on your 3rd car! Awesome!,0.88,38
Niiice,0.0,1
None of the cars had clothes. DEMONITIZED!!!,0.0,11
Not a Hot Wheels toy would make it through this run though.,0.0,13
"Not impressed. When I was young, I had enough Hot Wheels track to span a 4 acre field. I had dozens of jumps and loops and booster sections, over a half-mile of track, and a few hundred cars. Psshhh...If only I had a camera when I was young, I could upload Hot Wheels heaven for you people... I did get giddy when the camera car was rolling though. That was very cool.",0.8122,84
"OMG!  I started laughing out loud when you set the car with the camera on the track!  I got my first Hot Wheels® setup in 1969, and I wanted SO badly to ride in those cars.  I just got to.  Thanks for the fun ride and a great video!  :D",0.9358,57
OMGGGGGGGGG,0.0,1
OUTRO SONG!?,0.0,4
Oh shit... this is beautiful,0.5994,6
Ohhhhhh yeaaaaaaaa,0.0,2
Please subscribe to my YouTube channel were trying to get to 100 before the end of 2017,0.3182,17
Qdsa,0.0,1
"Reminds me of Hot Wheels Beat That, ahh the memories.",0.0,12
"Reminds me of the game Stunt Track Driver, way back when Windows 98/2000 was a thing. I was obsessed with that game for MONTHS.",-0.1779,27
"STUNT TRACK DRIVER AND GETTIN' DIRTY VIDEO GAMES BY MATTEL 

SO NOSTALGIC!",-0.4926,14
Should be a rollercoaster ride that would be epic.,0.0,10
So Awesome-Love it...Great Work...Thanks for sharing!!!,0.5684,13
So cool!,0.4376,3
Strap a little joint on there and you can pass it to your neighbor.,0.0,15
Sub for sub anyone?,0.0,5
Super ultra mega Uber awesome,0.8516,5
THUMBS UP   :D,0.5106,3
Thanks for checking them out!,0.4926,6
Thanks!  It's tough but worth it!,0.5624,8
That is so awesome I wish I could have that.,0.8489,11
That tiny camera man must’ve been dizzy.,-0.2263,10
The car cam is the bomb.,0.6124,7
The gopro shot was the sickest . nice work,0.4215,9
"This bitch BETTER get 100,000,000 views... We didnt spend 60 days and 70 nights making this hot wheels track for nothing... Ps: this is an epic documentary of the life of a hotwheels car... A look most never get to see... Thank you for sharing...",0.3254,53
"This brings back memories. 
It looks like they improved the way the track pieces connect since back when I had them.",0.6808,23
This could be the greatest video I've ever seen.,0.6369,10
This is freaking awesome,0.3182,4
This is my childhood dream,0.25,5
This is so cool wtf 😂😂,-0.2702,7
This is the YouTube content I️ want,0.0772,8
This was an awesome video!,0.6588,6
"This was like the coolest thing I ever saw, Love Hotwheels cars and tracks! Remember those cool rechargers?",0.8516,21
This would make an awesome roller coaster!,0.6588,8
Toy Story The Ride in Disneyland! 👍🏼,0.0,9
U r awesome your track looks like theam park through camera,0.765,11
Uhh how did this make it on trending,0.0,8
Us The Duo love ur guy's music,0.6369,7
Very cool. Sub'd,0.3804,4
Very nice! Respect!,0.7938,5
"WOW! I remember these from my childhood. My mom used to beat our asses with those orange tracks. Ain't nothing like having your own toys used as melee weapons against you. Ahhh! Memories, huh?😞",0.6172,42
WTF,-0.5859,1
"Was wondering why anyone would ""waste their time"" on this kinda thing... Then i realized i forgot how to be a kid after only 5 years of adulting...",-0.4215,32
We didn't get flying cars this year. we did get this however..,0.0,14
We wish we lived next door so we could watch that all go down. This is amazing!,0.7777,19
Weeeeeeeeeeeeeeeeeeeee!,0.0,2
What camera do you use to shoot the POV shots?,-0.34,11
What is BGM used for this video?,0.0,8
What kind of camera u putted on it,0.0,8
When you have no girlfriend...,-0.296,6
Which camera did u put,0.0,5
Who bring those all up after that ?,0.0,8
"Wow, another banger! 10/8",0.6239,6
YJSNPI,0.0,1
You always come up with the most creative ideas,0.4927,9
You are aamazing,0.0,3
You guys outdo yourself everytime. Great work as always!,0.6588,11
You kids are the best,0.6369,5
You know it'd be really cool if you guys made a darda track. Great video.,0.7713,17
You videos are hipnotic! I loved them!,0.6688,9
cool!!!! visit my channel,0.0,7
find some ants and charge them 2 sugar cubes per ride,0.0,11
great video!,0.6588,3
great video! loved it! keep up the great work!,0.9322,12
here's the song if anyone is interested https://youtu.be/1EAB96J5qrA,0.4019,8
https://www.youtube.com/watch?v=4gQb9sEm_Y4&feature=youtu.be,0.0,1
https://youtu.be/1EAB96J5qrA,0.0,1
"i would really like to make a contraption for your channel, I really enjoy your creative videos.
https://youtu.be/YzyGZHNK0og     (let me know what you think :),good day)",0.8573,32
moster jam0,0.0,3
nice,0.4215,1
rick moranis pov,0.0,3
"sy a
世界は野獣でできている",0.0,3
theos thnetos つまりホモは世界,0.0,3
theos thnetos 擬態するな,0.0,3
this is so cool,0.4572,4
this was so calming and relaxing to watch.  kim jung un should watch this and maybe he would dismantle his nuclear ambitions!  THUMBS UP FOR WORLD PEACE!,0.9148,30
very cool.,0.3804,3
very nice,0.4754,2
what camera did u put on the car?,0.0,9
what is this song hotgoo?,0.0,6
what's the name of the song?,0.0,7
wow,0.5859,1
yarimasu nee!,0.0,3
"yea, ok... umm... what garden? It's just someone's backyard",0.0,13
ʸ ᵗʰᵒ,0.0,2
З,0.0,1
…んにゃぴ,0.0,2
┌(┌^o^)┐ホモォ...,0.0,10
❤️👍HARD JOB 👍GOOD ❤️,0.0,9
いいゾ〜これ,0.0,3
おいゴラァ！,0.0,2
この辺にィ、美味いラーメン屋の屋台来てるらしいっすよ,0.0,3
これすき,0.0,1
これマジ？,0.0,2
こマ？,0.0,2
ちょっとホモ沸いてんよ～,0.0,2
"なんだこれは…たまげたなぁ…

TADOKORO of the WORLD
ってはっきりわかんだね",0.0,9
なんでホモが湧いてるんですかねぇ．．．,0.0,4
グ ロ ー バ ル 淫 夢,0.0,7
