,sentiment,wordCount
"""Shake and bake"". A popular method for making superconductors, or meth...",0.2732,16
"""Truns out you can make one in your home shop""... casual, I mean... come on I can barely make a sandwich at my place. 
Love your video tho... I always learn lots out of them.",0.7184,43
... kilns flooded with oxygen huh - I don't see how this could go wrong.....,0.0,16
09:00 Why not just use a blender to grind the powders together? Blenders are super effective at that sort of thing.,0.7906,23
11:22 looks soo similar to the mandelbrot set fractal.,0.0,10
1:20 looks like asphalt in my country.,0.3612,8
"4:24 would have been awesome also to see silver, carbon, graphene, gold, etc...",0.6249,18
4:36 Why isn't it possible? If you blow on liquid nitrogen doesn't it get colder?,0.0,17
4:40 why are the data points in pairs? Is it low and high? Love your videos keep it up.,0.5362,22
"@Applied Science Do you think it would be possible to make homemade YBCO ""Wire"" or more likely YBCO band ? 
It would allow to make superconductive coils. I was thinking of a nice possible experiment with a thermos bottle filled with liquid nitrogen and a YBCO coil. The idea would be to test a homemade magnetic superconductive storage. 
Eventhough I doubt it would be competitive with flywheels, it would be a fun way to store some joules :)",0.8481,84
A little concerned that the fire-bricks/insulation-bricks could scratch the glass/quartz/silica tube?  Don't know if that would cause any problems.,-0.4019,27
"A new Applied Science video! And, as usual, Youtube hiding it from me for as long as it can...",-0.3595,23
"A water soluble process for creating HTSC in the kitchen? You're a mad god, Ben. All hail.",0.1027,21
"Alexander Ambruso – Actually you can, it just needs to be braided wire with many narrow filaments. Both carbon and glass are brittle materials, yet if you make their diameters small enough (~10 microns) they become freely flexible. This would just be a matter of spinning fibers of superconductor, which would be tricky, but doable in theory.",0.2846,67
Also make a link to github with the firmware patch for the temperature reader.,0.0,15
Always nice to see slow-motion combustion shots that _aren't_ terribly overexposed. Thanks for that.,0.5136,18
"Am I the only one that heard the guy on the Carmax advertisements saying ""WBYCEIYDBO"" every time Ben said YBCO?",0.0,23
"Amazing as usual. I liked your quick and easy air drier for the liquid air maker. BTW I was never able to use the original circuit to my liquid air maker because I screwed up the little coils that sensed the temperature, but I too used the Variac method. It seems like it would be easy to run too much current into the cooler unless you keep an eye on the voltage and current. Could you share some details on the voltage and current you use on the cooler.",0.9287,95
Amazing videos !,0.6239,3
Any chance we'll get to see you making Carbon nanotubes with that new tube furnace?,0.25,16
Applied Science + Primitive Technology building a nuclear reactor out of mud....,0.0,13
"Applied Science Wow, if you made that happen, that would be super exciting!! Nb/Sn will  be very nasty to produce too as you’ll have to bring all the precursors in the shape you want (e.g. the wound wire of a coil) and then react them by heat treatment. 
And as I guess you aren’t aiming for something in the high field range, the easiest candidate for a LTS wire would still be NbTi as it’s already superconducting as an alloy and does not need reaction heat treatments or oxygen anneals.",0.9328,110
"At this process the citric acid is a gelatin agent, means it creates strong chemical bonds with metal cations forming homogeneous gel kind of thing. this gel keeps homogeneity of matter till ignition. If u take just oxides or hydroxides of metals u will never get chemically homogeneous material since each metal has unique pH of crystallization from solution. If u use dissolved mixture of different nitrates with different decomposition temperatures and different solubilities u will get something inhomogeneous, clear. The second reason of the use of cit acid is to speed up the reaction due to increase the temperature since u have to ""froze"" metastable structure of amorphous oxides mixture to get proper material.",0.8885,124
"AvE? I imagine he'd be a fun bloke to have a beer with, but he'd be way out of his league on that list, unless you're wondering the composition of the plastics involved, a guesstimated value of the engineering practices involved in its production and its overall effectiveness in its intended purpose. Basically, whether or not its skookum and chooches...",0.6428,67
"Awesome process! I have to try this one. Thanks for going through the troubleshooting for the rest of us, I know I'm not the only one to find this useful",0.9075,33
Barium Carbonate Nitride is yummy!,0.5707,6
