,sentiment,wordCount
'these wound they will not heal.' no they won't... R.I.P legend,0.2235,19
*tear* forever heartbroken...RIP Chester....,0.0,9
2018?,0.0,2
2031 2032 2033 2034 2035 2036,0.0,6
":""( I'll never......forget...youll be always remembered",0.0,12
:(,-0.4404,1
"Alguien que me diga ,porque ella no me quiere?",-0.296,11
Alguém do Brasil,0.0,3
Amazing,0.5859,1
Amazing✡,0.0,2
And what about Linkin Park future?,0.0,7
Because he died i wanted that live chester a no se como se diga 😭,-0.7003,15
Best,0.6369,1
Chester forever :'(,-0.4939,3
Chester sempre vai ta no nosso corações a my love chester bennington,0.4588,12
"Chester, please dont go awaaaay... 🕊️🕊️",0.3182,11
Chester😢,0.0,2
Chills!     RIP Chester.......,0.0,5
"Couldn`t sleep this night, thought about things in my life..
Listen to music, I have to work in 30 minutes but im paralysed to this one.

F*ck this life man. It fucking hurts me over and over again when I listen to this music.. The Music I loved over years, the music which healed me, my depression. I actually dont know what`s going on. Man.. I dont know... Will see you again Chester </3",-0.8954,94
"Crying while watching. I can't believe he's gone. For him to felt he had to do that, just imagine the pain he was feeling. 💔💔💔💔💔",-0.7096,31
El mejor siempre seras recordado Chester  <3,0.4404,7
Emotional at every level . Chester you will live on forever . You've saved and Will continue to save lives and help your fans through difficult times by turning negatives in positives x,0.8807,33
En mi corazon y X Siempre😭😭😭,0.0,9
"Es una leyenda, gracias por mucho chester siempre estaras en nuestros corazones, gracias por sacarnos malas espinas, eres una de mas mejores voces de la historia 😢😢😭. R.I.P CHESTER.",0.0,40
Espectacular,0.0,1
"Esse tipo de musica que me faz levantar todo dia, a vida não é facil",0.0,16
Everytime I hear this I literally get goosebumps. 😢😢,0.0,11
Fear is how I falllllll...confusing what is reeeallllll.  We wish your death wasn't real!!!!!!!,-0.7627,20
God I miss him.,0.128,5
Goosebumps,0.0,1
Great video. I don't know why but this gives a haunting sort of vibe,-0.0258,15
"Hab selber Deppressionen kann ihn verstehen, daß er nicht mehr konnte. Es ist so schlimm....",0.0,18
He gave such a special last concert 😢😢😢,0.4019,10
He loved us all and we loved him,0.8316,8
He spoke for a generation that went unheard. Thank you chester.,0.3612,13
He will always have my heart ♥️,0.0,8
His heart was enormous!...,0.0,6
His voice is saving me,0.0,5
His voice will be always in my mind......,0.0,9
I Miss You,-0.1531,3
I always wanted to see them live.. now I won’t see all of them 😔💔,0.0,19
