,sentiment,wordCount
"""Winning baseball"" thats a joke,small market clubs have no   concept of winning at all,I know we here in oakland are pissed,this team is in shambles,the only thing these owners care about is there cash cow,""winning baseball"" is the farthest thing on there minds",0.8316,57
#JusticeLeague now playing.,0.2023,4
#Yankees #YankeesWIN #MoreWinning Choke on that Slap-nuts....,-0.5423,8
"2Words 1Finger I wanted to make clear your insults towards me were fabricated lies. And then i decided to one up you once again by saying i make pornos with your slutty wife. 

P.S. Your kid isn’t talented enough  to be in the MLB. Way to fill his head with the false hope he actually stood a chance. Father of the year goes to you",0.2263,74
2Words 1Finger do you have to practice being a racist idiot or are you just naturally that good at it?,-0.6597,21
"2Words 1Finger it’s called being normal actually. You sound like a bitter racist, who is too busy living through your child. I’m not an expert on parenting but I don’t have to be to tell that you’re not the type of father I would’ve ever looked up to. My dad told me at a very young age the likelihood of me going pro in a sport would be a nearly impossible feat. He didn’t tell me I couldn’t try he just kept it real. Maybe you should’ve done the same with your kid. He’s not good enough. Quit being ignorant and talking down on foreign born players who deserve a shot to play too",-0.6496,140
2Words 1Finger keep judging who I am without knowing me. In reality i make pornos with your wife. And what i do know is your kid sucks at baseball and you’re a dipshit ✌️,-0.6808,39
"2Words 1Finger there are plenty of all star caliber Americans you dunderhead. You’re remedial. You know nothing about the MLB and the demographic that’s represented. Get your facts straight. Quit living through your children because it’s absolutely pathetic. And realize that these foreign born players make AMERICANS excited to watch the game. No one would sacrifice the quality of the MLB so subpar players like your son can play. It’s not about you and your kid. It’s about putting the best product on the field for AMERICANS entertainment. You’re a bitter, sorry, sad bum",0.4715,117
2Words 1Finger we both are calling you an IDIOT. Ya IDIOT!,-0.854,13
2Words 1Finger you don’t know what you’re talking about. You may know somebody who can play but you don’t make sense with your arguments. It’s all sour grapes. Keep feeling sorry for yourself because you just might find someone who cares about your feelings getting hurt,-0.4854,57
AA,0.0,1
AJ Styles,0.0,2
Adam Silver thd GOAT,0.0,4
After listening to Madford what is the job of the   baseball commissioner. This  guy is saying that he knows  nothing about the financial conditions of the Marlins. Give me a break This guy is unbelievable.,0.2023,38
"Agree completely.  Perfect example of a journalist who cannot formulate insightful follow-up questions so they resort to the ""yes or no"" formula in order to appear stronger and in control of the interview.",0.8622,37
Alejandro Arrabal It's a curse because the fanbase sucks... you guys want the best players but would rather go to the beach then to a baseball game. Even teams like the A's and twins have better fanbases.,0.8225,40
"Alejandro Arrabal you've won two World Series, why don't you talk to the padres",0.5719,15
All teams go through this.  Idk why LeBatard getting so emotional.  If you don’t like how Jeter runs the team then buy it from him.,0.4795,30
"Also zenophobic isn't a word. The word you thought you knew how to use was ""xenophobic"".",0.0,20
And i didn’t say miami didn’t care. I SAID I DIDN’T CARE. Big difference. Im sure miami cares.,0.9087,28
"Another Libtard!

I mean Le Batard",0.0,7
"Anthony Urciuoli He was/is a journalist, so it makes sense.",0.0,14
"Are you taking notes, Stephen A. Smith ? Your interviews of Mayweather were like a hooker giving a major league blow job.",0.5994,25
Ask him why the Expos aren’t back yet!,0.0,11
"At least in LA there are some hardcore fans of the Dodgers, Lakers and the NHL Kings that will always attend no matter what.",-0.2732,26
"Athletes Unfiltered Lol, so with Stanton the Marlins still were garbage as a whole. So what if 5 years from now the Marlins are a perennial playoff team because of the moves that are being made now? Think of the 76ers, trust the process. Everytime Miami loses a good athlete, LeBetard whines and cries like a little girl. Get over yourselves Miami fans.",0.5719,71
"Baseball doesn't deserve a single customer from South Florida? Don't worry, it's clear that the people of South Florida don't care about going to MLB games. Nobody is conspiring against the Marlins. People in South Florida just don't go to Marlins games. That is not the fault of the MLB. If you are mad about the Marlins being broke, then maybe you should be going to games.",-0.7309,75
Baseball has been bad to AMERICANS !!! A national past time for AMERICANS and their children some how ended up with the result of thousands of young AMERICAN kids that played outstanding ball all the way through college only to be told that their journey and dreams are over because we have to leave half the roster open to ensure all of the people who aren't AMERICAN or have anything to do with AMERICA can come over and make the millions of dollars that should of been for YOU !!! DISGUSTING.,0.6168,96
"Been marlins fans since the 90s,, Imagine you team win the World Series and they trade all the players following season, Then they do it again after winning another World Series will YOU SUPPORT THAT TEAM... if you dont' know what you talking about SHUT THE HELL UP...",0.6486,54
"Bender Rodriguez  I think your trying to call me zenophobic or something I think, what I do know is that our AMERICAN baseball playing KIDS come in All colors and I am PROUD of them !!! Skin color has NOTHING to do with being AMERICAN ! I feel like I should call YOU an IDIOT !!",0.6449,60
Bender second that about BloodFlowers.,0.0,6
"Best part of this interview was when Le Batard called Derek Jeter a ""meat shield"", lol!",0.807,20
Better than Selig,0.4404,3
BloodFlowersSickness :: Dan represents FL. The people got screwed on the stadium deal. Thus the emotions. Bottom line wrong place for a baseball team ::,-0.743,28
BloodFlowersSickness Exactly my point... the fanbase sucks yet they want the best players. They'd rather go to the beach than to a ballgame.,0.4588,26
"BloodFlowersSickness its really refreshing to see a YouTube commenter that does their research, supports their argument with cold hard facts, and doesn't insult people who disagree. Mad respect bro",-0.1022,32
"BloodFlowersSickness it’s incredibly difficult to get yourself to want to pay to go see one player when you know a)your team is probably going to lose and b) the ownership is absolute garbage and has consistently screwed the city and fan base over and over again. You say we didn’t show up when we were winning... you mean 03? 14 years ago? A team that consistently loses for 14 years straight isn’t going to draw anyone anywhere. On another note, Miami is notorious for win and they’ll come. That’s just how it is here and if a team consistently loses there just won’t be fans in the seats.",-0.825,131
BloodFlowersSickness they were also 12 games behind the division so stfu,0.0,11
Boycott the Marlins! We Deserve Better than this. Manfred is nothing more than a Shill for the Owners.,0.2244,21
