,sentiment,wordCount
"""Auntie Pat wants your coint.""....lmao.",0.0,11
"""Beat for the funeral"" LOL  I love you Auntie!",0.7597,12
"""In a male dominated world, it sure is hard to be a woman"" SUBSCRIBED",0.2263,17
"""What's wrong with being biased sometimes?"" Nothing. We're all biased. But don't act like you're all about equality if you aren't. Because many people aren't",-0.8131,31
A beat and education all in one video 💁🏽,0.0,10
"ALicE Just because survivors get applauded doesn't mean the ones who didn't survive didn't fight as hard. Everyone who has or had cancer are strong. Don't try to bring others down just because you lost someone. Everyone is important whether they lost the battle to cancer, is currently fighting, or survived it.",-0.8474,58
"ALicE You're extremely insensitive for someone who lost a loved one to breast cancer. I'm very sorry about your mother, but the world doesn't revolve around you. Others who are going through/have gone through breast cancer are just as important.",-0.8268,46
AUNTIE JACKIE IS A LEO??? I feel so blessed to have the same zodiac sign as her 😩,0.7602,21
Auntie jackie ia such a cutie,0.3612,6
Bio Notes wow that is so sad and I’m so disappointed in our country that it’s still like this...,-0.3984,24
Bro how she get her teeth so beautiful??,0.747,10
Can and where can you get the wowder? 🤔,0.0,10
Can we talk about how cute her flannel is though???? With her hair and her complexion 😭😭💗💗😍😍🌞🌲,0.6072,27
Can you do a male owned makeup face since idk any male ones,-0.1027,13
Can you do a video using only real technique brushes???,0.0,13
"Can you try this brand called Blk Cosmetics? It is owned by this Filipina actress, Anne Curtis-Smith!",0.0,20
Can’t wait for Jackie to come out with her own brand... preparing myself to spend all my coins,0.0,21
Congrats 🎉🎈🎊🍾,0.5267,5
"Dear lord I needed this video. Honestly, it was really empowering to hear their stories. If you can, please do another video like this.",0.8555,29
Did you forget gay people exist? Or  just guys who like makeup?,0.2406,14
Do a up n coming black owned beauty brands!,0.6239,10
Do you Love Wowder ? and do like KVD or Nars,0.7717,11
Does anyone know where I can find the full video of the clip in this video,0.0,16
Does anyone know which brush Jackie uses for her eyes? The pink and white one.,0.0,17
Don’t forget melt cosmetics 😍,-0.2263,7
Eyeshadow is beautiful,0.5994,3
Fenty beauty isn't a women owned brand and Kat Von D is a white apologist and married a Neo-Nazi,0.5859,19
Full face of black radiance!! 💜💜,0.4559,9
GIRL I hate waterproof mascara too. It kills me. My friends are all for it and I'm like...why.,-0.6249,23
GIRL you are BEAUTIFUL!!  😍😍😍😍,0.7365,9
"Georgous, you make it it look so easy.",0.5777,10
"Getting lots of ""i can't believe you forgot this brand"" comments...there are more brands out there that are owned by women that i didn't forget!!!! but it would've been pretty hard to feature them all guys!!",0.7067,45
Girl I need waterproof mascara cuz I just cry way too much lol 😂,-0.0772,14
Girl you know I'm subscribed... Girl. 😎,0.0,9
"Great female presence, next time include Latina owned brands please.",0.7506,12
Great video and theme,0.6249,4
Green is your color....must be on the money team,0.0,11
Guys!!!  can you just let us women have our time to shine???!! you've already shined enough!!!,0.0,27
Have you ever tried the Glam Glow Glitter Mask?,0.0,10
Have you tried Besame? I really love their lipsticks and they're a lady founded and lady owned company too. :3,0.8313,23
"Hey ! So you probably won’t even see this , but could you please do a review on Bovanti Cosmetics I.T is black owned by black women. You should check them out",0.501,37
Hey Jackie could you please tell me what bronzer brush you are using? I really need it in my life like yesterday!,0.6239,24
Hey Jackie have you heard of the Crayon Case by Supa Cent? Her company is independently black owned. Would love for you to review her. Love the channel😍,0.8555,32
Hi Jackie ! I njoyed your video..Question..I've been getting into wearing makeup..usually I just wear lipstick..I've been watching all your videos to learn...I don't recall seeing you  put on finishing powder in this video..Do you not need to put finishing powder on everytime?,0.0,56
Hi! Thanks you so much for being a channel that continues to impress. I have a question... what do you spat your brushes with before eyeshadow application? (In this video before applying the blue eyeshadow color.) Thanks!,0.8513,45
Honestly.. You got a new fan.. I am in love with you!! You are so amazing !!!!,0.9049,23
I HATE having a pimple in my brow.,-0.6633,9
I LIVEEEEEEE for JACKIE,0.0,4
I LOVE WATCHING WOMEN PROSPER,0.6369,5
I absolutely loved this video! Probably top five,0.7419,9
I can't imagine you're  not working in the background  on the Aina Beauty Brand 👍,0.5859,15
"I can't really see that blush on you. To me, it looks too subtle. I wonder if any of the pinker ones would have had more ""pop"" (Ecstasy, Love is the Drug, Love Glow or Sex on Fire). I'm looking at getting a CT blush for myself and in trying to decide which one, I remembered you wore one in this video.",0.8728,74
"I could listen to you all day, I wish you had a podcast!",0.4574,15
I didn't know that there were male owned makeup brands...,0.0,11
I enjoyed this video so so so much!,0.5562,9
I feel like the kat von d darker shades can run kinda orange and the lighter ones turn me WHITE like idk 😐,0.5574,23
I had to pause the video to comment really quick when you mentioned using a lot of products from the same line. I TOTALLY agree! They not only were formulated to work together but I’m ALL about brand loyalty! It works for me too!,0.8355,50
