,sentiment,wordCount
"""don't make him think you're materialistic"" ""just say yes"" for 50% LOL",0.7378,17
*I'd smash her all day*,0.0,7
*LET TRISHA PAYTAS HAVE THE REAL TONIGHT SHOW INTERVIEW*,0.0,11
"*lucky bastard, he must be fucking her every night*",-0.5423,12
0 brains....i'm sure after a while talking to boobs will get boring.,0.0,15
0:15 They laugh and then get serious. Hahahaha,0.5106,9
3 years max,0.0,3
"After game 7,that night, Justin got some booty from Kate",0.0,13
All I could think about is those leaked pictures 🙆🏻‍♂️😂,-0.3182,15
Am I the only one who thinks Kate Upton is not super super hot???? I mean she is beautiful but I've seen 1000000 other models who look really really beautiful,0.7659,33
Anyone here wanna bang Kate Upton,0.0,6
"As a Detroit Tigers fan, good for Justin Verlander and Kate Upton. I know it wasn't his first choice to get traded to the Astros, but I'm just happy he FINALLY won a world series he deserves and got married too almost the same week. Luckiest man alive, but he deserves it all. Verlander will always have love from Detroit.  Best of luck JV, you've got 2 RINGS in one year!",0.9914,80
At first I thought the title said JUSTIN Timberlake. 😲,0.0,11
B,0.0,1
Bb,0.0,1
Bootros Bootros Golly!,0.0,4
Bts???????,0.0,4
Came here for the antisemitism,0.0,5
"Celebrity marriages . very good
http://barad-back.ir/",0.4927,6
Come back to Detroit 😢,0.0,5
"Congrats Justin Verlander.... we miss you 
......Detroit",0.4215,9
Crusty personalities. Gross.,-0.4767,5
Cutest famous couple,0.5859,3
"Dear, Justin

 I swear to god if you hurt her physically and emotionally I will come to your house and make your life a living hell you lucky son of a bitch

best regards,
Sone 10 year old that is horny

edit: Not really 10",-0.3182,48
"Detroit, retire his number NOW!",0.1511,7
Favorite pitcher,0.4588,2
First tim tebow now verlander i give them 6 months shes in it for the money  now that her career is going downhill,0.0,23
Free money while u stay at home?? Need money for Christmas?? 🎄🎁💵💰Click on my link to find out more. http://salarydaily.com/?cash=75684,0.644,29
"From johnny carsons manly, tough vibe to...jimmy fallon...",-0.128,12
Fuck Houston,-0.5423,2
"Fuck liberals, i mean libtards 
MAGA",-0.5423,7
Fucking savage,-0.5095,2
Go Astros,0.0,2
Go Astros!,0.0,3
Godam! Go astros,0.0,4
"Goodbye old friend, we're going to miss you
-all tigers fans",0.3818,13
Gorgeous couple❤️,0.6124,4
He is lucky. She is beautiful,0.7717,7
He looks like andy kaufman,0.3612,5
He might as well everybody hit that I am sure,0.5267,10
Her fucking tits,-0.2944,3
"Her: no sex till marriage.
*They miss their wedding*
Him: Fuck!!!",-0.8007,19
Hes been in MLB almost as long as she was alive,0.3818,11
"How is this #10 on the trending page, it only has 300k views",0.0,14
How tf did he pull that?,0.0,7
I am so fucking jealous.....,0.0,6
I can't believe the Yankees didn't demolish his pitching,0.0,9
"I don't know if their kids will be the perfect human beings, or have so much perfection in their genes that they turn out butt ugly",0.6573,27
"I don’t see this lasting lol.
She’s 25 and he’s like 35?",0.6486,20
I feel like they are a movie couple in high school where the jock gets the pretty girl...,0.6908,19
I find her ugly tbh like not a supermodel in my eyes,-0.2023,12
I give it 2 years,0.0,5
I give them 6 months,0.0,5
I give them 6 months shes in it for the money now that her career is going downhill,0.0,18
I haven't seen Kate since the Cat Daddy. She's matured,0.0,11
I heard Verlander doesn't sign autographs for kids and is not nice to fans-- can anyone confirm or deny this,-0.5764,22
"I laughed when Obama was voted most admired man, Verlander should have won that running away",0.8832,17
"I like Kate Uptons personality. She seems funny and smart. I use to think she was a topical hot dumb blonde lol guess not, she's awesome.",0.5116,30
I like looking at her.,0.3612,6
I love the audience. They just dont give a fuck about them lmaoo,0.7935,14
I saw them in the colosseum last year and they did not like that we knew who they were lol,0.1754,20
"I thought KATE UPTON was going to say ""Justin got on one knee and popped open the ring box with Justin's penis coming out of it"" ANYONE ELSE THINK THIS AS WELL OR IS IT JUST ME??????",0.5849,42
I wanna spoon her.,0.0,5
I was see her before Gigi hadid,0.0,7
"I will SUB to anyone who follow
these steps:
1. Subscribe to my channel 
2. Comment below 
3. I will SUB to anyone who follow
these steps:
1. Subscribe to my channel 
2. Comment below 
3. Get a free subscribers from me 💙",0.5106,51
I wish i could marry this woman,0.4019,7
I would have never seen that one coming. He must be a pretty cool person.,0.6705,17
I'm here for the comments,0.0,5
"If I was Justin i would be like "" babe stoping talking so much "" bitch annoying",-0.6749,17
If he was a manager at Walmart she would not be with him.,0.0,14
"Is there someone here who can actually hear the words that come out of her mouth ?? I always watch Kate for one thing only .asking the guys here, straight guys !!",0.4299,36
Isn't her boobs fake tho? Those are implants.,0.3724,10
"It feels like they both just ditched Detroit, like Kate said its the Astros or it dead, with detror",-0.0772,21
It feels weird that Ive seen his dick in her,-0.6124,10
JImmy Fallon youre  amazing,0.5859,4
Jimmy Fallon is terrible when he starts talking about serious topics like the Hurricane Harvey. The way he lowers his voice. He's done it in other videos. It sounds like he's faking it. Lol,0.0258,38
"Jimmy needs to learn to have a conversation - cringy, sounds like a person who does a lot of pot or something. Enjoyable couple",0.6597,26
Jimmy was hammered,0.0,3
Justin Verlander Detroit stands with you! You deserved it,0.0,10
Justin i didn't know you had that in you,0.0,9
Justin was wanting to answer all the questions but Kate’s answering his questions😂😂,0.0,17
Justin who?.... I am so jealous. Kate Upton Mwah,-0.0941,12
"Justin you better be careful Noah Shnapp is going after your girl....







Btw this is obviously just a joke so if you get triggered calm down.",0.7906,28
Kate Upton is like a dumb blonde,-0.2023,7
Kate always looks like 1 twinkie away from being a fat blob,0.3612,12
Kate blink twice if your waist trainer is slowly suffocating you,0.0,11
"Kate is gorgeous, but can people stop focusing on her boobs?! For the love of God, a woman is so much more than her breasts",0.857,29
Kate upton could get the 8///////////////////////////D~~~~,0.0,12
Kate upton is ugly,-0.5106,4
