,sentiment,wordCount
"""Monster"" Idiots!",0.0,5
"""flite"" eeeewwww >.<",-0.3182,7
0:40 was ?,0.0,3
"2:32 ""OMGS-hiz iz amazing"" :)",0.7783,7
"3D printed modelaircraft with a ""power pack"" - poor, very poor if you call this a hobby and not a toy and also not so great done - average but not great",-0.9077,35
3d printed Wellington. With geodesic fuselage would be excellent,0.5719,10
47 knob heads have inverted arthritic thumbs,0.0,7
"A 1/5th scale RC plane is NOT a ""Monster"". I have a 1/3rd scale P-38 with a +7 foot wing span, THAT is a ""Giant"".",0.0,37
A Wonder Woman figure as pilot would be a fine touch. ;),0.4019,13
"A really good job with that 3D print.. And the propeller with 3 blades are the authentic.
Most RC planes have only 2 blades.
Congratulations.. 👍👍👍👍👍",0.4927,32
Actually most models of the Spitfire (at least that I know of) utilized a four-bladed prop with the Merlin engine but oh well,0.3919,25
Air to air video is impressive!,0.5562,7
"Aircraft with clear covering were tried as early as WWI by the Germans in an attempt to reduce their visibility. The experiment failed because the clear, glossy surface reflected sunlight like a mirror.",0.5267,36
All it needs for 1:1 realism is a few machine guns.,0.0,12
Almost like F35,0.2975,3
Amazing,0.5859,1
Amazing...,0.0,2
"Balsa has a tensile strength of 1800-1900PSI. Raptor PLA is 9000 PSI. So, even though it is 8 times heavier, and only 5 times stronger, it method of shaping and forming can achieve greater strength with less material.",0.8885,45
"Battle of Britain remake, please ;)",0.1531,7
"Beautiful concept          Guys this is the next best thing after sliced bread. 
They should have built them like this during the battle of Britain, almost invisible ………. The rate of attrition would have been much reduced. The air to air shooting was suburb as well.",0.8779,52
"Beautiful model! Now, can they do a Ho-IX / Go-229 too? Would be awesome!!! :-)",0.9094,23
Beautiful!,0.636,2
Beautiful!!,0.6688,3
Beautiful...,0.0,2
Brilliant!,0.6239,2
"British Design at its very, very best......a shape ( just like Concorde) it was meant to fly and to look beautiful as it does so....congratulations to all involved in this project.",0.7506,38
Bro! You need to make a 3d ultralight airplane kit..,0.0,12
Build a 3d printed flying 3d printer that is printing a plane.,0.0,13
"Buy a $400 3-D printer kit, spend 10 hours assembling it, buy a couple of 2.2# rolls of filament for $20/roll and get to it!",0.0,35
Can I use glow engine with this plane or it can fall a part because of vibration? Did Anybody try?,0.0,22
