,sentiment,wordCount
"""Only In Japan""",0.0,5
"""driving an unmodded Lamborghini is boring.""

*cries quietly in my '92 Lexus*",0.0,18
"""i don't care what what people say"" yes we can clearly see that.",0.416,16
#StayJapan #FuckMulticulturalism,0.0,2
"'I don't really care about attention...' [As he drives a stanced vehicle covered in blinking lights]

...right.",-0.43,24
/r/ATBGE,0.0,4
"0:24

WHHHHHHHATTTTTTT LO RIDERS GTA BOI",0.0,6
10:17 WTF ? LOL,-0.25,4
1:18 I was just waiting for the text to change as he was talking. Took about a week. Japanese is weird,-0.1779,23
"2 Things I miss most about my time stationed in Japan:

1. Japanese women
2. Car Culture; particularly the underground aspects of it: Roulettezoku, Tougezoku, zero-yon, dori, et cetera. I wish there was an Upgarage here in the US. I still have some parts and shopping bags from times when I was living there. 

The other things are simple like the arcades and conbini food like onigiri. I also enjoyed hanging out at bookstores and reading manga.",0.8555,91
3:17 han? :D,0.6166,4
6:45 And i thought anime was fake...,0.0,8
6:50 wtf,-0.5859,2
6:54 When ricers whin the lottery,0.0,6
9:25 tail light out,0.0,4
?????? HOW IS THE CAR WITH THAT MANY LEDs OKAY WITH POLICE ??????,0.5563,17
"A decent Redbull vid? Did the crackhead editor with adhd get the sack? I'm slightly triggered by ""drift RACER"" in the description though.. Lol",0.4871,29
Am I the only one who came here expecting Mad Mike from Pimp my Ride?????,-0.6322,18
And that RX3 sound way better that the Mclaren.,0.4404,10
And yet What they call Bosozoku in Japan we call ricers here. Ummm ok,0.296,15
Andre Gwapo what is that can u Tell me about that i am curious and sry that idk that name,0.2263,20
Anyone know the chill Song at 8:00 min in??,0.0,12
Anyone who knows the song starting at 09:22 is a hero! Thank you!,0.7707,15
Asian people just seem to do everything better than everyone else...,0.4404,12
"At around 4:30, the sparks resulting frm low riders dragging their rear on the road. Isn't that some that damages the road??",-0.6553,26
At times like these I hate living in Europe ...,-0.296,10
Awesome :),0.7964,2
Can anyone tell me what is the track at 11:10? Thx,0.3612,12
Carros de bahiano.,0.0,4
Check out this video if you want more: https://www.youtube.com/watch?v=3GGhuM0N4v0,0.0772,10
Cholo-- Japanese Chicano representin' homes!!!,0.0,11
Christmas music,0.0,2
"Come on Mike, you went to Japan without your RX7? tsk tsk.",0.0,15
Come to Nairobi and find Public Service Vehicles that are pimped up!!,0.0,14
Damn that scene is rad. Definitely hunting that down in Japan soon,0.0,13
"Damn,Reason Why i love JAPAN So much",0.6369,9
Deja vu,0.0,2
Don't we all.,0.0,4
Epic cars,0.0,2
"Even when you live here, none of it feels real. There's always something new.",0.0,17
Ever heared of German TÜV ? 😂😂😂,0.0,9
Forza horizon 4 needs to be here!!!!,0.0,10
"GTA Vl. Japanese Garage!!!
Super cool subculture!!👍👽👉🌟🌟🌟🌟🌟
Over here by us in Germany unfortunately none of those cars could pass the TÜV.
F#ckin German law !!!! 👽👎",0.7156,44
He says he's been doing this for 50 years. How old is this guy?!?!,0.0,19
"Help ) Whats track on 11:13 ? I cant find Sepalot ""Cut Off"" and really thinking thats is not it is.",0.5445,24
Here in America we call a blank piece of paper art👍🏼,0.0,13
Hey Redbul Come to Kenya and see our PSVs.,0.0,10
"Hmm... 🤔 Until then, why don't you check out our motor sports playlist: http://win.gs/motorsports",0.0,17
How do they get their money?,0.0,7
I Love Japan.. #JDM 🔰 #BRclubTV 🇯🇵🇧🇷,0.6369,11
I NEED 2 HOURS MORE OF THIS PLEASE,0.3744,8
I bean to Japan and it's very sad how the U.S. car culture would never be like there's,-0.6708,21
I feel like the translator is hella lazy,-0.0754,8
I hate bolted wide arches above the wheels makes the car mod look cheap,-0.5719,14
"I like the liberty walk style widebody kit, but as a Korean I stand the fact that they associate the company with the rising sun flag, which was Japan's flag during their imperial period.",0.4497,37
"I liked some of the supercar's styles actually quite a bit, but like... I don't really wanna start getting siesures from my own car 😂",0.2263,27
I love Anime! just sayin 😊,0.6696,7
I love how open minded and creative JDM culture is compared to the west where we're all so judgemental.,0.7964,20
I relate to this so well. Stock is very boring to me!,0.1129,14
I think I just learned where the term 'ricer' came from..so it's douchey AND racist...awwwwsome,0.0,21
"I think I've been in this place before, higher on the street. Or is it just a Deja vú?",0.0,22
I'd like to see the owners' expression when they try to take the car to the dealership and claim warranty repairs.,0.3612,23
"I'd watch a documentary about the Japan's car mod scene even if it was like 3 hours long
It's so cool
Guess you can take some liberties when you no longer have to worry about potholes wrecking your sh!t; lookin at you nyc😡",0.6102,47
I'm stationed in Okinawa Japan now. I try and keep my channel up on the car culture but at the moment I'm deployed. But I'll be back soon and vlogging more. Hit up my channel and great job @red bull keep it up. #USAF #NISMO,0.7684,49
I've never seen this much style in 12 minutes of footage! Well done everyone!,0.3987,16
If I saw those trucks I would think the circus is in town,0.0,13
If it is fake than it’s ok,-0.2263,9
"If the battery on a Dekotora can't jump you off, your battery is dead.",-0.6486,16
"If you tour those supercars on west 6:50, they would steal the show",-0.4939,14
"In america mostly they called this ""RICERS""",0.0,9
In switzerland everyone in this video would be in jail for 1-4 years. My god the swiss goverment hates cars expecially loud and fancy cars too much reglementation,-0.2023,29
Is that the guy from Tokyo drift,0.0,7
Is that the guy that dies in Tokyo Drift at 3:16?!,0.0,13
It can't be just me that thought he low key look and sound like Sean from F&F,0.1027,19
It makes sense that the most rice will be in Japan...,0.0,12
It started there. So it doesn't make sense for you to talk.,0.0,14
Japan is awesome!,0.6588,4
Japan is awesome!!!! Can’t wait to go there soon!!!,0.0,17
Japan is the real deal! One awesome country!,0.6892,10
Japan technology ⚙ famous car business,0.0,6
"Japan 🇯🇵 I wanna go there some day 
Try the food 🥘 go see nature and fall in love with a beautiful Japanese girl.",0.8442,26
"Ji Nnix well sometimes is good and sometimes not 
Try and look at youtube channel called effspot and type „Japanese police love supercars ( American don‘t)“ then u will understand 
That led cars will be there and u might understand it",0.8481,46
Just a little salty considering the fact that I drive an old '94 corolla lol,0.4215,16
"Just because of this I love you more Red Bull!

Thank you for such of nice documentary!",0.9032,19
"Just got back from Japan, it's nice too see streets not filled with the stupid american retro cars look. Camaro, challenger, mustang, boxy cars.",-0.0258,30
Klyrics cant call these people ricers man lol. Americans with a fartcan civic sure but this nah,0.2382,18
LOVE FOR JDM,0.6369,3
Land of Technology and car drift known as Japan.,0.0,10
Leave email if anybody needs American cars in pristine condition,-0.0516,10
Logan paul would have done better 😂,0.4404,7
"Looks so trashy. Get some taste, morons.",-0.3182,10
Los Santos customs = cholos customs!,0.0,7
Love dat Liberty Walk 458,0.8225,5
"Love it, great doc",0.8519,5
MOROHOSHI !!,0.0,3
Man now I want a a game about Japanese underground racing.,0.0772,12
"Mark Song wow that might be cool looking 
(Maybe as a ricer or tuner or Liberty walk or rocket bunny idk)",0.8591,23
Marquez Monterrosa yes man,0.4019,4
Missing Nakai :(,-0.6249,3
"Morohoshi san cars is damn legit awesome, in NFS 2015, his Diablo is my fav though",0.6597,18
My personal favorite was the lambos with LED 😍😍,0.4588,10
Need for Speed Underground 3?,0.0,6
Nemesis Did you assume my colour?,0.0,7
Neon?,0.0,2
Nice documentary,0.4215,2
Nippon nights,0.0,2
No RWB,-0.296,2
Not good,0.4404,2
Optimus prime should go for an upgrade in japan,0.0,9
PAC COIN .... DOGE COIN 🐕 🚀🚀🌙,0.0,9
Paweł Gołdych who,0.0,3
Plain gain everything qqaux display acquisition hook lab status year end highlight,0.7003,12
"Pls guys
I need the name of beat from 0:00",0.0772,10
"RGB = Gaming 
RGB= Racing",0.0,6
RICERS!,0.0,2
"RICERS!!!!

jk this is really good",0.74,9
RWB??????,0.0,4
Raaaattatattata,0.0,1
Radiation has showed it’s effects in Japanese car culture. Can’t be any more obvious,0.0,19
Really wish the +1 up parts stores would catch on in America.,0.4576,14
Respect for the humble man with his loving passion for cars,0.875,11
Ricer,0.0,1
Ricers from the land of Rice,0.0,6
SICK,-0.5106,1
Serious question : is this related to japanese average smaller penises ?,-0.0772,12
"So basically, what they're saying is that Japan is full of ricers",0.0,13
So dumb,-0.5563,2
So he stay here after Tokyo Drift? Because DK already leaving town...,0.0,14
So heaven is in japan,0.5563,5
Some of the best lowriders come out of Japan.,0.6486,10
That's cuz you haven't been to Mexico Acapulco we have customized public busses who are one by the owner its self and they are painted and modern to the teeth! They have done a great job customizing the busses you should check it out they also pain them really dope,0.2714,51
The Lalilulelo I guess is not good to say that on online,-0.3412,12
The Lalilulelo true,0.4215,3
The Next FORZA HORIZON Should Be In Japan.,0.0,9
The bosozuko guys clearly don’t understand American low rider culture so they shouldn’t be talking about it. It was never meant to be “out lawish” low riding is just about creating a car that fits your character and cruising. Not racing and doing anything illegal,-0.4404,53
The city of ricers.,0.0,5
The most terrible subtitle work I have ever seen. The subtitle says totally different things especially in Kato-San's part.,-0.5256,21
The subtitle is way off I’m laughing,0.4939,9
The supercars with LED's definitely belonged to ricers 😂😂,0.4019,10
"The thing I love about Japanese car culture, is that there doesn't seem to be much judgement. In the US, you put leds on a car and you're considered a ""ricer"", but the fact of the matter is, in the US if you do something that isn't common place on a non-exotic car, it is judged harshly. In Japan I feel like everyone respects each others individual styles, and I'm envious of that. For example, I did body work, and some reasonable upgrades to my Infinity G37, but because some mods are out of the ordinary some people don't respect me or my car which is kind of annoying lol",0.3978,124
"The translation feels like it's turning 10 of their words into one English one, it's strange to read as they speak",0.1779,22
These guy's are cool.,0.3182,5
These japs should start their own fast and the furious series! I know there was tokyo drift but they should make their own real life initial d,-0.3903,28
