,sentiment,wordCount
#everyonesBodyIsAwesome,0.0,1
***Standing Ovation*** Thank u 4 being a voice for positivity of all kinds!,0.7263,20
AMEN!,0.0,2
"All i want to tell you is thank you. Thanks to you and your body positivity I managed to open a youtube channel, despite the fact I'm not thin. I know it's stupid, but I just didn't feel comfortable with it. I learnt to love myself, accept myself as I am, all of this this thanks to you. I love your channel and every video you post!",0.9687,76
Amazon upset me because while I was shopping I saw a small model stretching out plus size panties and I took a screenshot.. it’s messed up. I’m glad I’m not the only one that got upset.,-0.4404,45
And this is why I hate myself. What people would say. I hide myself. I can’t wear a bathing suit. I hate myself. I can’t with myself,-0.8442,36
Anyone's weight is no joke. Whether you're bigger or smaller no ones weight should be joked about.,0.0258,19
"As a very skinny person I can't really speak for larger people, but honey, you're all beautiful whether your fat, skinny, have acne, flat chest, etc, many people love you for you, if you're feeling down there will always be somewhere there for you no matter what even if it's just a friend there is always someone you can talk to and it's really just a matter of talking to the right person, just letting you know you are :)",0.967,89
As of now 1:40pm this video is #23 trending on youtube❤️,0.0,14
Aw.  Loey! You’re so beautiful! Thank u for raising awareness and positivity but u have nothing to worry about 💕💕 live that wonderful life gurly ur gorgeous.,0.9693,34
"Being fat is hard. Just as any other viewing of a persons identity. Ofcourse that is wrong, ofcourse what’s happening should be happening. But I’m glad your friend has some thick skin! This is going to not only uplift her but make her worth more valuable. Regardless if they’re talking about you or not, as long as they are you are doing something Great! She’s gotta keep her head up, this really could be a chance for her to voice her view. She has a chance to stand up for everyone else just like her. I hope she does it! 💜",0.9821,121
Body positivity is a good thing however if ur a size 0 or a size 100 covering up ur curves is more respectful to yourself and more positive than walking around half naked just saying...women and girls these days think showing off and leaving nothing for the imagination is a positive thing when in reality you are disrespecting yourself on so many levels,0.9537,65
"Bullying will never go away. People can start to accept that it's not ok but bullies will never care.

The worst kind of people are the ones who tear down how you look when they're mad.. The WORST kind.",-0.8336,43
But George Lopez was overweight!!!!! How can he bash someone when he’s been there?!,0.0,21
Completely agree.,0.4201,3
Congratulations on trending! Great video :),0.906,7
Damn that contour tho,-0.4019,4
Do not come for Mama Tonjes and do not mess with Daddy Loey!,0.3404,14
Early squadddddd!!!! 💕💕💕💕,0.0,8
Easy on the bronzer 😐,0.4404,5
Every woman is beautiful no matter what size they are I just wish everyone would respect their bodies more by not showing it off to the world in such a shameful manner,0.6597,32
Everybody is beautiful in their own way 💕💕💕,0.5994,10
"Everyone is so beautiful in this world, we should not judge people, people should be judging us if we judge.",0.7177,23
"Excellent message. Honestly, I really thought you were going to mention how messed up it was that you joked about eating a bunch of chicken nuggets on Instagram and People jumped on you for “body-shaming” yourself and how it’s messed up that people just assume that a big person talking about food has to be negative in some way. Kinda disappointed you didn’t bring it up. You even used that particular post in the thumbnail.",-0.3197,86
FAT BABES SPEAK UP LOUDER THAN EVER 2K18 WHOSE WITH ME,0.0,11
"FAT PEOPLE ARE SO AWESOME, I SWEAR",0.6013,8
Fat is in the eye of the beholder.,0.0,9
Fat people are joke but were not joke  were beautiful loeylane💕💕㊙㊙,-0.2069,15
Fat people are sexy,0.5267,4
Fuck society and just be yourself 💪🏼💋,-0.5423,9
George Lopez is fat himself so idk why he would even retweet that of your friend. Fatass block head.,-0.1447,21
"George Lopez is notoriously known for stealing jokes from less known comedians, in fact I heard a story how he literally stole a joke that was told outside moments later at a comedy club. So, am I surprised he would want to attach himself with a shitty meme repost... nah. He’ll probably claim he originally made the meme.",0.1027,66
Girl your body is perfect I love your thumb nail go girl,0.836,12
"God bless you Loey. Been following your content for years now. Love what you're doing. You asked why 4 years ago body positivity was celebrated and its a joke now. Ive done a lot of thinking about that myself. I think it has a lot to do with the fact that the community has been cooped into the leftist ""progressive"" agenda. The movement has been politicized. And I feel like that SJW kind of culture is really falling out of fashion fast. I think its unfortunate that body positivity has been politicized. But we have activist liberals who cant help but think they must stand up for us because we are ""oppressed"" or something to thank for that. I know you don't say this, but just because im fat, doesn't mean im ""oppressed"". Im just fat. And there are plus sized conservatives too that need support and love, it all just sucks. It shouldn't be about politics, it should be about just being cool to people. 

My 2 cents.",0.9693,194
God made people of all shapes and sizes and everyone is valuable.,0.6369,13
"Great topic! I saw an ad for plus size clothing and they photoshopped her thighs so she has a thigh gap! I will not shop there again! With the way things are and everyone accepting of so many types of people why is it still okay to make fun of ""fat"" people? Ugh!",0.8825,60
Hermosa 💕,0.0,2
"Hey everyone! I Honestly love Loey so much, that she inspired me to make my own channel. It would mean so much to me if some of you could check out my first story time video. All the videos I will be posting will always be true life events, so please check it out. https://www.youtube.com/channel/UCbZIR2Voa5w8y-MGZ6LzPLA",0.9476,61
Hi Loey! I am a 14 guy who has bigger boobs than any of his classmates. I can't even be in a tight shirt because people make fun of me that i should wear a bra. I hope more people would watch this video and accept that some people have problem in thier life and can't choose what they will look like. I can't change that i have big boobs and i have acne and i am 6'2 and i look really weird next to my classmates but i am just another human person. I hope everybody who is reading this will be happy and loved and it doesn't matter if you are fat or slim.,0.9625,124
"I always feel insecure about being skinny. People used to ask me if I was Anorexic and always told me to eat. I'm slowly filling out which is good but I have a fast metabolism and it's not my fault if I'm skinny. 

I literally feel like you'll be bullied or harassed for being big, skinny, thin, fat or anything. You can't win. I just wish everyone was accepting no matter what body type, not just skinny and not just big. I love you Loey ❤",-0.9517,96
"I am mad also, I cannot believe it I am not in a good place either and for someone to do that at this stage of my life....I would cry!!! She is so strong!!! I love you sooo much Loey!!",0.4908,51
"I am seriously saying I really loooooooove fat girls , bbw, so don't care about what people think or say",-0.5583,21
"I can't even put into words how much I love this video. the world has always been such a misunderstanding, awful place, but with people like you posting videos and talking about issues like this puts faith into my heart.  it's so easy to make fun of others when they are comfortable in their own skin, when you aren't comfortable in your's. keep doing what you do best, loey. i know that i'll be here for the ride, and so many others will be too.",0.9892,95
"I couldn't help but cry during this video, that poor little girl :( I just think of my 10 year old self getting called fat at the public pool in front of my friends and how badly that hurt and affected me.... I don't even know what I would have done had my mockery been as wide scale and public as that disgusting meme. Truly heartbreaking and yet inspiring, it motivates me to remind those who are in my life that their bodies are beautiful and I wouldn't have them any other way!",-0.884,98
I feel sorry for Andrew! haha,0.4574,7
I had anorexia when I was 15... I’m 18 now and I’m still struggling. But now the struggle is different because I’m trying to heal to recover but I’m gainging weight ... weight that I need but I can’t shake the vocie saying ‘you won’t make it in the acting industry if your fat’ and I know They is nothing wrong with how ppl rate... I hate the word fat. But I’m a victim to society,-0.8389,96
"I had no idea who George Lopez was so I googled him, are we really saying that a grown ass 56 YEAR OLD MAN is taking the piss out of someone’s appearance? WOW",-0.4342,37
"I hate my body! Im super super super skinny! I eat ALOT, but i still dont get fat!",0.7074,22
"I hate that that's a thing. I always see awful comments on videos or pictures that consist of a ""fat"" person. Or people make fun of someone who's barely overweight as well. You don't know what it does to a person, especially someone who has really bad self esteem. I was made fun of for being overweight, which at the time I was in a bad place, so of course it messed me up. I started starving myself because this stupid joke that went from pe to everyone else in the school. Even a year later people made fun of me. I wish there was a better society, but sadly this is our society. 

PS, I really love your videos ❤ I just never had the courage to comment /-\ Kay bye 😳",-0.623,150
"I hate this behavior. Why do people care how other people look? it's like they need to do it to feel proud. Because they might be skinny, but being fit doesnt mean as skinny as a stick. I dont care how other people look, but i also dont understand how people that probably dont notice that their ""comment"" offended many many people, write it anyways. I hate the word ""over weight"" because what does overweight mean? Is there a specific weight to reach? Ive never been so shocked on how people think that fat people are bad. Are they touching you or even making contact with you in any way to offend you? NO! So you dont need to say they are bad. If anything, they respect you and are one billion times better than anybody that says they are fat. At least they embrace their beauty and dont disrespect skinny people. They are their own person and you cant do ANYTHING at all to change them. I am disgusted by the social media community by starting this crap. I love you Loey for pointing this out. Keep on inspiring me.",-0.4479,216
"I have got the feeling that bullying has become ""en vogue"" :(   bullying fat people, bullying people with body hair, bullying people with no make up... it is a shame! We need to treat each other with much more love! I hope it all will get better in the future. Let love and kindness be the new beauty standard! Love you Loey!!! Thanks for this video.",0.8893,79
"I have seen the video of that beautiful girl dancing her heart out and I was filled with warmth and heart but then I saw it, that filled me with anger and disappointment 

I don’t get it I’m not gonna go on a rant but WTF, if you still think “ew she’s ugly” “your fat stop eating that” WATCH THIS VIDEO AGAIN AND AGAIN UNTIL YOU UNDERSTAND BEAUTY ISNT NUMBERS ON SCALES ITS THE PERSONALITY THT SHINES THROUGH AND THATS WHAT MAKES YOU BEAUTIFUL. Damn I did it, I went on a rant. Sorry.",-0.9118,110
"I have truly missed these types of videos ! And have felt my whole life the humiliation and shame of my own body, by seeing things on the internet, tv, memes and even my family. When I was young, I was big, and actually lost a lot around 18, I hadn’t seen my grandfather in 4 years and no one knew I lost the weight, and when he saw me, he said, “ wow, you’re cute now...” and even tho I was thin, I couldn’t help but to think to a man who practically raised me with my grandmother, so all that time when I was a little you found me ugly because of my body? Because of these types of comments and jokes, it really affected how everyone else outside my family treated me, and even worse how I allowed men to treat me as I got older. Took a long time to get passed, and sometimes still affects me.",-0.8352,188
"I hope this video goes viral.
You're amazing loey and are entirely right. ❤❤❤ never change",0.7717,20
I love this so much♡,0.6369,6
I love when you post videos about body positivity! You are an inspiration to many.,0.9041,17
I love you,0.6369,3
"I love you Lo, I'm sorry. Whatever I can do to help, let me know. I sympathize with your opinion here 100%
Keep your head up babe, we will find a way to make it better 💙",0.8591,43
"I love you Loey! I completely agree that people do not understand our story or know what we are going thru. I have several health conditions that required multiple surgeries in my abdomen, including a total hysterectomy. I permanently have a large abdomen, no matter what I do. I hate it when people tell me to work out more or don't eat so much, blah, blah, blah. You are so beautiful, we are exactly how we are meant to be😘",0.6642,92
"I love you Loey, you are such a kind human. Beautiful inside and out.",0.91,17
I love you and Meghan!! Always nice to hear about some of your favorite YouTubers supporting each other - it makes it feel like an even bigger family/community,0.9431,32
"I love you so much💕 Thank you for being such a great inspiration for me and so many other people. You are not only amazingly beautiful on the outside, but you also have an immense amount of beauty within. Thank you for showing so many people that they have their own beauty, power, and strength💕 I wish for you a 2018 filled with self-love and great confidence. Continue to do what you do because you truly are a lovely light in this dark time.",0.9931,93
I m fat im so proud i feel better when i watch your vidéos thank u your are gorgeous woman,0.9281,20
"I needed this Loey, Thank you, I'm sharing this 2 ppl I know/ppl who need 2 watch this. Love You Loey!!  ❤❤❤❤",0.8975,31
"I think body positivity is not meant for fat people, ever noticed when a beautiful plus size woman has a picture posted, you will always find ""Stop Promoting Obesity!!"" commented below and liked several times. why does it bother people so much that a ""fat"" person dares to have confidence in their body, body positivity should include all bodies.",0.944,70
"I think it's kind of backlash to all the talk about body shaming and body positivity. As I think in the past we would have just been seen as freaks and ridiculous by default, but now more and more people are becoming aware that it isn't ok to laugh at - well, minorities in general. And not so long ago ""nobody"" had yet heard that fat people can live happy lives. Those who say the meanest things also often tend to be the loudest.",0.3983,92
"I think things are different now than they were four years ago because people are getting more ridiculous and being a victim is trendy. I've never seen somebody out right be rude to somebody just because of their size, that doesn't happen anymore because people just want to get on with their own lives and don't care really. But there are people who feel like if you don't want to date me then there's something wrong with you and you're a jerk. That's just not true it's a preference thing. I'm not saying that there aren't some assholes out there, there's assholes everywhere.",-0.7969,110
"I've always been incredibly underweight and told that i needed to gain weight however anytime i would put some on i'd get teased or have comments made about how i was carrying the weight and so i'd stop eating again and try my hardest to lose the weight again, i'm finally now at a weight that i'm healthy but i hate my body with how much i put on so quick, but that's only because i went from not eating and being so stressed out that my body was just eating away itself to eating and being happy.. My point of all of this is i'm not big but i'm still so ashamed of my body because of society, watching your body positivity videos, even though they aren't based around my body, they still help me so much, so thank you for opening up and showing the real truth behind body positivity instead of trying to say it's all rainbows and butterflies!",0.6906,170
I've always liked the bigger girls ever since I was a kid. Their so soft and fat 😘. I could cuddle all day long with a fat chick.,0.4215,31
"I've had the opposite experience. I for the longest time couldn't gain weight I was born with a lot of medical issues and couldn't hold onto protein or anything needed to gain weight. It made me feel like shit because girls who were thick were seen as better and I wasn't the kind of skinny girl that people noticed so I was so insecure for awhile. On the other hand my friends with ""not so attractive"" bodies would tell me I was lucky to be skinny. But no I was unhealthy. I have finally now been able to gain weight. Having my daughter recently changed my hormones and made it possible for me to get healthy. Now I'm 5'2 and 135 pounds before I got pregnant I was down to 100 pounds my healthy weight is 125 and I'm so happy to be over that. Love you Loey. Keep doing you fuck what society says. You're dope af!!",0.3448,174
"I've seen an abundance of the plus sized women I follow posting videos where they are visually upset and feeling angry that people keep making fun of them, and while I'm not plus sized currently I was at one point in my life and I was constantly bullied and made fun of because of it which has stayed with me now making me feel unworthy. It breaks my heart seeing Alex cry in that video over something someone said and it makes me mad that celebrities think it's funny to make fun of people they don't even know. I think it's important to keep talking about how all bodies are valued and worthy. FUCK anyone who rags on people for their weight. I don't care if you think it's ""advice"" people know how their bodies look, you can go home now.",-0.74,150
"If anyone is reading this,, I have been through so much recently with my weight and my skin and I just felt worthless. I have depression and anxiety and I have been judged for it but people who haven’t had that don’t understand and people never know what everyone goes through because everyone is beautiful but sometimes people don’t know that.if you are fat,thin,got acne,anxiety and other mental issues embrace it because that’s what makes you different♥️♥️",0.6858,98
Ilysm loey,0.0,2
"In a world where fat is so demonized that people deliberately starve themselves and take laxatives because their legs touch, where people recovering from eating disorders are being bombarded with Fit-Tea ads on their very own bopo Instagram etc, nothing surprises me anymore.",-0.5523,46
"It makes me sad thats shes not in that good place anymore. Thankfully shes getting back to it, but her videos have really helped me get into that place of self love regardless of the crap in our society. Love you Loey! Thank you for this content",0.9168,51
"It pisses me off when people make fun of fat people. I have a thyroid and petuitary condition.. Its hard absolutly hard to lose weight.. I hate people giving me a constant daily reminder of my weight.

I wish people would think before they share,type,speak. 

And i fucking HATE those fat memes!!! Love you Loey and you are absolutly beautiful and inspiring!",0.7304,75
"It took me like 2 minutes to realize that the eyelash is in the video and not on my computer screen. I continued to chase it accross my screen, wiping my screen. Haha, oops. Actually about this video, I love you and thank you for continuing to remind me to be positive <3",0.9565,59
Its funny George lopez ex wife who saved his life is plus size as soon as she gave him her kidney he cheated on her with a skinny bich and divorced her I kinda think he is just a shit person..,-0.296,42
It’s like when people share memes of people with disabilities. Respect for you body is a birthright.,0.7783,21
"I’m constantly constantly getting people call me fat, tubbie ect. Been told to stop eating because I’m fat and that I need to go to the gym. I’m a size UK 14 which is an average size. It’s quite sad that people don’t realise how much it can hurt people.. I’ve definitely found myself not eating properly and skipping food because people telling me I should stop eating. It’s so hard this generation to do something without being called fat or skinny or ugly, spotty whatever it’s so wrong.",-0.9489,113
"I’m currently pregnant with my baby girl and it really saddens me how much people judge one another... To me she’s already perfect and I am so worried about how people talk about ‘image’ and you can’t be beautiful if your not skinny and other related stuff with ‘beauty’ I want my little girl to grow up to know she’s beautiful whatever she looks like and she deserves the world.. I don’t get how people make others feel less of a person if they are chubby, fat or not the stereotype of beauty everyone in my eyes are the exact same including celebrities we all came out of a vagina so we all get the same chance in life!",0.9459,137
I’m overweight but u always make me feel more confident in myself and one of my close friend passed  and Watching your videos has really cheered me up💗💗💗🌟🌟🌟love you so much u have no idea how much Uve helped me ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.8997,71
"I’ve never understood people making fun of someone’s body, it’s not original and it’s not funny. Loey is so beautiful, every woman is beautiful. Why can’t people just pull each other up instead of push everyone down 🤷🏻‍♀️",0.8982,56
I️ really needed this... been so down about my body lately so thank you Loey!❤️,0.5474,20
I😍you,0.0,3
"Just come on here after a long day, like a lot of the comments that I've just read, I've been feeling very insecure about myself recently as well. I love the fact that you can say that you're the same because at the end of the day in  reality you are a human with feelings just like us Loey!! <3 Watching you're videos about body positivity and self love and all of that is what opened my eyes and helped me to start accepting myself for who I am. Not that I stopped exercising. Because I didn't, but I have learnt that I am a larger individual and probably wont ever be completely stick thin because I have and I will be open because I feel safe commenting this here, I have ovarian cysts and that makes it that tiny bit harder for me to keep fit and up until this point in my life that I'm at now where I'm making healthier choices in my diet my eating habits have not been the best but even though I'm rambling and taking a massive detour from my point. My point is that I really needed to see this video and I completely agree with everything you said Loey, the way the world and internet looks at larger/fat people these days and the attitude it has towards us is disgusting. I've posted less and less of myself over the years as the internet has changed. But overall thank you for making this video. thank you thank you thank you so much <3",0.9817,277
"Just remember, Loey, people who choose misery tend to seek it in others, usually because they think they have some fault of their own & can't handle that self-imposed solitude. ""Misery loves company,"" right? The best WE can do is encourage them find the positive in themselves, so they will, hopefully, learn to recognize it in others. ❤️",0.8255,71
"K advice for all my frendos here who might be a lil or rly chubby. Here's what you gonna do. 
1. When someones comments negatively on what youre eating reply w ""How does that affect you?:)"" if they reply w the ""I just wanna help you"" bs  reply w a calm ""I appreciate it but i do not need your help. If i do in the future I'll let you know."" If they do wanna help cause theyre your friend reply w ""I appreciate it but what youre doing rn is not helpful. If you want to help me ask me first on how and I'll let you know""
If they are as dumb as to keep going in case these^ dont work stop talking and bring in your mind the ""ASSHOLE METER"". It is a great device only accessible in your brain in which you can rate ppl according to how much of an asshole theyre being. You can have your own scale too! 
And remember, what if youre a lil or rly chubby? There's more of you to love:)",0.9763,206
LOEY FOR PRESIDENT 2020,0.0,4
"Learning that you love Mama Tonjes makes me love you even more, lol. You're a beautiful person inside and out, Loey. I truly wish the world could move past all this body shaming bullshit. It's this kind of mindset that creates eating disorders. All bodies are worthy of love and all bodies are beautiful.",0.9846,61
Literally the most beautiful person with the most beautiful soul. ❤,0.855,12
Literally uploaded a video about body confidence. And this explains exactly what I was trying to say. I cannot believe people sometimes..Im glad you are speaking up! I love that,0.8955,35
Loey YOU ARE BEAUTIFUL (idk if i misspelled that or not) dont EVER think otherwise girly i wish i looked as pretty as you!!!❤️,0.9083,31
Loey You Always Look Fashionable!😊👗,0.0,8
"Loey is honestly the best, look at this, I haven't seen any other youtuber do this and let OTHER people feel good about themselves, I think we all haven't been confident in something before and I think this has helped a lot of people Loey, thank you for this!",0.8824,54
Loey since its 2018 can you do monthly life updates so we now what goings on in your life. Love you,0.6369,22
Loey ur beautiful and so is everyone watching this video 💕,0.5994,11
"Loey when I see one of your pictures or videos I don’t see a fat person I see a beautiful, sweet, wonderful person so please don’t say your fat cause WE all your fans don’t see you that way we are your family and WE love you and please don’t care what people say and  spread  kindness 
I am 13 I do ballet and people stare at me because I’m bigger than everyone in my class everyone in my ballet class is super skinny and I’m not and sometimes I want to stop eating but you inspired me to keep going on so please spread kindness it really does help people ❤️",0.9841,127
Loey you are amazing and so beautiful just because people  different doesn't mean they can fat  shame others. Humanity has stopped being rude to people that are disabled of deformed but they haven't realised that we are all different anyways. I had a friend and when someone was rude about how I look she would tell me I looked gorgeous but then we fell out and now she makes fun of me for how I look when before she prevented that.  People are just 2 faced,0.9169,89
"Loey, I absolutely love you. I love that you're speaking on this. In watching you, as a fellow curvy girl you have inspired me from feeling like nothing to everything. 💓 I feel like nowadays people feel that we should be ashamed of ourselves for being different. But we all come in different shapes, sizes and colours. And I love the fact I can come on YouTube to see you on here spreading body positivity to those who do feel ashame. Everyday I'm learning to love myself and when people like you helping spread the positivity, it helps so much. As for Meghan, keep dancing beautiful!",0.9916,119
"Loey, I love you so much and I’m just super proud of you !!💛💛",0.915,20
"Loey, I really needed to hear this. I remember the first time I posted a selfie on instagram, and there were so many downright rude people saying awful things about my weight (I was 13.) It really took a toll, and until I turned 19 (this year), I never posted another picture on the internet. I hate when nonfat people feel like ""fat"" is the only term to describe me. I'm an honors student, a writer, and all kinds of things. Why do people (even those who know me) think that I'm nothing more than fat. I hate it so much. I'm at a good place right now, but I haven't always been, and I wouldn't want to tear someone down. Especially when, like you said, they don't know their story and know nothing about them.",-0.0167,163
"Loey, you are literally my role model. I aspire to have the confidence and self-love you put out and share. I've always been told that I'm ""too big"" and ""no one will like you if you aren't skinny."" I've had a lot of self-confidence issues because of this, but seeing you be so confident and happy with your body really helps me to realize that my shape and size doesn't matter. I can be and feel beautiful no matter what. This video really helped me. Thank you so much. I love you! <3",0.99,107
"Loey, you are perfect just the way you are! And we need more YouTubers like you.",0.7763,19
"Loey, you are such an inspiration. I discovered you on youtube in 2017 and it honestly changed my life. Your body positivity really projects onto other people. And in watching your try on haul videos for plus size clothing, I realized that I too could wear cute clothes. Growing up I was always told what I could and could not wear because of my weight. But after watching your videos I realized it was up to ME. I bought my first crop tops this year. Being 20 I guess that’s kind of insane. Thank you. Thank you. Thank you. I’m not perfect in my body positivity and confidence, but because of you I have grown so much this past year. I love you girl 💕",0.9596,144
"Loey. You are absolutely beautiful, and I am not saying that for the sake of this video. I have thought that you a beautiful in your own body since the first day I saw one of your videos. I agree, I don't know what the internet has come to and that makes me so angry. Loey, you are AMAZING, and I know most your subscribers agree with that statement. Stay strong
Much love💕",0.9515,83
Love Yourself and ur body .... I know I do.  Love U Loey ♥️,0.8555,16
Love all body types 😊😊❤️❤️ love your videos and think u are beautiful I wish I could be like you Loey,0.9552,26
Love you for making this kind of content. You were so real and so right.,0.6369,17
Love you loey,0.6369,3
Love you!!!!! <3,0.8507,6
"Love you, preach! You're beautiful I know you get that alot!😊",0.8652,15
Makes me so happy to hear one of my faves defending and sending love to my other fave ❤️,0.916,20
My dearest Loey I love you so much. I’m in ED recovery and I’m not plus sized but I’ve gained weight because of my recovery and listening to your body positivity inspires me so much I aspire to love myself and you’ve helped me so much even when you aren’t 100% yourself. You are so wonderful and I love you incredibly,0.9884,74
My favorite plus size girl your absolutely beautiful. I wish I had your confidence,0.9256,15
No matter what you look like just know I love you just for being you ❤️,0.6808,17
Oh and I know that video you where talking about the dance I forgot her name but she is amazing I love her I can’t even do that and I saw that meme and I was so annoyed at everything because she is so sweet ❤️❤️❤️,0.9294,53
Oh my gosh thank you so much i delt with someone putting down  a girl and it  othered me so much and im so glad that someone thinks the way i do abnout the situation,0.7481,35
Okay okay 💪👍🙏🙌,0.4215,6
Omg!! Loey I love this! I’m a health coach after losing 42lbs myself.  I hear my clients say a lot that they are scared to go to the gym and making a change not just to look a certain way but just to take control of their health cause people will criticize and taunt them for working out and it breaks my heart!! You are so spot on! Love your body in every way you are and never  let anyone tell you you are not beautiful or handsome cause you don’t have the “perfect” body!! Hurting and taunting someone is never ok or funny!!,-0.9277,121
PREACH!!!!! i agree with all of this.,0.5673,11
"People are just assholes now-a-days. Like, that's literally all it is.",-0.3182,14
People are sick. 🙄 why make fun of anyone at all?,0.0,13
People can be dumb.  Cuz you r BEAUTIFUL just the way YOU are. <3,0.6408,16
"People who make and post and repost these memes are trash. You, on the other hand, are BEAUTIFUL. Not least because you tackle this issue and take out the trash. Love you so much.",0.9191,40
Preach !!!,0.0,4
Read this quote this morning! SELF LOVE IS THE GREATEST MIDDLE FINGER OF ALL TIME.❤,0.9034,18
"Sadly fat shaming is the last acceptable discrimination there is. I don't know what the plus size community can do to turn this around. Every person cannot be 6 feet tall and 85 pounds. I think the fashion industry has a lot to do with this as most of the models are stick thin. I don't know how they can say Ashley Grahm is plus size, to me she is ""normal"". Why can't every woman see her self as being beautiful? With role models like the Kardashians that doesn't really help and all the young girls look up to that nonsense.  No one should be shamed whether there body size is large or small or no matter what color you are or if you have a handicap. It needs to change! I'm sorry Megan was so hurt. How can we band together and change things?? Sorry to rant but it's all hurtful. Sorry you were also hurt.",-0.967,174
So happy not all people are ignorant. Preach!~ ♥🔥,0.4914,13
Such a beautiful woman ❤️,0.5994,6
T H I C C,0.0,5
Thank you Loey,0.3612,3
Thank you Loey <3,0.6597,4
"Thank you for checking people like George Lopez. I recently was talking to my sister and friends and I said “I never realized the worst thing I could be was fat. I’m working on my masters, I’ve been published since 22, ran my own webzine , I make beautiful art, I walk my dogs pretty regularly, I help my society and plan to teach to give back yet I’m awful because I’m fat”",0.9531,89
"Thank you for this video, watched Megan's video as well.",0.5574,12
"Thank you loey, I think everyone needs this video and me too, thank you 💕",0.6124,17
Thank you so much for this video and positivity. The world needs a lot more people speaking up about it. It doesn’t hurt at all to be nice to someone.,0.6369,35
Thank you soo much for this video your soo beautiful loey xx 💜💜❤❤❤,0.7506,17
"That is so upsetting to me. I've been overweight most of my adult life, and if someone did that to me, I don't know what I'd do :(  People like celebrities who have such a vast audience should NEVER post anything like this. People who look up to celebrities then feel ok to do the same thing. It's like Trump - he's a racist pig, and people now think well hey, if it's good enough for the President of the United States, it's ok to do the same.  Everyone is beautiful in their own way, and nobody deserves to be made fun of. Kharma will come back to bite these people on the butt!! xoxo",0.9441,128
That makes me so angry. I'm really glad you made this,-0.2378,12
"That’s disgusting. I can’t believe that someone would ever do that. We’re all humans and we’re all different for a reason. We are all beautiful and loved, always remember that. 💖",0.6597,44
"The fact that we, as a society, have normalized mocking my Renaissance beauty, full figured/curvy girls, (as if it's not bad enough that they dont have a plethora of pictures in and on covers of beauty and fashion magazines representing their beautiful selves; and not already struggling with insecurities, depression and suicidal thoughts) really breaks my heart. What hurts most is how people cannot fathom how much it hurts that people don't take my curvy girls seriously; to the point where they are not even seen as human. That infuriates the hell out of me. I'm not plus size, but I take personal responsibility in uplifting my Queens of all sizes. We're all royalty in my eyes 👸🏿👸🏾👸🏽👸🏼👸🏼💖",-0.7621,144
"The fashion world definitely had a hand in this. It's getting better, there's more plus size models, more colored models, still not seeing inclusiveness in height differences though, but it looks like slowly but surely the world is moving forward.",0.9001,46
