,sentiment,wordCount
(Jackson farts in Vietnamese) IM DYING!!!!! 😂😂💀💀💀,0.0,16
*Gasps* OMG THERE HAVING ANOTHER BABY (LET'S HOPE IT'S A GIRL!!!),0.6714,18
*casually chucks the baby on he bed* moms goals!! 😂😂,0.0,15
...........IM SPEECHLESS OMG CONGRATULATIONS YOU GUYSSSSS💕💕💕💕💕,0.5994,10
AHHHHH congrats Karen and family im so happy,0.8458,8
AHHHHHHH OMGGGGGGGGGGGG,0.0,2
Am I the only one crying? No? Ok good 😍😍😍,-0.1431,14
Am I the only one or did someone else cry too watching this,-0.4767,13
Am i the only one who cried,-0.3818,7
"Any one else watch the whole video and asked is Karen pregnant? Or is it just those ovulation sticks?  I watch the other video then realized everything. 
😂😂😂😂😂",0.0,33
Aww so cute I love you guys so much xx,0.8304,10
Awww congratulations guys! I'm so excited for you! 👶🏼💗💙,0.8225,14
"Awww this video made me cry as a mom I understand when your baby first crawls or walks 😞 I love you
Guys 💕",0.2732,24
B,0.0,1
Babies grow too fast! My twins are 11 months now. Gaaaaahhhhh,0.0,13
Baby number 3!!!!!! I’m shook as hell!!!!,-0.3111,15
CHANNEL NAME CHANGE LIKE UH KKANDTHEKIDS,0.3612,6
Can’t wait for the gender reveal!! Hopefully it’s a girl but another baby boy would be amazing 😍😍❤️ congratulations Keren and Khoa ❤️ and Congratulations Jackson for becoming a big-big brother and Landon for becoming a big brother ❤️❤️❤️,0.9654,54
Chúc mừng Tết Nguyên đán 2018!!!,0.0,9
Congrats karen i hope its a girl,0.743,7
Congratulations I hope you have a wonderful pregnancy and your first baby girl,0.8885,13
Congratulations guys!!! 😊🎉🎊,0.6981,8
Congratulations on baby #3,0.5994,5
Congratulations xx 👨‍👩‍👦‍👦 # soon number 3 xx,0.6369,14
Congratulations 🤱🏼🤗😂😂,0.5994,6
Congratulations!!!!  I found out I was pregnant the day after Christmas with my second baby.  He’s 7 now :),0.6331,25
Did anyone else cry like a baby?? 😩💕 new mom hormones this definitely hit my heart! Love you guys! Congratulations!,0.9163,26
Does anybody know what the song in the second part of the video is ?,0.0,15
Does anyone remember a few vlogs back where people were arguing saying that she couldn’t be pregnant because she was out drinking alcohol?,-0.4588,26
Early 700 000!! 😃,0.0,6
"Even though I already know. Every time I see the eng I start crying,!!! What is this?!?!😂🤣👍💞💙",0.0,31
Everyone is talking about Karen being pregnant and I'm dying of laughter about when he flew at the beginning 😂😂,0.4939,21
Great video it's awesome I really enjoyed it xo you're really are amazing people Im watching from England 🇬🇧 UK,0.9507,21
Great video. Congratulations to all of you and your growing family. God bless.,0.9274,16
Hi how is it going dnow there,0.0,7
His ponytail,0.0,2
Hope u have a healthy baby in 2018. 😍,0.6808,10
How old are they?,0.0,5
I  love  you  family  and  friends  hello  friends  KkandbabyJ  hello  friends  Khoa  Keren  Jackson  Landon  Happy  New  Year's,0.9531,18
I  love  you  family  and  friends  hello  friends  KkandbabyJ  hello  friends  Khoa  Keren  Jackson  Landon Happy  New  Year's,0.9531,18
I KNEW you wouldn't forget about the Starbucks spilling all over the car!,0.2401,14
I LOWKEY CRIED WHEN THE BABY STARTED WALKING 😭😭😭😭💗,-0.516,12
"I actually cried a little bit, haha",0.0314,8
I actually screamed omgggg im so excited congrats,0.6699,8
I am Sooooooooooooooooooo happy😭,0.0,5
I am very exicted for your little family guys!!! Congrats !!!,0.649,16
I can't believe it 😀,0.0,5
I can't believe you guys have come this far. I've only been here since March but I already feel like I'm part of this growing family. Love you!!! And congratulations on your marriage and pregnancy. ❤️❤️,0.9617,45
I cried this is so cute💛,-0.3818,7
I cry evertime!!!😅😰😢,-0.6093,9
I just cried my eyes out😭😭,-0.3818,8
I keep watching the ending. 2030 squad?,0.0,9
I literally just cried. This is soooo beautiful 💕💕💕 You guys literally made my day! I could only wish to have a life this amazing some day 💜✨,0.8687,33
I literally started bawling when I saw the test😭😭😭😭😭😭😭😭😭😭,0.0,12
I love  you  family  and  friends  hello  friends  KkandbabyJ  hello  friends  Khoa  Keren  Jackson  Landon,0.926,15
I love how Keren just threw Jackson on the bed in the beginning lol I swear when I have my kids I'll probably be just like her xD,0.9201,28
"I love how even though you guys have gotten really popular throughout the year, you still stay super real, and haven't changed one bit",0.9041,26
I love that you put your fails in too. Because no parents are perfect! It’s so refreshing and makes me feel less of a bad parent 😂,0.243,31
