,sentiment,wordCount
#Jabbie Or #Jachary Or #Jaspen I Honestly Like All 3,0.6705,10
#Jachary Anyone Else??,0.0,5
*[1 HOUR] VERSION OF THIS SONG IS AVAILABLE IN MY CHANNEL*,0.0,15
=D i like it but my brother did not like it but i like it ###,0.8679,18
All the reactions I’ve watched there all shook when Jonah starts singing bcs he’s sooo frickin amazing and the others obviously are amazing too. Ly ❤️❤️,0.9079,34
All them r SOOO cute AF 😍😘😘😍😍😍😘,0.4588,13
"Are u rlly her boy friend technically its illegal for u to date her and she said she hated u and she never wants to see yall again that was her specific words its true she hates yall so ,uch now shes just acting she told me",-0.6908,48
Are you going to make a music video for this?,0.0,11
At 0:53 secs its so cool!!!!!!!!!!!!!!!!!!,0.0,9
Best song by best boyband and like if you agree,0.9246,10
CANT WAIT FOR TONIGHT,0.0,4
CAn't wait todays  the video  ahhhhhh,0.0,6
COME TO EL PASO TEXAS ...,0.0,6
Colombia?,0.0,2
Cool song lol,0.6249,3
Corbyn barely sings :/,-0.2782,4
Corbyn's voice is so hot!!,0.0,7
DO THEY EVER NOT LOOK HOT,0.0,6
Danielllll😍❗️❕,0.0,5
Daniel😍😍😍,0.0,4
Deepa Kolekar youre not bling really😂😂😂,0.0,9
"Did you know the song was written by Ed Sheeran??

These boys are going places!",0.0,18
ESE RITMO!!!!,0.0,5
"Everyone in the comment sound like proud mothers tbh(no offense I have nothing wrong with it, it was just something I noticed no hate plz)🙂",0.0654,30
"Everyone is commenting about how they came here from Logan’s vlog. 

Me: WHAT VLOG ARE YOU TALKING ABOUT",0.0,22
Finally i found the music video,0.0,6
First time I ever heard why don5 swear,-0.0516,9
For once I'm glad I'm broke.,0.0516,7
From Logans Vlog,0.0,3
HEY ZACH,0.0,2
Haven't stopped listening,0.1695,3
Hella good song and hella good band,0.7496,7
"Hey everyone I just started a channel. Plz subcribe to support me.
I'm a musician and i make music covers, here is the link:
https://www.youtube.com/channel/UCh7dTEtKCY1-Nxu6S82p1SA?view_as=subscriber",0.4588,29
"Hold on Jack has tattoos?



#Shook",0.0,7
How do you know????,0.0,7
I CAN'T WAIT FIR THE MUSIC VIDEO,0.0,7
I Hate When They Hate On Wdw For Having A Girlfriend Omg Be Happy For Them I Know If They Had a Public Relationship With Someone I Would Ship Them On EVERY SOCIAL MEDIA I DON'T CARE IF IT WAS ASPEN OR GABBIE IF THERE HAPPY I AM SO......IF YOU ARE A REAL FAN YOU WOULD BE HAPPY TOO SO....STFU😔😜,0.9206,66
I LOVE MY HUSBANDS,0.6369,4
I LOVE THIS SONG <3,0.8331,5
I LOVE YOU CORBYN ❤❤❤❤❤,0.7125,7
I LOve This,0.6369,3
I NEED THE MUSIC VIDEO NOW,0.0,6
I WAS THE 22 PERSON TO WATCH THIS,0.0,8
I am a huge fan of why don't we. I listen to ur songs every day. I love this so much,0.8316,23
I am so in love with Corbyn Besson and Jack Avery!!!,0.7472,14
I am waiting for the MV,0.0,6
I can't believe this their voices what!!   I was really shocked with Corbyn's rapping also Claire Margaret That's so true,0.3833,22
I can't wait for the mystic video,0.0,7
I can’t wait for the music vid. 😆😆😆,0.0,13
I dare you to subscribe if you’re big fan of why don’t we Just big fans,0.3182,20
I dont wanna trust fund baby. Ed Sheeran good at writing lyrics. Goals,0.0511,15
"I have been listening to this, for HOURS..",0.0,10
I heard this on the radio,0.0,6
I like this,0.3612,3
I like this beat🔥😱,0.3612,6
"I listened to this 337 times in 1 day!!
Who else did this kind of stuff",0.0,18
I love JACKKKKKK a lot 😍😍😍 but does he love me ? Probably not but whatevs,0.8555,18
I love Jack 😚,0.6369,4
I love climbing trees 💕,0.6369,5
I love corbyn's voice at 1:22 😍😍😍😍,0.6369,9
I love it,0.6369,3
I love it !!! ❤️,0.7249,8
"I love the boys equally so much.

Im literally crying at how they are growing each day. I have been here since the beginning and I was overwhelmed when they hit 1m. 
Their voices are so unique and all of them are so cute.
I have seen loads of people who were depressed and stuff and after watching Why Don't We it cured my friends and had self esteem and brang their confidence back. 
Thankyou wdw.🌻
-limelight ig:my_poodle_jack",0.874,88
I love these guys so much I listened to this so much and every time I need to catch my breath because I hyperventilate,0.6369,24
I love this,0.6369,3
I love this bc it literally discribes me lol,0.7906,9
I love this fricken song so much 😍😍❤️❤️❤️👌👌😏😏🤤🤤🤤🤤,0.6369,22
"I love this song and Why Don't We with all my heart, but my it broke my heart to hear them say 'hell'",-0.2732,26
I love this song like if you do the same!❤️💖✨😘🇺🇸,0.7901,18
I love this song you guys came soo fair keep it up the good work ☺☺☺ thx for making me the happy person in the world I love you guys so much one day. I give you all my hart❤❤💕💕💓💓💖💖💖💚💚💚🎶🎶🎶🎶💜💜💙🎻🎸♥,0.9628,64
I love this song 🎶🎶 ❤️,0.6369,8
I love use soo much I’ve learnt so much about you ever since use started your band use are the only people who are inspiring me to sing right now and I love this song so far❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💜💜❤️💜❤️❤️💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜😭💜💜💜💜😭💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜,0.9042,119
I love you Daniel,0.6369,4
I luv u  guys❤❤❤❤❤❤❤❤,0.0,7
I play chello and violin 🎻,0.34,6
I think half if the views are mine ...  But this ok 👌,0.3612,13
I''m sorry but I can't relate to this song.,-0.0387,10
I'm sorry that comment that I posted is gone so I guess you took it down sorry Atlantic Records 😔,-0.1531,20
If you don’t like Why Don’t We I REALLY DONT LIKE YOU (Jk) love everyone❤️🧡💛💚💙,0.8981,27
Ikr,0.0,1
"In love with this song!!! I literally listen to it everyday. NEED the music video so badly!!!

Also the boys just sound amazing during this entire song. (*´꒳`*)",0.7333,42
Is it just me or does Daniel sound exactly like ed sheeran in beginning,0.3612,14
It comes out today :),0.4588,5
It sounds like Ed sheren,0.3612,5
It's 9:34 pm here,0.0,4
It's like Ed Sheeran but younger with less baze,0.1901,9
I’m in love <3,0.7964,6
Jacks voice,0.0,2
Kiss kiss,0.6808,2
"LOVE YOU GUYS


I don’t really want a trust fund baby I like my woman independent and i say to people that’s my lady and we don’t need nothing eeeelse",0.9119,36
LOVE!!!,0.7249,4
LUV THEM TO DEATH,-0.5994,4
Like or comment if u heard the hidden beat,0.3612,9
Like what time is this music video coming out today coz I wanna freaking watch it,-0.0772,16
Lit dude 🔥,0.0,3
Logan Paul used a part of this song in his video,0.0,11
Logan paul anyone,0.0,3
Lol he so cute 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 Zach love him.,0.8832,11
Los amo,0.0,2
Love it,0.6369,2
Love you,0.6369,2
Made my dayy!!!!!,0.0,6
Marry me baby,0.0,3
My replay button is not working!! 😒😖😢,0.0,11
NEAT,0.4588,1
Needs to be on the radio! 🔥🔥🔥🔥🤘🏻,0.0,12
No,-0.296,1
OMG THIS IS SO FREAKING GOOD,0.022,6
Omg hehehe,0.0,2
PLs Video soon XDDD,0.0772,4
"Paul thì là chuyện khác r còn mấy đứa hát hay thì vẫn hay đấy, 😊",0.0,17
Say yes if you like Tanner Brongere if you do not know him go subscribe to YouTube channel,0.6369,18
So much*,0.0,3
"Sorry if I can not go to ur concert's but I can still listen to ur songs on youtube. And one more thing, Why Don't We boyzz congrats you guys rock. You guys are like the best!!!!!!!!!!!! Iove you guyssss sssssssssssooooooooooooo much!!!!!!!!!!!!",-0.4082,51
Stee D *corbyn,0.0,4
Subscribe for me if you are truly fan of Why don’t we band,0.6369,15
