,sentiment,wordCount
"""I'M AN ANTI-MATTER LAYING MOTHERFUCKER, MOTHERFUCKER! I'M THE PHASERS OF RIGEL 7!!""",-0.9266,18
"""You're out of your V*#kin' mind, Spock"" - Oh, this is brilliant!",0.6239,20
"*I would pay the living hell to see this Movie !*



*Its Glorious !* 👌👌👌",-0.3365,21
"10/10, would pay to see",-0.1027,6
A Star Trek with more violence. Might be a good opportunity to see how brutal the Evil Universe can get.,-0.8479,22
AWESOME ! ;),0.792,3
"Also known as ""Star Trek: Discovery""",0.0,9
Amazeballz! Great job on this one!,0.6892,8
Amazing,0.5859,1
"Amazing. 
All it needed was the theme done in the style of Pulp Fiction.",0.5859,16
American space rangeeeeers!,0.0,4
"And you will KNOW My name is the LORD, AND WHAT I NEED WITH A STARSHIP!!!",0.0,20
"As if the Star Trek Franchise wasn't screwed up enough, now we're getting Pulp Trek!",0.4442,17
Awesome!,0.6588,2
Beam me up...Quentin,0.0,5
"Best Editing, Best Wordplay, Best Trek Tribute!",0.9312,10
Best star trek trailer ever.,0.6369,6
Boner In pants.,0.0,4
Can someone tell me where i can find this music?,0.0,11
"Can we get a Wes Anderson version?

Peeeez? 😟",0.0,11
Can't wait to see this real movie.,0.0,8
Captain's log? Really? :),0.5651,6
Changes the whole show!!!!!!,0.0,7
"Clearly, JJ abrams traveled through time to watch this trailer for inspiration before having his way with the franchise.",0.8331,21
Cool.  I like it.,0.5859,6
Could be hilarious!,0.4574,4
Could have continued the scene when bones says you wanna see how fast I can put you in a hospital lol. But was truly great good job lol.,0.9382,30
Dead vulcan in my sickbay,-0.6486,5
"Do you see a sign that says “Dead Gorn repository” outside the space station?

This is EPIC! Thank you!",0.4738,24
Doesn't get any better then this!,-0.4015,7
Duuuuuuude,0.0,1
"Editing is everything, just ask CNN",0.0,7
Entertaining parody!,0.4926,3
"Epic !!!!
",0.0,4
Excellent!!!,0.6784,4
F*#$%@G BRILLIANT,0.5859,7
F^ucking epic! Still can't believe they have him the green light.,0.0,15
