,sentiment,wordCount
"""We learned about these things in School but there was Never Too Detail.""

Change that.",0.0,19
#LongLiveTheKing ✊✊✊👑👑👑,0.0,7
"#MLK Dr. Martin Luther King Jr. The Best There Is, The Best There Was, The Best There Ever Will Be. R.i.p To The 3RD Best Role Model On This Planet.",0.9571,40
#MarkHenry4Life ;-;,0.0,4
#Push Henry Like so Vince can see!,0.4199,8
#ThankYouHenry,0.0,1
"#ThankYouHenry
#ThankYouHenry
#ThankYouHenry",0.0,3
#ThankYouMarkHenry,0.0,1
+Anthony Ramirez Hehe..,0.0,5
+Neil Philp and wannabe indian,0.0,6
0:31 Where has he been,0.0,5
1 like = 1 respect for martin luther king,0.6808,9
1 st,0.0,2
18th with 27 views...,0.0,5
1:09 but sadly still led by Trump... :/,-0.7783,9
1:38 the space between Sasha and Alexa,0.0,7
25th view,0.0,2
"26 like, 25 views",0.3612,5
2nd view,0.0,2
36Souls Nice fail at trolling,-0.1779,5
37th,0.0,1
"50+ years of scripted finishes and 0 black WWE champions. There have been 2 black world heavyweight champions - Mark Henry and King Booker (T). However, this was a 2nd tier title at the time. There were also 2 black (WWE version) ECW champions, Lashley and Ezekiel Jackson. Jackson held the title for less than a day before it was dissolved and Lashley lost his title to Vince himself before going to become the top guy in TNA/Impact/GFW.

Note: find audio/video of the WWE actively calling the Rock the 1st black WWE champion and I'll retract my comment. Interesting enough, you can find commentary of the WWE promoting the Undertaker v Farooq match as having the potential of crowning the first black WWE Champion in history (he lost).

The recent #blackexcellence scandal is also of interest.",0.9753,161
87k views? Is trending rigged?,-0.4329,7
>tfw the curb stomp has been brought back on MLK day,0.0,12
Aaaannddd how many Black WWE champions has Vince made???? And don't say The Rock WWE sheep....,0.6553,20
Aaron AJ Knight ok u wanna know who threw the pie? It’s the guy who was holding the cake when Braun was wrecking stuff backstage,0.296,28
"Abe wanted to bring the slaves BACK to Africa.
Then The South started growing in numbers.
And The slaves weren't allowed to fight until Abe sign them their rights.
Then The North Won...
Funny how you never learned History,  Happy Dr. King Birthday...
;)",0.5699,51
Again wwe trying to show they aren’t racist.,-0.6124,11
"Again, it's was Martin Lurther King's birthday try to stay on track...
;)",0.2263,15
"Akuma God If USA were spanish, you had not suffered that",0.5759,12
"Akuma God it's impossible, and it will progress less",0.5994,10
Alejandro Sanchez also a membee of the Nation of Domination? And a former ECW Champion at that,0.5719,18
Alexa <3,0.4404,2
Alexa Bliss!,0.6114,3
Alexa is hella fine,0.2716,4
"An Epic yet human man. Dr. King deserves the respect and admiration of all humans regardless of racial ethnicity, struggles, or status. He stood for the American Dream for all humans",0.7269,36
"And Chris Jericho will return to WWE next week, even though he is still working with NJPW...",0.0,19
And black life matters & antifa Wana erased that... SMH it's the honest truth...,0.0943,16
And we still don't know who threw the pie!!,0.0,11
And yet there still has never been a black WWE Champion...,0.0,12
Anonymous Maaan your mom is irrelevant,0.0,6
Antonio Rivera racist white person alert,-0.4215,6
"Anyone else from Memphis?

And I’m so glad they went to the Civil Rights Museum, it opens up your mind and allows you to be hands on unlike any article or text book. When you see those types of things it *does* make you appreciate all the things that people went through to give African Americans equal rights...",0.7626,66
As if America is racist nowadays.,-0.6124,7
"As long as you respect his contributions to civil rights, your opinions about his personal life are irrelevant",0.4767,19
