,sentiment,wordCount
 he plays a simple triad and buys a 64 strat...=[ ,0.25,12
"""Excalibur"" warframe anyone?",0.0,6
"""I'm feeling, Saucy""",0.128,6
"""Stairway denied""",-0.4404,4
*Don't let your dreams be dreams. JUST DO IT*,-0.5448,12
*Excellent!*,0.0,4
"+Dauzq De Overdrive, Strat neck pickup",0.0,8
...and know im trying to sell my Gibson for money.,0.0,12
00:17 My thoughts every time i see a guitar with a whammy bar,0.0,13
0:18,0.0,1
"0:23
",0.0,1
0:43. How can I get this tone? What pedal(s) do I need. I'm currently on an AM STD Strat with a Blackstart HT-60 amp.,0.0,33
11 subscribers and trending.,0.0,5
2011 video trending...????,0.0,7
2011 wow,0.5859,2
:18,0.0,2
@0:20,0.0,3
@ManBearHuman he responded to a YouTube comment not a Myspace post. It's likely he will see it as everyone still uses YouTube lmao.,0.5994,25
"@RetaliationMetal Every one cares!!!!! The Guiter is the magnet that seals the deal!!!, as in: it gets the chicks",0.0,27
Ahh great more memberberries,0.6249,4
Algorithm working great YT!,0.6588,5
Anto Garcellano fuck off bro bro,-0.5423,6
Anyone know the name of the ethereal music that plays? Seems to be almost like a theme for the guitar but can't find it anywhere,0.274,26
Ase 5 años,0.0,3
Because it is! LIVE IN THE NOW!,0.0,9
Because it's awesome ..,0.6249,4
Best Chicago movie,0.6369,3
Best Chicago movie.....except for the Blues Brothers.,0.6369,10
But it has only 58k views! It's clearly not trending!,0.508,12
"CafeNightster 

Fuck u mean nigga
It's 2011",-0.5423,7
Can someone please tell me what the theme is that plays when he’s mesmerised by the guitar,0.5106,19
DON'T LET YOUR MEMES BE MEMES!!!,0.0,9
"Daaamn, Dana Strum looks hot in this scene.",0.0,10
DarktrooperDalek Dumbfuck https://youtu.be/fX94Vg0RMAE,0.0,3
DarktrooperDalek Yea that movie with the lead actor that killed someone. Fuck off!,-0.8516,15
Denied!,-0.4926,2
Did i just see the creation of “the dab” at 0:12?,0.2732,14
"Do you accept, cash! 
No sir, and you are now on a government watch list.",0.1759,19
"Don't bother, a truly vintage 1964 Fender Stratocaster wouldn't cost $5000 now, a Custom Shop Relic (a brand new guitar modified by the fender custom shop to LOOK like it's ""Beat Up"" costs around 5 grand now...) but now...it'd cost you ten times that...go look on Reverb.com...",0.3747,60
Dont you mean ... JUST DOOO IIIITTTT!!!!!!,0.0,10
"Eh, nothing special about a fender strat. It's all about Kramers with floyd roses XD hilarious movie though",0.7162,20
Epic line is epic: Do you accept cash? Ca-Ching,0.3818,11
Every character in this video is representative of me at guitar center,0.0,12
"Excuse me, have you ever seen a little movie called... oh I don’t know... “Ferris Bullers Day Off”!?",0.1511,27
FIRST ever DAB.....@0:10,0.0,7
Favorite movie ever 😂,0.4588,4
Felt the same way when I bought my AR-15!,0.0,12
Fillmed at cassels music store,0.0,5
