,sentiment,wordCount
*He looks fine*,0.0,5
...um...he just looks like a strange shade,0.1779,10
0:14:me in  school mornings,0.0,6
A cute dogy,0.4588,3
AHHHHHHHHH SOOOO CUTE!!!!!!,0.0,6
"AWW OMFG I CAN'T EVEN!!!! 😍😍😍😍😍😍

THIS IS TO MUCH",0.0,15
AWWW I NEED IT 😭😭😭😭😭💜💜💜💜,0.0,10
Are we able too adopt him he’s soooo cute with his little buddy 😭💙💙💜💜☺️😊💚💚❤️❤️❤️,0.5719,31
Aw he looks like lil uziI 😭😍,0.3612,8
"Aw so adorable,",0.5413,4
Aw what a cute doggo!! He’s Grumpy dog 🐶,0.555,13
Aww i want a dog like this :((,0.4215,9
Awww this is so cute this is making me cry 😢,0.1941,11
Awww 💕 I love this 😢,0.6369,6
Awwww he is so so adorable,0.6667,6
Awwww he’s so cute,0.5949,6
Awwwwww☺️! No! Snap out of it Sadie! U must resist!😫!!! U Can't get distracted now!,-0.3252,26
BEAUTIFUL 😘,0.5994,2
Can I have him ?😂😂😂,0.0,8
Can I just met with all the pets in your videos and hug them all for about a year?,0.4767,20
Can i just have all the dogs in the world ?please,0.3182,12
"Doesn’t like others sounds, like me",0.6124,9
"Don’t judge a book a by its cover :)


My lesson of the day",0.4588,16
Even if a dog has had a half of a face I would still get it because every dog deserves a home,0.0,22
Every dog is perfect the way they are and OML HE IS SOOOO CUTE,0.8143,14
"For more of this special pup, you can check him out on Instagram: http://thedo.do/mrcornelius, and Facebook: https://www.facebook.com/themistercornelius/.",0.5353,22
GIVE HIM TOO ME NOW I LOVE HIM!!!!,0.7482,11
Grumpy cat dog version 😂,0.0,5
Grumpy cat...meet grumpu pup lol,0.4215,7
Grumpy dog,0.0,2
"Grumpy dog hah, ok I’ll leave",0.25,9
"Grumpy dog!
(In a good way)",0.4926,9
HE IS CUTE,0.4588,3
HE IS SO CUTE WHY DOESNT ANYBODY WANT HIM,0.5563,9
HE IS SO CUTEEEEE I WANT IT,0.1477,7
"HE SO BEAUTIFUL,CUTE,ADORABLE,AMAZING,AND PRECIOUS😭💕😍✨",0.0,16
HE'S SO CUTE!!!  😍😍😘💓😻😍😘💓😻😍😘💓😻😘💓😘💓,0.7674,23
HE'S SOOOOOOOOOOOO CUTEEEEEEEEEEEEEEE,0.0,3
HES ADORABLE 😆😆😆😆😭😭😭😭😭,0.6037,8
