,sentiment,wordCount
*CHILLS*.........just beautiful.,0.5994,7
*in tears*,0.0,4
...and we can all come together to make something truly beautiful.,0.7783,13
1000 thumbs-up if I could!  A fan of both DB and CCC!,0.4374,14
A fantastic version from a musical genius.  Singing a song by another musical genius.  Bowie is smiling.,0.765,20
A lot of covers from Heroes in the world but this one  should be respect,0.743,15
Amazing,0.5859,1
Amazing!! Hope see you guys in Brazil Someday,0.8065,10
At times looked a bit cut-together from different performances.,0.0,10
Awsome Performance!,0.0,3
Beautiful Byrne from Bowie,0.5994,4
Beautiful stuff,0.5994,2
Bowie byrne...same as it ever was...epic,0.0,10
Byrne is pure genius. Did you realize the spectacles that gets in and out all of a sudden constantly? ha,0.34,22
Choir choir choir you’ve done it again another great Vid I do love David Byrne magical glasses reappearing.  Cheers Mark🇦🇺,0.9081,25
Could use autotune these days...,0.0,6
Cover a Chvrches song please!,0.3802,6
Credit is not complete: <<Heroes>> written by David Bowie and Brian Eno,0.3818,14
Dam that's good !!!!!!!!!,0.6209,6
Dan Gilboa me too,0.0,4
David Byrne is more arty Mr Rogers,0.0,7
"David Byrne is one of my faves, this performance is so dynamic yet beautiful!!",0.8448,17
David does David! Amazing performance.,0.6239,7
David has aged like the rest of us but his voice is still WONDERFUL.  Real nice to listen to this.Keep it up Choir Choir Choir.,0.9118,27
David the Great! ❤,0.6588,5
David's glasses....,0.0,3
"Dear God! That was Beautiful!

I'm crying...",0.8475,10
Dope,0.0,1
EPIC,0.0,1
Formidable!,0.0,2
"Found this via the excellent Kottke.org link, and it's just been embedded in my brain for a couple days now, being played on repeat over and over. Something about this transcends music itself and it becomes something deeper and richer than a mere combination of sounds and visuals. Just fantastically moving work from all involved.",0.8591,60
Freaking awesome for the Artist and the audience to be co-creating! What a great concept.,0.7712,17
Fucking WOW!!!!,0.0,5
"God, I miss Bowie so much :(  Amazing performance, folks - thanks so much!",0.6785,17
"Good Jesus, that's incredible! Imagine what it sounded like inside that lobby. Their version of Space Oddity is equally moving.",0.6996,24
Good job guys!,0.4926,4
Goose bump material,0.0,3
Goosebumps... It's amazing. Thank you!,0.7644,8
"Gran David Byrne, com sempre!",0.0,7
Great job everyone...😿,0.6249,5
Great performance! Thank you for keeping David ! In my mind xxx stars are out tonight xx,0.8011,18
