,sentiment,wordCount
"""The most basic unit and the foundation of all life is the cell.""
Wouldn't the organelles be more basic and foundational?",0.0,25
"""adaptatation""? @ 0:34",0.0,6
2:03 Darwin’s Finches,0.0,5
3:16 the dab is strong in this one,0.5106,8
3:17 It's the Kurzgesagt bird! 👍,0.0,7
3:18 kurzgesagt's bird xD,0.5859,4
"7:35
An artistic vision of using light spectrum to study distant worlds?
<3
This video is lovely.",0.8271,19
A KURZGESAGT BIRD!,0.0,4
A map of economics next??,0.0,7
A map of linguistics would be utter bliss 😍,0.5719,9
A map of medicine would be great! ☺️,0.6588,10
A map of science maybe ?,0.0,6
"A map of the earth sciences please! It is not just one thing but they are interesting because they are so many but all trying to understand one big system, our planet :D",0.901,35
A virus is way more basic than a cell. To be fair,0.3182,13
Absolutely great work!,0.6893,4
Ah finally Biology the oneive been waiting for thanks domain of science!,0.4926,13
"All the video I was like ""complex systems, complex systems, complex systems"" I had a nerdrgasm at 7:52",0.3612,22
Amazing work! Thank you!,0.7835,6
Amazinggg work Dominic verry beautiful poster. Do you have any ideas which fields you are going to cover in the future? You have already had most big science subjects,0.5994,31
Another very nice video from this channel. Just missing microbiology!,0.2926,12
Any source on the music used?,0.0,7
"Awesome, I love this style of zooming in on one page and then showing it all later! 
I am going to use this style in my videos too",0.8622,30
Awesum🖒,0.0,2
Best compression algorithm for summarising entire biology which will take some lifetimes by borrowing to learn completely.,0.6369,18
Biology Kurzgesagt!,0.0,3
Biology: Nature's engineering.,0.0,5
Can you do a Map of Electrical Engineering or Engineering in General?,0.0,13
Can you do a vid on everything quantum like quantum tech/ physics/computing please,0.5859,16
Can you make a map of Music?,0.0,8
Can you make an engineering map??,0.0,8
"Can you make the map of HUMAN SCIENCES (sociology, psychology, psychiatry, psychoanalysis, anthropology, pedagogy, etc.. ) ?",0.0,25
"Can you please do map of economics, arts , language , philosophy , literature, mythology , sociology , anthropology , and psychology. Master overlord",0.3182,27
Can you please please do map of mechanical engineering,0.5574,9
Could you do a map of engineering please?,0.3182,9
Could you do a map of music/music theory?,0.0,11
Could you please do a map of psychology?,0.3182,9
Could you please make a 'Map of Philosophy' video?,0.3182,12
Danny Vasquez i see you’re a man of culture as well,0.2732,13
Darwin,0.0,1
Did he forget about abiogenesis? He may have covered it an a different video but this one would be more fitting.,-0.1154,23
Dire Dire Docks was a fun level in Mario 64,-0.4019,10
Do a Map of Psychology.,0.0,6
Do a map of engineering if you wish.. think would be awesome,0.6249,13
Do a map of philosophy,0.0,5
"Do engineering please, it would be awesome",0.7506,8
Economics please!,0.3802,3
Electrical Engineering!,0.0,3
Engennering map please,0.3182,3
"Engineering and philosphy next, keep up the good work. :)",0.7096,12
