,sentiment,wordCount
"+Wanda Roderick:  Yes, he was a class act.  :-)",0.6124,13
"+nhyijy:  Looks like a tough club to get into.  (Rare honour, only 127 artists in Hall of Fame).  Modern artists: 20 yrs national prominence, Veteran artists: 45 yrs national prominence. :-)",0.7906,42
A round of applause to this living trashcan.,0.4215,9
AN ESKIMO? U MEAN INUIT? WTF?,-0.6531,9
"AN EVENING PRAYER
By Mel Tillis

If I have wounded any soul today
If I have caused one foot to go stray
If I have walked in my own wilful way
Dear Lord forgive

If I have uttered idle words or vain
If I have turned aside from want or pain
Lest I offend some other through the strain
Dear Lord forgive

If I have been perverse or hard or cold
If I have longed for shelter in the fold
When thou hast given me some fort to hold
Dear Lord forgive

Forgive the sins I have confessed to thee
Forgive the secret sins I do not see
Oh guide me, love me and my keeper be
Dear Lord forgive, Amen!",0.7959,124
Agenda 21,0.0,2
All these musicians only get the attention once they die....,0.0,11
"Arianator 1353  This person is just an ""attention whore"", ignore her/him/ it.",-0.3612,19
"As I posted it was Whataburger, a franchise in New England area of this country, It was shot in NYC, I was the 2nd Prop on the shoot.",-0.34,32
Awww 😌 A good man gone 🌠,0.4404,7
Because it isn’t based on views alone. YouTube picks the videos too.,-0.25,16
CONGRATS ON YOUR UPCOMING DEATH FKTARD @ LAVARBALL#BBB NO ACCOUNT HUMAN WASTE,-0.6705,13
Charles manson is better,0.4404,4
Congrats on dying,0.5267,3
Connor Byrne Die,-0.5994,3
Easy steps to make money click the link,0.4404,8
"GloryGaming HD 
YOU ARE REPORTED YOU LOSE YOUR FAKE SITE!",-0.8205,11
GloryGaming HD A lot of people will be happy when your dead to.,-0.1531,14
GloryGaming HD I miss the 80s/90s this generation is messed up.,-0.4588,14
"GloryGaming HD Ironic, coming from a Jake Pauler.",-0.128,10
GloryGaming HD That is very disrespectful I don’t think you would like it if someone were to say this about you.,0.3612,24
GloryGaming HD that’s not even funny man that’s just mean,-0.3412,14
GloryGaming HD wait what,0.0,4
He had a great life. Rest in peace,0.8225,9
He was a nobody.,0.0,5
I don’t care who dies that’s just straight up disrespectful you thot,0.6249,16
"I gotta agree, Lil peep > any country music ever",0.3612,11
I grabbed a Wopper today and remembered a legend.,0.0,10
I grew up with you Mel Tillis rest in peace my friend you will be missed as well as remembered,0.765,20
I will never forget his Whataburger commercial.  RIP,0.1695,9
"I worked on a commercial with Mel Tillis, ad was about Whataburger, it was shot with a eskimo named Francis, back around 1987, what a hell of a gentlemen Mr tillis was, I have a photo of him and I on the set. I became a fan of his back then.",-0.5106,58
"Interview 1 :
Who is Prophet Kacou Philippe ? - English Version. 
https://youtu.be/v_t2o6hv16Y",0.0,14
I’m so happy he’s dead. Great video,0.5468,12
Kani Ly Tillis is a hall of famer for his craft. little bo peep had a oxy prescription?,0.5574,20
LEEP APPLING oh boy,0.0,4
Lil Peep was better.......,0.0,5
Live in peace Mel.❤,0.5423,6
Lmao,0.5994,1
Lmao.^^^^^ nigger,-0.6486,6
"Mel Tillis was a dear man, great singer and an excellent songwriter.  He wrote Ruby Don't Take Your Love to Town which was a huge hit for Kenny Rogers.  RIP Mel.",0.8531,35
My husband went to school with Mel's daughter Pam. My husband said Mel was a great guy and always fun to be around. He will be greatly missed!,0.7351,31
Nice guy.,0.4215,3
Noooo another great legend gone... RIP COCA COLA COWBOY,0.6249,10
Not Mel Willis. What a legend,0.0,7
"One of my favorite country legends now up there with other country music giants Johnny cash, Hank Williams, Merle Haggard, and others Rest In Peace Mel",0.7579,29
Outsider there's something very odd when there were more celebrity deaths than 2016,-0.3804,13
R.I. P. Mel Tillis. You will forever be missed.,-0.296,15
