,sentiment,wordCount
"""Everything we need"" 5:20 😂",0.0,7
"""GET WELL SOON"" LMAOOOOOO",0.2732,6
"""I apologize for the vertical video""",0.1027,8
"""pls rember that when u fell scare or frigten never forget ttimes wen u feeled happy 
wen day is dark always rember happy day""",0.7324,26
*attempts to give John a virtual hug* 💕,0.0,10
"*house literally burns down* ""we feel unfairly fortunate""",0.4404,12
1 like = 1🙏,0.3612,5
2:15 actually,0.0,2
2:18 THE LAST EVER KNOWN FOOTAGE OF MR. BONES. D: >_<,0.4466,15
2:27 The cheese balls from the wrapping paper video! :(,-0.4926,11
4:42 garbage disposal?,0.0,4
5:16 should have eaten it.,0.0,6
5:24 the Ikea furniture looks alright it looks like modern art,0.5423,11
9 days before my brother's car drifted into a ditch and was almost totaled.,0.0,15
A Fire near my house happened and a disabled gird died in it,-0.7184,13
"Amazing, but not even a burning house forgives you for a vertical video. You're a savage.",0.2382,19
Anyone who dislikes this should burn for ten days nonstop,-0.4019,10
Are people disliking cause the didn't like what happened to you😖 or because there horrible people😡,-0.7851,18
Are you gouing to build new laser cutter when you get new house?,0.0,14
Around Christmas! That's horrible I'm crying. But its amazing how your house is burning down but you still apologize for the vertical view. Its so heartwarming.,0.7564,30
"As someone who had a LOT of water in their house around Harvey, I relate. There’s this weird feeling of “well, it’s gone, so fuck it.” And you don’t care about all your lost stuff. You don’t care about it at all. 

Best wishes for your recovery",0.6167,64
"Better yet, why don’t you open up a kick starter and try to build an under ground house/ shelter that is both large and fire proof.",0.128,31
"Bobby D. Sent me your way. 
👍",0.0,9
"Bro, I know this sucks, I can’t speak from experience but I just know this is the worst thing most people could go through. I just wanted to say that this may seem like the worst time of your life, but God has a plan for you and your family. He loves you and he hasn’t forgotten you.",-0.6846,68
"Burn't, no, mangina",0.2235,5
Buy a mansion,0.0,3
Cheese pufs at 2:25,0.0,4
Could you make an automatic knitter (I can't knit).,0.0,12
Daaamn I just found your channel by zapping through. I had a fun time watching the cotton candy vid and wondered what else your up to. Keep up your incredibly positive attitude. I hope you get your life back to normal as fast as possible,0.8849,48
"Dang man, bad things happen to good people.",-0.1531,10
Did the some of the cat shirts survive?,0.0,9
Did umm... Is Mr. Bones gone?,0.0,9
Didn’t you get enough money from the last video?,0.0,12
Dis NIBBA's house was LITFAM,0.0,5
Do you know how the fire started?!,-0.4003,9
Don't let this keep you down dude 😋😋😋,0.0,10
"Dude, are you in California, I live there and the sky turned bright orange mid day",0.4404,18
Evactuating your house when you're pretty sure it's gonna be gone is a weird feeling. We felt it with the Waldo canyon fire here in Colorado.,0.4404,28
F**k that would be shit,-0.5574,8
FUUUUUCK that’s awful and ur being so positive is inspiring,0.6888,12
Get well soon,0.2732,3
Glad that coughing beanie was not the cause of the fire,0.1531,11
Go to 3:28 on the milk spoon video,0.0,8
God dammit California. STOP BEING SO FLAMIBLE!!!,-0.4037,11
Ha ha your house burned down ,0.5859,6
Handling it pretty well.,0.6486,5
"Have you tried ""TURNING IT OFF & ON""",0.0,10
"Hope your ok! :) Wish I could help you

Good luck",0.9565,12
How are the trees not burnt down?,0.0,8
How are you uploading these?,0.0,6
How did 384 people dislike thus,-0.3818,6
How did the fire start?,-0.34,6
I FOUND THE EVIDENCE FOR THE OJ SIMSON TRAIL,0.0,9
I always knew that bastard was GUILTY!,-0.8087,8
"I am glad your ok, your dog good too? I was surprised when the Laser cutter didn't burn burn down the house. Best of wishes",0.93,28
"I can't imagine, I am a traditional artist who works from home - and this is one of my biggest fears. I used to live in an apartment complex where the alarms were going off on a regular basis because people are dumb, so I've thought about this way too often.  Best of luck during these hard times.",-0.1027,63
"I clicked on this video half expecting it to be your fault bc you guys are idiots


Feelsbadman",-0.4019,18
"I couldn't imagine what it felt like to see the fire coming towards you. Then the Lilac Fire happened. I was just outside the evacuation area, and it the fire headed straight here. I was packed and ready to go. The fire department questioned if it would go out before it hit the coast. The good news is the winds died down over night. Still, driving through the devastation in it's path. Sorry you had to deal with this.",-0.7845,89
I feel bad for you man,-0.5423,6
"I had some stuff I wanted to do, but my entire house burned down. Guess I’ll do it next week? So Canadian lol",0.627,28
I hope he gets a new house and Laser,0.4404,9
I hope u get a new home and a place to live and i hope that future house will not burn down 😔😔,0.7003,24
I hope you had a good Christmas :),0.8316,8
"I just cannot imagine that happening, hope you get everything straight again soon",0.5859,14
I just discovered this channel. I've had a house burn down and i feel for you. Good Luck with everything!,0.7345,23
I just found you're chanel and have been loving the videos. And I found this and got really sad sorry for what has happened but you and you're family made it out alive.,0.521,35
I liked because of the house,0.4215,6
I live in Ventura too so I saw the fires,0.0,10
I need to here the story,0.0,6
I wanna give you a hug bro :/,0.1779,8
"I was in Santa Barbara California and my house and 2 blocks away from the evacuation zone, it was really scary for me and packed all my stuff than realized we weren’t going to evacuate. Sorry about your house, and the fire which it’s called the Thomas Fire is the biggest fire in California history.",-0.8977,63
"I was like what is will up too 

*checks channel*

Well shit",0.0,14
I wish I could help build you a house but I have school,0.4019,13
I'm just glad you're okay but what about the laser is it okay,0.5859,13
I'm really and truly sorry.,0.3848,6
INSTAND SUB FOR RESPECT,0.4767,4
Im Kinda Sad,-0.4228,3
"Im so sorry and i really am just amazed that you cna still smile and joke around even when you lost everything.

best of luck
-adam",0.9094,28
"In the last video of his house,  you can see the cheese puffs from his last video on top of the fridge.",0.2023,24
Is his cats ok?,0.296,5
Is this home made out of cardboard?,0.0,8
It's disgusting how some people have DISliked this video.,-0.7269,10
"It's great you helped evacuate your family. Try and stay positive man, your people need you!",0.8398,19
I’m sure we all feel bad after watching for all the stuff we take for granted and everything this makes my heart hurt I’m so sorry you lost all that stuff..,-0.7755,36
"I’ve come to notice something, the worst things happen to the best people.",0.0258,17
"Just subbed because of this vid, you are a kind man",0.5267,12
"Keep Holding on. 
Keep making videos. 
Wear more cat t shirts",0.0,13
Keep your head up youtubers are here for you. :),0.4588,11
Laser machine gone?😣😣😣,0.0,7
