,sentiment,wordCount
"""The police cannot protect the citizen at this stage of our development, and they cannot even protect themselves in many cases. It is up to the private citizen to protect himself and his family, and this is not only acceptable, but mandatory.""

Jeff Cooper",-0.5035,51
"""anyone who disagrees with you"" = I don't want to look into what is being discussed, because I'm weak and stupid and want to believe what I want.",-0.8506,32
"""clone and puppet"" = anyone who disagrees with you.",-0.3182,12
"#FMCDH   kimmel is a pus$y,wanna fight soyboi?",-0.3818,12
"*The 1st Amendment right to free speech only prevents the GOVERNMENT from prosecuting you for your speech. It doesn't apply to companies such as youtube. They may legally censor anyone or anything they wish, especially the illegal speech (Libel and Slander) in these conspiracy theory videos.*",-0.5542,54
....this is fake news👍🏿💯✔️😳...,-0.4767,12
"31:00 It's not only young Americans who are walking out. Kids from all races are participating and we also need to recognize their courageous acts instead of narrowing the group down to ""young Americans""",0.5267,37
@jimmyKimmel you’re getting too political and you don’t know what you’re talking about in your little Hollywood world and fake life. Jimmy Fallon is putting you in a wheel chair I get it. Get this ratings.,-0.4767,45
Abroad concept bathroom interaction pet inform owner eat Japanese identification developer customer.,0.0,13
"Alex Jones said that most of the kids CNN allowed to speak at their special were in the school's drama club, which is TRUE, and that CNN was staging pre-scripted questions, which is also TRUE. NOT that they were crisis actors (though, one may reasonably draw that conclusion based on those two facts).  Only totalitarians would approve that as an excuse to censor him. There's a good reason the Left doesn't want anyone to hear what Alex has to say. He's basically calling out their lies and deception. Good luck  silencing him, though. Stalin's ghost is smiling down on the mini-Stalins  among you.",0.7222,117
"Are we on the same side here? I believe Jimmy is right in what he is saying. I believe the kids who are speaking out. But there are lots of people calling him a liar, the kids liars and saying it’s fake news. What I am saying is even if you dislike or distrust Jimmy you can find the truth for yourself by fact checking. Not just believing someone else’s say so. Or if you see or read a news report check their sources. They have to back up their sources too.",-0.9169,105
Ban all guns from psychopaths.  Thats all gun owners.,-0.7184,11
"Barf.. Don't believe this nonsense. What agenda? Oh I don't know, maybe the one you're pushing....?",-0.54,22
"Both things can be true at once. It was a horrifically real incident, and there are crisis actors used to push a certain agenda... This is nothing new and has been used for decades.",-0.6249,38
"Bring back REAL NEWS, Jimmy Kimmel and the MAN SHOw!!! Man show, man show , man show! Jimmy, when are you bringing it back?",0.0,32
By genuine trustworthy sources do you mean Youtubers?,0.5574,9
"CNN and the like put ratings over children's lives.  Studies show these mass shooters are significantly motivated by desire for notoriety.  The media knows this but continues to trumpet their names because it gets ratings.  This only spurs on the next killer.  The more media hysteria, the more dead children.  CNN and the like are the ones with blood on their hands.",-0.9145,69
CRISIS ACTORS,-0.6249,2
Calling people names because they don't fall for your liberal narrative is not an argument.,0.2755,16
"Can anyone tell me the name of the woman who asks the questions on the street in these Jimmy Kimmel videos? I have taken issue with a few thing she has said to children which I think are inappropriate and disgusting. I noticed that the comments have been disabled in said videos. When asking a little girl where babies come from the child answered 'when a mom and dad make love'. This disgusting woman then asked this little girl 'what loser makes love?'. What kind of thing is that to say to a child? that woman should not be allowed to do that job.
here's the video she asks it just over a minute in.

https://www.youtube.com/watch?v=yleO8Mn3G14&t=67s",-0.8978,129
Criminal minds and potential murders love guns.,-0.4939,8
Crisis actors are real and this is how they keep you asleep 😴,-0.6249,13
Cryin kimmel...crocodile tears. Liberal schill..,-0.2263,9
