,sentiment,wordCount
"""Hey, it's me, Versace! Whoops, somebody shot me!
And I was just checkin' the mail
Get it? Checkin' the male?""",0.0,31
"""The girl on the train""",0.0,7
#MOREMOREMIRW#MEASUMESNIUNTAINSFLATWEAR#DEMONS#YALL2GUD#VER\SA\CHER#WHERE #CHEROKEE\$#@,0.0,15
*gayness intensifies*,0.0,4
0:04 Versace on the floor,0.0,5
0:11 Pronounce VERSACSHE. I'm Italian and I've never heard an American pronounce it right!,0.0,16
0:29 Blaine is that you?!,0.0,7
0:45 oh god what is he doing to him?..,0.2732,11
0:47 ok but who is he thanks,0.6652,7
A season about Faggots pass.,-0.6369,6
Alguien A. S,0.0,4
Am just loving the characterization of penelope cruz as donatella versace AMAZING. and what is this 1:00 OMG ICONIC AF!!!!,0.891,24
Amazing Cast! I bow down to Ryan !,0.658,9
An Emmy for Penelope and Darren ?,0.0,7
And don’t miss the sequel “VERSACE ON THE FLOOR “,-0.1531,13
And the Alt-Left wants to pass this lifestyle as ...normal!,0.0,12
Anybody knows the song on 0:53?,0.0,7
Anyone else here because of Darren Criss from Glee???,0.6946,12
Are there any court scenes?,0.0,6
"Based on the trailer, Penelope and Darren look like shoe-ins for Emmy nominations!",0.4199,15
Best Donatella impression....,0.6369,4
Best moment 0:15 Penélope! 💪👏👏💕,0.6696,9
Blaine took a dark turn,0.0,5
"Bluedave 666 Que los latinoamericanos nos apoderamos de su lengua? jajajaja. Qué chiste! Ya que tocaste un tema del pasado.. quién vino a JODER hace muuchos años a Latinoamerica, a gozar de sus tierras, entre otras cosas? NO seas tonto.",-0.5551,48
Bravo,0.0,1
But gaga would be also very Nice,0.4754,7
Can anyone tell me what the music which stars at 0:05 is called?,0.0,14
Can’t wait to see my baby Darren kill people then snatch all the awards 😩👌,-0.4019,18
Classical music song in the end?,0.0,7
Damnnnnnnnnnnnnn dammnnnn,0.0,2
Darren Criss was perfect for the role he is a great actor and both Darren and Andrew Cunanan were both half-filipinos that adds a realistic portrayal .,0.8316,27
Darren!!!,0.0,4
Darren!!! Glad to see him again!,0.6331,10
Darren's voice is pure ecstasy.,0.5994,6
EDGAAAAR <3 <3,0.7003,3
"EDGAR RAMIREZ(VENEZUELA), RICKY MARTIN(PUERTO RICO), PENELOPE CRUZ(SPAIN).!!!!!!!!!
HISPANIC POWER!!!!!",0.0,27
ESPANOLES NO SON LATINOS?,-0.296,5
Edgar Ramirez Orgullo VENEZOLANO ♥♥♥,0.0,7
Edgar Ramírez the best of the best,0.8555,7
"Edgar looks like a Sugar Daddy, fuck.",-0.25,9
"Edward, Ricky  y Penelope, Todos talentos latinos, Genial.",0.4215,12
"English speakers truly butcher Italian pronunciation, what the fuck is G-I-anni Versaci",-0.1531,13
"From this trailer alone, I already feel extremely anxious and frightened.",-0.7548,13
Fuck me this was so good,0.0622,6
Fucking gay,0.0,2
"GEE, WHAT A SURPRISE. ""STRAIGHT"" DARREN CRISS PALYING A GAY MALE AGAIN. COME OUT ALREADY, YOU'RE NOT FOOLING ANYONE.",-0.1531,26
GO GET THEM PENELOPE!!!!!!!!!!!!! ORGULLOSOS DE TI :D,0.6671,11
Gaga should’ve played Donatella,0.34,6
Glee club really left Blaine scarred.,0.6369,7
He is a good actor (Darren) in this. He must be given an award👏👏👏.,0.4404,21
He should Leopold and loeb story for season 3 old story but good.,0.5927,14
He was a genius,0.0,4
"Hermes sein gibi beyinsiz degil Penelope!!! Kimseyi KIT AKLINLA UGRASTIRMA BOSUNA!!!

HAYVAN",0.0,18
"Hey, it's me, Versace
Whoops, somebody shot me!
And I was just checkin' the mail
Get it, checkin' the 'male'? -Eminem",0.0,32
Hope this doesn’t turn out to be another True Detective Season 2,0.6908,14
I WANTED HURRICANE KATRINA.,0.0,5
I can’t get over Penelope as Donatella,0.0,9
I did a review of most 5 interesting TV shows coming up this winter check it on my channel,0.4576,19
"I don't know what the hell happened... But when I saw Penelope blonde my mind saw Brittany Murphy instead and then I saw it again but I realized it was Penelope
(I know they don't look alike or anything like that but please, the features changed completely in my mind)",0.5267,54
I don't want to learn about the POS who killed him..he deserves no show about his life. he can rot wherever he is now...this docudrama should focus on the icon that is Versace..,-0.7859,39
"I find it hilarious that there are a ton of these types of murders plagueing the gay community, but they go severely unreported...",-0.6858,25
I hope the Lewinsky scandal is gonna be season 3 and please do something on Anna Nicole Smith or a classic 50s/60s moviestar Ryan Murphy!,0.3802,28
I hope they will use Versace fashion bijoux,0.4404,8
I miss Andy Cunanan. 😟,-0.1531,6
I really hope there is not too much Murphy. With the 2 Versaces I'm in,0.4927,16
I wanna see darren kissing a men...,0.5719,8
"I was actually working for Versace in the same time frame. I was a Boss Model, Mens Division and during his murder, I was on a campaign for Versace Couture Jeans. In addition, I have been to a party at his mansion among several parties at Club Liquid, South Beach, and Club Bash and the Stage, NY City. I can remember how he treated people, I was personally met by G Versace at the DB dungaree clothing store on South Beach. He walked right up to me and said, so, are you a model. I said, as matter of fact, I am. He said I like you, who, wow, wow,  that was exactly what I heard. Then, he says, who is your booker, I told him, Boss men Miami and NY,. He said you will hear from me. He was wearing a black T-shirt, rolled up sleeves with blue jean shorts, I swear to god, looked like he was wearing Dazy Dukes. lol. He was walking a British bull-dog.  his family and him, they were nasty people, they talked down to everyone, esp that filthy pig of a sister. They always had local wise-guys there at there parties so in short, I am not surprised and from what I saw, if Andrew didn't do it, someone else would, they were just too​ nasty to people to get away with.",0.873,274
"I would be much more eager to see a movie about Versace’s work, not about his death.  Unfortunately, for most people, the latter is more intriguing 🤷🏻‍♂️",0.5483,37
I would prefer Antonio Banderas as Gianni Versace.,0.0,9
"I'm Italian and they are pronouncing "" Versace "" wrong",-0.4767,10
"I'm so hyped to see this, but next season should be The Menendez Brothers!",0.0,16
ITS BLAINEEE!!!!!!!!!,0.0,5
If lady gaga had the role from penelope lady gaga would kill it,-0.6908,13
"Im excited to see whos playing who(famous celebrity) in this season. Like, will Naiomi Campbelle play as herself or someone else? Will we see Princess Diana and Anna Wintour😍😍",0.7964,37
Im ready,0.3612,2
Is this in Netflix?,0.0,5
"Is this show about Versace's death or a boring memoir of a gay serial killer? Every episode is about him killing someone else, not unraveling the Versace mystery. Starting to feel like the title was a cheap grab for viewers.",-0.9246,44
It's VERSACE with the sound of A in the first sound part.,0.0,13
It's amazing I was just looking into this again and boom its ACS season 2,0.5859,15
Its Versa-cheh,0.0,2
I’d let Darren kill me anytime,-0.6908,8
"Jaja la penelope cruz haciendo de una Versace? Jajajajajjaja PLEASEEEE, nisiquiera pronuncia bien el ingles xD",0.5859,18
Jealous As Hell,-0.8225,3
"Jeannie G hablar bien significa  modular, pronunciar bien etc etc...y bueno si tienes claro eso es cosa tuya...como tambien no entender que mi comentario no solo era por como esa mujer pronuncia el ingles.",-0.5267,40
"Jeannie G no solo es por eso, dije "" nisiquiera""  eso significa que hay otras cosas mas importantes que esa para creer que no es indicada para el papel, según mi perspectiva. Gracias por compartir tu opinion.",-0.5267,42
"Jeannie G pues nunca me quize discutirlo, solo quize comentarlo...Y de cualquier forma al decir ""nisiquiera"" di a entender que esa era una de las  razones mas basica o minima,  por las cuales considero que ella no merece  ese papel. Adios y suerte.",-0.296,51
Jeannie G vay...dices que contratar a una actriz solo que pronuncia el ingles igual de mal  que el personaje de la vida real esta bien? Bueno...si es por eso esta bn.,0.0,37
Jeu d’acteur incroyable comme d’habitude.. montage.. tt est incroyable,0.0,15
"Johnny Sins Roode los auténticos latinos somos los españoles italianos franceses etc por nuestra lengua provenir del latín, vosotros los latinoamericanos os habéis apoderado de esa palabra pero vosotros sois latinoamericanos nosotros somos latinos auténticos de origen.",-0.4588,39
"Johnny Sins Roode primero edúcate y entérate que los españoles son denominados latinos, por hablar una lengua romance que es el Castellano. No por ser de Latino América inculto.",-0.1531,32
"Jon Menard 
Its a tv series what did you expect",0.0,10
Just give Darren his Emmy already,0.0,6
Kills my brother,-0.5423,3
Lady Gaga had to be Donatella,0.0,6
Legit thought Penelope Cruz was Gwen Stefani in the thumbnail. Looks amazing regardless.,0.5859,15
"Listen to me, in 2019 Penelope Cruz will win ALL SUPPORTING ACTRESS IN TELEVISION AWARDS... As Spanish that speaks fluent english and fluent italian she was amazing to act an english with italian accent... amazing!!!",0.951,41
"Lo de apoderar no lo dije yo, fuiste tú. No estoy inventando nada, y tampoco hablé de ningún oro.",-0.5267,23
Looks a lot better than I was expecting!,0.4926,9
Maria Pacheco a ver si aprendemos a leer correctamente lo que he dicho es que vosotros os habéis apoderado de el término latino que realmente vosotros sois latinoamericanos pero los auténticos latinos de verdad somos los españoles vosotros derivais de nosotros habláis el español por los españoles y los españoles somos los auténticos latinos porque nuestra lengua procede del latín al igual que el italiano el portugués el francés etcétera todos son lenguas romances derivadas del latín con lo cual somos latinos,0.3182,82
"Maria Pacheco pero que no he dicho que os hayáis apoderado de nuestra lengua, empanada!!! te he dicho que vosotros lleváis muy por lo alto el consideraros latinos pero que los auténticos latinos somos nosotros, punto, no hay más",-0.6458,45
"Maria Pacheco y eres una pesada yo no he tocado temas del pasado sois vosotros que sois unos rencorosos a día de hoy con los españoles seguís con la misma historia de que os robamos el oro, pesados pasar página de una vez!!!",-0.4724,47
Me encanta la actuación de Edgar Ramírez y Penélope Cruz ❤❤❤,0.0,13
"Mmm Penelope Cruz really dont look like Donatella Versace, instead the actor of Gianni is perfect",0.324,17
My girl Penelope is about to kill it!?!,-0.7418,11
NICHOLE simpson only marry O J because he was rich and had a big penis... Gold digger got dug,0.5574,20
Not interested without gaga,0.4019,4
OMG PENELOPE'S PERFORMANCE IS SO FANTASTIC,0.5984,6
OMG! Is this really Penelope´s voice? OMG!!!! give her and emmy please!,0.5374,20
OMG!!😨 Amazing.,0.658,6
OST from 0:53 please :s anyone?,0.0258,8
"Ok. Dos palabras muy distintas: ""apoderar"" y ""derivar"". De la primera no estoy de acuerdo, de la segunda sí. A veces hay que saber decir, o en este caso, escribir lo que se quiere expresar en realidad. Feliz tarde.",0.0,52
Ok.. but where is my girl NAOMI??,0.0,10
Omfg give Darren the Oscar already I can't 😍💕,0.0,10
Omg I can't stop watching this,0.2235,6
Omg I can’t wait to see Darren in this,0.0,11
Omg she looked like lady gaga from Hotel!!,0.4738,10
Omg 🔥🔥🔥,0.0,4
"Omg, she looks Like Brittany Murphy",0.3612,7
Omg.One of the Dolans had a kid with Brendon Urie (0:56),0.0,13
PENELOPE CRUZ IS SLAYING !!!,0.0,7
"Panagiotios La familia Versace también es latina, por el hecho de ser italiana.",0.0,15
"Penelope Cruz es española.
Pendejo",0.0,6
"Penelope Cruz is amazing i have no words her voice is the same voice of Donatella it's incredible, a real talent! Can't wait to see it!",0.717,29
"Penelope Cruz is gorgeous, Donatella Versace is a walking nightmare. Bad casting.",0.128,15
Penelope Cruz is the face of Brittany Murphy,0.0,8
Penelope Cruz like cute as ablonde,0.6705,6
Penelope Cruz look stunning,0.3818,4
Penelope Cruz 😍😍😍😍😍😍😍 as donatella 😍😍😍😍😍,0.0,10
Penelope Cruz! Holy shit....she’s gonna win something for this,0.6239,14
Penelope as Donatella is giving me life 4ever! So well done! I love her! 💃,0.8788,18
"Penelope is killing it, yas sis work*",-0.6597,9
Penelope is not Latina,0.0,4
Penelope is stunning!!!!! i cant wait to watch it!,0.0,13
Penelope reacsh a sushess nobody before!,0.0,7
Penelope!! <3,0.5399,4
Penelope's acting in this looks so good!,0.6166,8
Penelopes accent is spot on 👌,0.0,6
Penélope Cruz is serving Donatella Versace in a gold plate for the main course,0.0,14
Peut être que un jour il y aura des sous titres français,0.0,12
Please give an award to Penelope cruz just for this trailer,0.7003,11
SOMEONE CAN PLEASE TELL ME THE TITLE OF THE CLASSICAL MUSIC IN THE TRAILER? I CAN'T FIND IT ANYWHERE.,0.3182,21
STOP MISPRONOUNCING HIS NAME  YOU MOTHERFUCKERS.,-0.296,7
Sends chills every time I see this trailer. Darren Criss is my love and I can't wait to see him be amazing in this,0.8402,25
She sounds exactly like Donatella. Wowww,0.3612,7
Sigh....,0.0,2
So ein Langweiliger Scheissdreck.,0.0,5
THANKS FOR FRENCH SUBSCRIVE,0.4404,4
THE EMMYS AREN’T EVEN CLOSE TO READY FOR DARREN CRISS AND PENELOPE CRUZ BYE,0.3612,16
THE GUY FROM GLEE,0.6369,4
The acent of penelope ❤️,0.0,6
The guy who murdered Versace should be released immediately so that he can go out and commit more crimes like this agains the perverted gays!,-0.6386,26
The guy who murdered Versace should be released immediately so that he can go out and commit more crimes like this against the perverted gays!,-0.6386,26
There’s a lot of gay sexual stuff I’ve watched the 2 episodes so far,0.0,18
This is gonna be the best thing in 2018,0.6369,9
This is just another gay movie.,0.0,7
This is spot on!,0.0,5
