,sentiment,wordCount
"""Don't take risks while singing the National Anthem""",0.2057,10
"""Land of the bree"" tho 😂😣",0.0,9
"""ban-urr-yuurr-yyeett-waaavvveee""

😨",0.0,4
"#MeToo
~ The Star Spangled Banner",0.0,6
#STOPFergie,0.0,1
*Hit it Fergie* 😂,0.0,6
*MY HUMPS MY HUMPS MY LOVELY LADY LUMPS*,0.5859,10
*Retarded AF 🅱*,0.0,5
0:24 when someone steps on your toe,0.0,7
0:33-0:40 lmao,0.5994,3
0:34 😍😍😍😍😍,0.0,4
0:39 he's trying so hard not to laugh,-0.5845,8
0:42 has to be turned into a meme or a gif,0.0,11
0:44 lol that was my face too tho...😂,0.4215,10
2:10 I AM DEADDD!!! 😂😂😂😂😂,0.0,10
A very tough song... do it tried and true...,-0.2006,11
"All the time I turn around brothas gather round, Always looking at me up and down looking at my uh",0.0,21
And this is why you don't have Jimmy Kimmel when you mess up the national Anthem.  He was also there when Jamie Foxx was singing the National Anthem,-0.3612,29
At 0:52 do you notice the guy in white behind is laughing so hard.😂,0.4939,16
At 1:09 he said something about summer ray,0.0,8
BANNNERER YEYET WAVEEEE,0.0,3
Ban- NEr ner YEAH ayy,-0.1697,6
Banneray Rae waaa ayeeeeee,0.0,4
Best part of this was their SMILE,0.8143,7
But she didn’t try her best??? She’s a fine singer but like ahh,0.7776,20
Can anyone do the same with O Canada?,0.0,9
Chief Bunny él grupo solitarios el sur,0.0,7
Colin Kaepernick just told #fergie don't disrespect the anthem like that #NBAAllStar2018,0.5903,12
"Don't take risk, unless you're Marvin Gaye or Whitney Houston 👍",0.2057,12
Draymond Green is smiling,0.4588,4
Draymond Shrek looking ar$e trying not too bust out laughing.Had me dieing!,0.0,15
Draymond tried so hard not to laugh yo lmfaooooooo,-0.5845,9
Elisa Castro xD 😂😂😂😂😂,0.5859,6
Everytime Americans sing their anthem it always ends up in headlines in the most infamous way 😂😂😂,0.0,19
Fergie has a good voice but she did make a fool out of herself....at least she owned up to it unlike Roseanne when she purposely mocked the anthem.,-0.705,31
Fergie is still looking fine asf for her age tho wow,0.6808,11
"Fergie should be on a ""try not to laugh"" compilation",-0.4449,12
Fergie singing the national anthem is  like Jessica Rabbit on meth,0.3612,11
Fergie singing was so bad Colin Kaepernick got off his knee and told her to stop disrespecting our flag,-0.7712,19
Fergie soundin like she got a few black eye peas stuck in her throat.,0.128,15
"Fergie u should learn from CL..
CL live pyeongchang 2018😆",0.0,12
"Fergie's awful performance pales in comparison, to Jimmy Kimmel's awful nightly monologues.",-0.7184,14
"Fergie, you stink!!!!",0.0,7
"Finally he said something I agree with.  When you're a ""risk taker"" don't take it with the national anthem.  Just don't.  I've seen this rated up there with Rosanne Bar's rendition, and I'd have to agree.  Just really bad,  and for most in the country, just sad.",-0.6115,57
First person thought of was kimmel when I heard her singing it.,0.0,13
HIT IT FERGIE!,0.0,4
"He should’ve said “Hit it, Fergie” before he played the video",0.34,16
He's so adorable 00:42. Wanna marry him. Hehe.,0.5413,11
"Her patriotism was exploding you guys dont understand her emotions! Y'all aint fergie fans! She rocked it! 







Muhuhaha",0.0,21
Her voice 😂😂😂😂,0.0,5
He’s a goof ball 👎,0.0,7
"Hi Jimmy Kimmel, at present welaunched a USB-C Hub.
We are looking for reviewer.
Would you like to cooperate with us?
Please contact us[Mortrina@outlook.com].
Thanks.",0.7717,34
Hilarious! 😂,0.4574,3
Hit it? She battered it.,0.0,7
"How did Maya Rudolph parody this years ago on SNL? It's uncanny...and better. If u haven't seen it, prepare 2 laugh until your stomach hurts. Seriously.",0.4019,33
"I  don't get why they asked Fergie to sing it in the first place. She never had a great voice. Luckily, her songs are catchy. Otherwise she wouldn't be successful.",-0.4707,35
"I agree.  Jimmy's monologues and attempts at humor nowadays, make me cringe as well.",0.6908,17
I bet he was thinking “ooo how I plan on roasting her for this”,0.0,16
I can' stop laughing - it is so funny,0.6948,10
I didn't see this performance. This is the first time that I've seen a clip of it. I can't judge based on this alone.,-0.3071,27
"I don't know why people consider her response an apology, she basically said my bad you didn't like my version of it. She deserves to apologize not for the artistic risk but singing objectively bad (being pitchy, off key, and singing flat)",-0.8319,48
I don’t care what political etc.,0.4939,9
I feel bad for her.,-0.5423,6
