,sentiment,wordCount
... I thought you meant Justin Trudeau.,0.0,8
And so communism slowly dies in Cuba,0.0,7
And some Human Traffickers need to look like my 5 O'lock meeting with 12 bank owners in South America in 12 years to cash out on every VMR (video motion recording) tracked bank deposit of Platinum and Titanium since 1987.,0.3612,43
"Anybody who is suffering from depression can get inner peace by going to Jesus! And you also get thrown in for free, eternal life....If you are in need of some bible teaching on all things Jesus,  the site teachingfaith com is a good one. All their content is free...Start with a teaching series titled, 'change of mind'. That one is one of the best series that teaches all the basics you need to know and understand...again everything there is free...",0.8122,95
Bad news to the Cuban 😭,-0.5423,6
Bubye,0.0,1
Burn in hell you commies!,-0.7088,6
Capt morgan He shot himself in the head three times.. Hillary witnessed it 😁,0.0,15
Check Attire - Some guy named Depression shot Castro in the head 3 times.,-0.5719,15
Damn I thought it was Justin.,-0.4019,7
Death to Democats and Castro,-0.5994,5
Edao Tekesa,0.0,2
Free helicopter rides for commies,0.5106,5
"God is not willing that any should perish but that ALL should REPENT 
and come to the knowledge of the SAVING GRACE of the LORD JESUS CHRIST !!!",0.8034,30
God rest his soul. He obviously couldn't live knowing the absolute mass murdering legacy he was continuing.,-0.4939,19
He couldn't live knowing what his father did to innocent people.,0.34,12
He just couldn't listen to Paris Hilton no more.,-0.296,10
He was depressed because he waited his entire life to take the throne and the chance never came.,-0.3182,19
How.,0.0,2
"I think it's a purge, big change coming. By the way, what a waste, he probably would have been next to the throne, with the look of his dad. Hopefully he will be survived by children.",0.4939,43
I wonder what depressions real name is and who he worked for???,-0.5775,15
I wonder what he knew about Hillary.,0.0,8
IF I make it to 68 ...I won't be taking my own life... makes no sense,-0.296,18
"John 5:28/Daniel 12:2/           2 Cor.5:15  he will hear Jesus voice, and awake out of sleep in the dust of the earth/lifeless death; because Christ died for everyone*. Guaranteed awakening for the world, both the just, and the unjust - Acts 24:14-16.",-0.8957,56
Justin looks just like his father.,0.3612,7
Killed himself? Or starved to death?,-0.924,8
Mark W. anymore*,0.0,5
Oh no🤭,0.0,3
"One less commie swine.
Today has been a good day.",0.4404,12
Orev dude your just an asshole,0.0,6
Orev if we were so lucky,0.5598,6
"Orev, that's hilarious!",0.4574,5
RIP,0.0,1
RIP Fidelito. Viva la Revolucion,0.0,6
Sorry Truthseeker I don't know what the background story is to his death. No surprise this 'news' org. didn't go into the details surrounding it.  What facts do you have that I should know about?,-0.6486,41
StopWatch he didn't commit suicide come on people don't even think that he was murdered everybody knows that you really have a murder that looked like suicide only a retard would believe official story,-0.7172,34
Thank you Trump for having this MOTHER FUCKER KILLED.,-0.8679,10
Took him 68 freaking years to figure that out eh ?,-0.4215,11
W,0.0,1
"We and by We, a few smart and well educated Canadians knows that Trudeau's mom was Castro's mistress until her marriage to Senior Trudeau was announced right out of the blue...then a kid appeared lol  guess who",0.765,40
What?  How sad😭🤢😤,0.0,7
When somebody replies with KYS so you do it.,0.0,10
"findingout
Cuba was taken over ever since Obama came to offer friendship, they corrupted Raul Castro with money, used nano technology implants. Eventually the Castros will slowly disappear, as western investment money is fulling the fledgling economy of Cuba, there are also many spying cells popping up around Cuba biggest cities.",0.25,57
https://www.youtube.com/watch?v=HlxYGxoHMWE,0.0,1
r. i. p...,0.0,6
"the body chemical imbalance, he needed good friend",0.7269,9
we'll there's a job opening in cuba. please apply within and enjoy your stay.,0.6705,16
