,sentiment,wordCount
$2.19 a gallon in Texas,0.0,6
"*I have a question: what V engine is better? ( V6, V8, or V10 ( I didn't even know there was a V10 ) )*
*Reason I ask, my relative's V6 can 'get it' ( launch forward quickly ) faster than our V8, but I am pretty sure the larger the engine, the more HP?*",0.8611,69
0.49$ per liter 🤣,0.0,5
1 Ford escort mk2 in bad conditions cost 5000 dollars,-0.5423,10
"1,5/1,6€ per liter for 95octanes gasoline",0.0,9
1.36 euros per litre is high?? try Greece mate. Curently being around 1.50+!! also keep in mind that our salaries and general economy dont come even close to UK standards...,0.0,36
13.500 rupiah is 1 dollar.,0.0,6
200k is needed to buy a brand new Prius in Singapore,0.0,11
4:30 ;-;,0.0,4
"A 2016 Challenger SRT costs US$400,000 in Indonesia. We don't even make any minor globalised products but taxes of imported products are upwards of 200%",0.0644,29
A nissan 200sx/240 in argentina worth over 230000 argentinian pesos (11500 dollars),0.2263,16
A used 2009 GTR in Finland cost around 88k euros thats just ridiculous,-0.3612,13
"A used 2009 Nissan GT-R in Norway costs 900.000NOK which is around 83.000£
And it also has driven 75000km or 44000miles.
And with the gas prices and insurance and taxes ... well I don’t want to think about it.",0.34,45
"A used prius will cost you around $40,000 here in Sri Lanka, thanks to the 400% import tax!",0.4926,22
"Absolutely dreadful in Malta , the average mx5 goes for €9000 , a 2011 Fiat 500 goes for around €10000 and what are referred to as beaters in the Uk are the usual first car here at around €2000 average",-0.4927,43
Algeria you need to work 5 years and not spending a 1€ to buy a 2007 dacia average salary is 200 euro and a new BMW m3 320d cost 60000€ so.... But the fuel is 0.2€ but again salary is 200€,0.0,46
And nissan gtr 345.000 dollars  used with 130.000km,0.0,9
Argentina is more expensive than Brazil,0.0,6
Argentina...... super expensive,0.5994,4
"Bitch Please, Philippines?",-0.3612,5
Brazilian here bro,0.0,3
"But a litre of gas is one fourth of a dollar cheeeeeeep
Rare findd like a ferrari 458 with real license cost 95 billion irr or 2 milion dollars but its only 260k in usa",0.1901,35
But on portugal u can buy a civic 98' for around 1000€so that isn t bad i think,-0.5423,21
Buy your cars now Britain before Brexit bollockses everything up,0.0,10
Cameroon,0.0,1
Car prices in Norway are expensive as shit,-0.5574,8
"Car taxes are so important to some countries like Portugal (where I live), that they still charge illegally, a CO2 tax in a used car imported from England, even if that tax was already paid when the car was bought new!",0.632,47
Car with cant found without stock??? 🤔 Nice video! 😀😁 (Honda) 😂,-0.4878,19
Cheapest Country To Buy A Car,0.0,6
"Check out Bosnia and Herzegovina, u will be amazed",0.4939,10
"Clean mx5 here,  in U.S is 700$ up to 1,800$",0.4019,15
Colin costs upwards of 20k pounds (RM110k) here in Malaysia. Lets not talk about the e46 m3..,0.0,21
"Complaining about gas prices in the UK? Portugal makes the video's list and the cheapeast gas you can buy there still costs no less then 1.6€/liter. And lets not get us started on the relation minimum-wage/life-cost  compared with the UK.  That's ""ouch""...",-0.4588,53
Currently My country The Philippines Had crushed some smuggled Cars(Including a Nissan 350Z and a Miata and A Some Jaguar and BMWs and 1 Toyota Lite Ace Noah and 3 Mitsubishi Pajeros/Monteros and a 1 Stock Mitsubishi RVR(Stock unlike the Sporty one),-0.6486,49
Denmark! just saying...,0.0,5
"Dont mind me, just sitting here in Denmark SUFFERING",-0.5904,10
"Dude... The gasprice in The Netherlands is 1.58 euro, with 1.10 euro of TAX... 😔😔😔",0.0,20
Engine size and power are not directly correlated. Though there’s a trend there are many cars with less cylinders and smaller displacement that have much more power than a larger engine. An example is pretty much any old American muscle car vs the Mercedes a45,0.4939,49
