,sentiment,wordCount
"""....a few iconic people....""



troye sivan😂🤧😍",0.0,13
"""Beat that dead horse into a fine powder and snort it""
Can I steal this and use it as my catchphrase?",-0.7717,24
"""I have a tight [lady door] from watching this""",0.0,13
"""I thought I told you little shits to stop doing that"" I'm sorry I couldn't hear you I don't have my glasses on.",-0.6179,26
"""I thought I told you little shits to stop doing that.""",-0.578,14
"""You've been in a coma since April 2nd 2016""
""Oh boy! I can't wait to see the new dnpc!""",0.0,25
"* reads description *

.....ONE NIGHT AND ONE MORE TIME, THNKS FR TH MEMERIES, EVEN THOUGH THEY WEREN'T SO GREAT!",0.7993,24
*I haven't laughed this hard in a LONG time* 😂😂,-0.4552,13
*Interactive introverts India!!*,0.0,7
*S O F T A N D N E A T*,0.0,13
*S o F t    A n D   N e A t*,0.0,13
*a month without uploading...*,0.0,7
"*lady door*
*Girl zone*
*Female exit*
*Queen cage*",0.0,16
*p r o t i p*,0.0,8
*s o f t a n d n e a t*,0.0,13
"*sees daddy kink* ""yeah"" is that what i think it is",0.0,15
*soft and neat*,0.0,5
*soft and neat* *soft and neat* *soft and neat* *soft and neat* *soft and neat* *soft and neat*,0.0,30
"*soft, and neat.* *soft, and neat.* *SOFT, AND NEAT*",0.0,20
*tight chested*,0.0,4
"*we might be terrible people, but we're your terrible people*",-0.7351,13
....soft and neat,0.4588,4
2018 already sucks ass,-0.7184,4
"2018 is already worse than 2017


Because of the explosion in Leicester (near me)",-0.4767,16
2035 anyone?,0.0,3
:c I’m sad that I’m the only Saudi Arabian who watches you. Oh well,-0.6249,20
"A MONTH WITHOUT UPLOADING
I COME BACK 2 THIS VIDEO

*Read more*",0.0,14
A month dan 😐,0.0,4
AND WHENEVER I GOT WET I LOOKED LIKE A POOBLE,0.3612,10
Agee ppl just freak out bc I commented “it’s over a month post a fucking video u twat” I was kidding!! Ight! I kno he has his own life!! Idc how often he posts!! I love him as a human bean regardless!,0.5951,54
All right whose gonna riot with me,-0.5574,7
Are we getting a dan and Phil crafts this year,0.0,10
Are you dead Dan?,-0.6486,5
As you said biatch an ad for a Christian Church popped up,0.0,12
Boi you better do another year in memes next year i stg,0.4404,12
COME TO INDONESIA,0.0,3
Collin is more normal than my cats Roy and Norris,0.0,10
"DAN : we might as well go to places like the uk that we have not been in 2 years 
ME : you live in the U.K. 😂
Also COLIN IS THE CUTEST AND THE BEST NAME EVER 😍😍😂👌🏻",0.9333,46
DAN IT'S THNKS FR TH MMS NOT THNKS FR TH MEMES!!,0.0,13
Damn fucking right,-0.4019,3
"Dan
Dan
Dan
Dan
Dan
Danny
Daniel





What about the week in March 

Huh
Huh
Huh",0.0,16
Dan Floaty was my background for three momths,0.0,8
Dan do u think my dog is cute :( 💕,0.0258,10
Dan hello you dead ?????,-0.7399,7
"Dan howell sneezed...
Finish it ( reply )",0.0,9
Dan is awsome!,0.0,4
Dan plz can u do 2018 one!!!!!,0.3544,10
"Dan the FBI wouldn’t be after you, the CIA would. FBI is for U.S soil only.",0.0,23
Dan! Why don’t you come to Arkansas?? I would really like to meet you and that’s where I live. I’d really love to see you and phil live so plz consider coming to Arkansas:),0.8651,45
"Dan, I love you but, what the fuck happened to your mirror",-0.4854,14
"Dan: *talks about how people say stuff about running out of ideas after 3 videos*






Meanwhile, at CrankThatFrank’s:
*WeLCoME tO EmO baNds oN C-C-CrACK nuMBeR 9402 YEeMoS*",0.0772,36
"Dan: good things come in threes, so imma make three videos per series
Dan next year: yeah good things come in threes so imma make three videos a year",0.7906,32
"Dan: “you may never see me the same again” 

*shows picture*

Me: but you’re still hot?!?!",0.0,28
Definitely,0.4019,1
"Don't cry, craft",0.3724,4
"Don't cry, craft!",0.4303,5
"Don’t cry, craft!",-0.5255,7
EDIT IT OUT...my heart hurts,-0.4767,7
Find me,0.0,2
Frea de nee,0.0,3
Fucking hell I know all about those withdrawal effects. Ran out of mine for 2 weeks - the first week was constant headaches and dizziness and near blackouts. Real fun!,-0.4186,33
GET YOUR OWN NAME BENDER,0.0,5
Ha.,0.34,2
He never talked about what happened in March,0.0,8
He used them correctly within this video! :D,0.6514,9
Hi,0.0,1
"Hi. So, my name is [dan]",0.0,10
"Holy fuck Dan, it's almost 2 months",-0.5423,8
"I JUST REALIZED THIS VIDEO IS 30 MINUTES LONG ASKJEGHDBVSNVBDHUGRNJFJNK FESHIGHIGMKLN
SMH",-0.4648,12
I NEVER SAW THE 13 REASONS WHY THING OMGFGFG,0.0,9
I am always a terrible person anyway so I'm more terrible now,-0.7351,12
I approve of all artwork that appears in this video 👌🏻,0.0,12
