,sentiment,wordCount
"""Really love riding our parts""",0.6697,7
"""Solves a lot of problems "" problems created by sram in the first place!",-0.3802,16
"""We couldn't do that with the old dual platform"" So, we now do a triple product line so we have an even more complicated product line up. Great.",0.6249,33
#Roaddub,0.0,1
12 speed is not that standard for drivetrains    SMDH,0.0,9
28.99...,0.0,2
"68/73 threaded BBs and Hollowtech II cranks work so well, and they are home mechanic friendly. They give up about 100-200 grams vs carbon cranks, (For a savings of hundreds of dollars,) in what is probably the least important area of the bike to save weight. A direct mount would be nice, but the system works good as is. I'm curious what SRAM is up to with DUB, but I'm not really seeing the benefit yet.",0.9507,87
"All benefits I see so far is for SRAM: cheaper manufacturing - one spindle length/diameter less steps to produce etc. - and can be sold for more as the ""latest and greatest"". As a bonus it forces to buy a SRAM BB with it - for now. The rest sounds like typical marketing BS mixed with some beard fest.",0.8225,68
"All you really need is a tool to remove the superfluous chainrings and the front derailleur. Chain guides, clutch derailleurs, narrow wide teeth and 1x specific cranks are nice, but some of us have been running 1x since the 80s.",0.2263,45
"Another f#%*&#g bottom bracket standard, really?!",0.0,15
Apparently SRAM has been spending their time developing a simple solution to facial hair...the mustache.,0.3182,18
"As a recent Engineering graduate, this shit is straight up inspirational! Hell of a job!",-0.7379,18
"Best modern crankset is the Shimano XTR M980, which came out in 2011 - strong, light, VERY durable, VERY reliable, low q-factor, great looking, somewhat affordable, uses the established 24mm bottom bracket and established 104mm chainrings, works perfectly with threaded BB's and just fine in BB30 with a good BB and/or adapters.  Every carbon crank on the market is delicate and generally unreliable.",0.956,76
"Bro, no bike company would be in business if they weren't getting a ""bank balance benefit"".",-0.296,20
"But even that is not communicated during that vid, or did I not see / hear it?",0.0,19
Can you donate me full groupset xx1,0.0,7
Did a bunch of Shimano engineers go over to SRAM?,0.0,11
Don't be such a shill.  This is even more ridiculous than metric shocks and 15mm axles.,-0.659,18
Don't think I would run XTR 980 on a DH bike... SixC all the way baby. BB bearings are cheap and the stiffness is worth it.,0.2263,29
"Dude, we get it. You guys are really into your hipster beards.",0.0,15
Dude... you missed it... they've all got one NAME.  Problem solved! LOL,0.2558,16
Durability?  Let's put my 10 year old Chris king English bottom bracket up against a brand new sram one and see which fails first,-0.4215,25
E13 is the industry leader. BombProof.,0.0,8
"First create a problem, then offer a solution and don't forget to make people pay well for it.",0.4707,20
"Franz V People are criticizing the marketing double talk. This stuff is aimed at dummies that fall for advertising.

Without coming out and saying it directly, they are wording this to deceive people into thinking they're creating a single solution to the myriad BB standards out there. And that's not what's happening.

They're just unveiling a new product. Which is fine in its own, but not fine to misrepresent what it really is.",0.3071,81
Good  now i can buy that $400 carbon  crank and move it from bike to bike,0.4404,17
"Great stuff, shared: https://www.imbikemag.com/mountain-bike-news/2018/01/sram-dub-technology-a-single-solution/",0.7579,6
Have a guy write dub into his beard,0.0,8
"Henry Wolf Starfleet-Starbike threaded works, hope bb and shimano cranks job done!!! . 4 years same bearings and no noise.",0.3769,25
"Hey SRAM instead of making yet another specific spindle size/BB bearing size. Why don't you guys focus on fixing the decade old Juicy syndrome with your brakes, do better QC work with the Etap line and Zipp products, or better yet bring some product manufacturing back stateside.",0.7003,53
"Hey, anyone mind giving my MTB channel a quick check? I am 18 and I am determined to get recognition for my work, many hours go into each and every video!                                                                                         
Be sick if you left a sub! Cheers everyone ! :)",0.8164,47
"How does 1.01 mm make seals better than traditional 30mm spindles? We're talking about 28.99.  Why not release all the new techs all at once (Eagle, DUB etc..) as a whole system.",0.4404,39
I believe this is also dubs as a hipster development center.,0.0,12
I can think of many improvements on other products Sram could consider.,0.3182,13
I can't belive that I wasted 6 minutes watching this vid without getting only the slightest information about what is really new about this design.,0.3875,26
I couldn't buy bike parts from a company that hires people with such poor judgement in mustaches.,-0.4767,18
I like SRAM brakes because they sing to me. I never feel alone on the trail. WOAOAOHAOAHAOAHAOAHWOAOWA,0.5007,19
I thought I was the only one. Those mustaches makes me want to switch to Shimano. Come on guys can you be any more hipster than that?,0.0772,30
"I wish i could work there, but no mustache :(",-0.7003,11
I won't be buying or running any SRAM drivetrain products.  Their engineering and marketing departments are mentally deranged.,0.0,20
I wonder if the lack of women or POC was as deliberate as the obnoxious facial hair.,-0.6486,18
