,sentiment,wordCount
"""JASON USE TO BREATHE!"" 
""Not anymore...."" 👏",0.0,13
"""JASON USED TO BREATHE""
""not anymore""",0.0,10
"""Jason used to breathe"" Not anymore",0.0,8
"""Jason used to breathe."" ""Not anymore."" Damn Casey xD",0.2732,15
"""Not anymore""

How dare you",0.0,7
"""OH MY GOD ARCHIE GOT HOT ""AHAHAHAHAHAH",0.2732,9
"""Omg, Archie got, Hawt"" HAHAHAHA IM DEAD",-0.7213,11
"""Shut up Archie"" 😂",0.0,6
#Get a house for Kev 😂❤️,0.0,8
#GetKevinAHogwartsHouse,0.0,1
#houseforkeivn,0.0,1
#kevinain'tnomuggle,0.0,1
#kevinneedsahousetoo #perpetuallyalone me too Casey me too 😂,0.0,8
#perpetuallyalone,0.0,1
#pineapplepizza4life,0.0,1
#themugglekevin,0.0,1
"''All 15 of them,'' AHA LMAO LOVE YOU SO MUCH CASEY!",0.897,17
'Best line' omg i love this boy 😍,0.8555,10
'Kevin needs a house too',0.0,7
"*Cheryl:*
JASON USED TO BREATHE.

Casey: “Not anymore.”

I can’t stop laughing at this for some reason. 😂",0.25,29
*I L O V E Y O U*,0.0,10
*Kevin’s a muggle*,0.0,7
*a couple of bestiesss* i screeched,0.0,8
"*clap clap*
MEME REVIEW",0.0,6
*clap* *clap* meme review *clap* *clap*,0.0,14
*i believe it is isopod hour*,0.0,8
*i c o n*,0.0,6
*icon*,0.0,3
"...and #perpetuallyalone

(σ՞ਊ՞) ayyyyyyyyeeeeee",0.0,10
1:15 true,0.4215,2
2:32 Is it me or is the second photo actually Dylan with black photoshopped hair....maybe I'm just trippin....,0.0,21
3:08 HARRY POTTER,0.0,3
3:14  you do realize jughead is a serpent so why wouldn’t he be part of slitherine,0.0,18
A couple of besties😂😭,0.0,6
AWWWW THIS IS PRECIOUS CASEY ILY,0.8442,6
Ahh Kevin... I remember when he has the greatest storyline in the The Archie Comics ever.,0.6369,18
All 15 of them,0.0,4
All 15 of them 😂,0.0,5
All of this is just adorable,0.4939,6
Am I the only one who thinks Casey looks a lot like Sam Cafflin and Ashton Irwin?,0.3612,18
