,sentiment,wordCount
#KATY IS QUEEN!!!,0.0,6
*well she naturally looks like Katy Perry! So...*,0.4199,12
+deviyannisitorus <3,0.4404,3
+doge_princess YES!!! What should we do next?,0.6496,12
+eandraharris YAS!,0.0,4
+ebonipride <3,0.4404,3
+faithvargas Stay tuned! ;),0.2942,6
+lifeofllamalady LOL! :) :),0.8697,6
+mimicu Thank you! <3,0.69,6
+riekeafrilla Right?! :),0.5093,6
+suvik Yay! Thank you!,0.7568,7
+youtubeaddicted Thanks for watching! What else would you like to see here?! :),0.8395,17
2:38 It just literally looked like Katy Perry's eyes.,0.3612,10
3:22 Wow she looks a lot like Katy!,0.7644,9
4:21 are my eyes playing tricks on me?,0.0772,9
4:22 THEY LOOK LIKE SISTERS,0.4995,5
4:22 whoa!!,0.0,4
4:22...! DAMN!!! IT'S KATY!! :o,-0.7185,13
4:24 WOAH WHAT,0.0,3
4:26 she looks so much like her here,0.4173,8
4:32 KATYYY?,0.0,3
ARIANA GRANDE,0.0,2
ARIANA GRANDE !!!!!,0.0,5
Actually look like Katie 😮,0.3612,5
Adele,0.0,1
Adele with katy.,0.0,4
Amy Stilton lmaooo,0.0,3
Ariana Grande,0.0,2
Ariana grande?,0.0,3
At 3:19 she looks exactly like Katy Perry and at 3:20 like Adele!,0.6476,14
At the last one they are the sameee,0.0,8
Babe dont open your mouth that much while posing.You could do without. Also all your looks were stunning,0.3818,19
Barbie,0.0,1
Best so far!!,0.6988,5
Blonde hair gave me kate plus 8 vibes,0.0,8
Bravo,0.0,1
Britney!! B*tch!,0.0,7
Buzzfeed's entire existence vs this make up artist.,0.0,9
Can you do DemiLovato,0.0,4
Can you do Lady Gaga next,0.0,6
Can you guys do Taylor swift next? Please and thank you💕,0.6808,13
DUDE I LOST MY SHIT,-0.7096,5
Danisha RIGHT?????,0.0,5
Do Ariana Grande,0.0,3
Do Ariana grande look,0.0,4
Do Bella Hadid,0.0,3
El segundo fue mi favorito!,0.0,6
Ella si que se parece a katy Perry !,0.0,9
Emma Watson,0.0,2
First step to transform into Katy Perry --> Look like Katy Perry!!!,0.5229,15
Great stuff!,0.6588,3
Great video! She looks just like Katy.,0.784,9
He's eyes are like real Kate Perry,0.3612,7
Her eyes,0.0,2
Her eyes like katy eyes!,0.4199,6
Here she is !!! The good hair and makeup artist,0.5826,12
Holy shit this so spot on!,-0.5983,7
How could u do lady without her victory rolls and 50s hair from first album!!!,0.0,18
How does she look more like Katy Perry than Katy Perry looks like Katy Perry?,0.6794,16
How is her skin so pretty?!???,0.0,11
I definitely think this girl should go short or purple or both!! Rocked it!,0.5538,17
I don't even have to read the titles to know which celebrity the girls are getting transformed into. Usually they resemble the celebrity to begin with. Knew this was Katy lmao😂,0.0,34
I dont understand one thing.... How do these look alikes of celebrities turn to be their big fans ?,0.0,20
"I love her it´s so cute , it´s a mix of Katy Perry face and Adele face",0.8429,21
I love these transformation videos!,0.6696,6
I really love your videos like this bc the girls you choose resembles the idols like... where or how'd you find their clones?,0.7902,25
I thought that was actually kart perry,0.0,7
I thought this was buzzfeed then I realised the makeup was actually good,0.4404,13
I thought you are Katy,0.0,5
I wanna get transformed into Gal Gadot!,0.0,8
I've been smiling the entire time😊,0.4588,7
I've seen this comment before....,0.0,6
IM SCARED AT HOW MUCH SHE LOOKS LIKE KATY,-0.1027,9
In some angles she looks like Katy and in sometimes she looks like Adele! 😮,0.6476,16
In the 2017 one I lost it they have to be twins!!!!! They looks completely the same except she's tanner!!!!,-0.5374,26
Is it just me that I find her kinda look like Rihanna,0.3008,12
"It would so funny that she gets outside with that transformation so paparazzis might think she is katy parry. Famous for 1 day , wouldn't it?",0.5777,28
It’s crazy how identical they look omg,-0.34,9
It’s really a coincidence that almost all the people that are transforming to the celebrity look almost the same even without the makeup,0.0,25
Izzy Azela,0.0,2
Jes Doh they have no contact so how do they get the money?,-0.296,14
KATE PERY,0.0,2
Kate Winslet pleasee,0.0,3
Katy Perry ver. 2.0,0.0,5
"Katy always looks gorgeous, her style is amazing",0.8316,9
Katy is that you?,0.0,5
Kris Jenner,0.0,2
LOOK NUMBER 2 LOOKS SO SO MUCH LIKE KATY!!! OMG,0.6391,13
"LOOL nice try, but I know her and she's always been obsessed with Katy!!!",-0.2561,18
Lady Gaga,0.0,2
"Lana Del Rey, Marina and the Diamonds",0.0,8
Lily Collins!,0.0,3
Liza Soberano!!,0.0,4
Looks like Katy and Jenna marbles had a baby,0.3612,9
Looks more like Emily blunt with too much makeup,0.4201,9
Loved this video. Looks almost exactly like Katy!,0.7516,10
Makeup artist KILLED this! 🙌🏼🙌🏼🙌🏼,-0.7597,11
Mata Pendejos They too busy being sanctimonious hypocrites with her money to care 💰,0.4939,14
Matt Nobrega,0.0,2
Matt Nobrega *Katy,0.0,4
Maybe Katy just found a long-lost sister of her's😉,0.0,10
Michael jackson or Beyonce,0.0,4
NINA DOBREV!,0.0,3
OMG HER FACES ABSOLUTELY LOOKS LIKE KATY PERRY!!!!!!,0.6055,11
OMG THE STYLISTS ARE SO GOOD,0.4927,6
"OMG! Is she Katy Perry? 
Where did they find her? I'm still shocked.",-0.4501,17
Oh my god why do they look so similar,0.2732,9
Oh my.... she already looks kinda like her without makeup!!!!,0.5228,14
Oh wow when they did the purple hair (2015 Grammys look) I literally thought it was Katy. Good job!,0.7901,23
Ok she totally looks like katty,0.6096,6
Omg,0.0,1
Omg she is really looks alot like Katy Perry😍😍😍,0.4144,12
Omg she looks just like her it's scary,-0.1779,8
"Omg, this one was spot on!!! 👍🏻",0.0,12
Omggg,0.0,1
Oml from certain angles she looks REALLY LIKE HER I'm not joking!!!!!!😱😱😍😍 pause especially @ 4:22 sooo similar!!!!!,0.8189,28
One of the best,0.6369,4
PLS DO MEGAN FOX NEXT,0.0772,5
Pia Wurtzbach,0.0,2
"Please, do BRITNEY SPEARS makeup evolution next time!!",0.4374,11
"Refinery29 
Katy Perry",0.0,4
"Refinery29 I don’t know, but I sure wish I could be the lucky one to be transformed!!",0.8953,23
Refinery29 Kate Winslet,0.0,4
Refinery29 ariana grande,0.0,4
Refinery29 emma Watson!!!,0.0,7
Refinery29 lana del rey!,0.0,6
Refinery29 the little mix girlss plz plz plz,0.0281,9
SHE LEGIT LOOK LIKE KATY PERRY OMG IM DYINGGGGG,0.3612,9
SHE LOOKS EXACTLY LIKE KATY OH MY GOD,0.5574,8
Serayah,0.0,1
She Looks Like Katy Perry & Zoey Deschanel,0.3612,8
She actually kind of looks like Katy Perry,0.3612,8
She actually look like katy omg  with or with out make up omg girl u slay .,0.3612,17
She alreAdy looks like her though,0.3612,6
She already looked  like Katy,0.3612,5
"She already looked like Katy Perry, but when they zoomed in on her eyes, I was like “damn”.",0.6124,23
She already looked like katy without make up,0.3612,8
She already looks like Katy perry. 😁,0.3612,8
She could also pull of hailee steinfield?,0.0,8
She could be Katy’s twin omfg,0.0,8
She doesnt look like katy when she smiles but holy fuck the blonde version looks SO MUCH LIKE KATY HOLY FUCK,-0.6478,21
She has beautiful eyes like katy 😍,0.7506,7
She is katy perry on her side profile. LIKE LITERALLY.,0.4995,12
She kind of looks like jenna marbles,0.3612,7
She literally looks like Katy Perry especially from the side.,0.3612,11
She looked so good with the purple and blonde hair!;),0.6166,12
She looks JUST like Katy,0.3612,5
She looks Katy perry without makeup also.,0.0,8
She looks a lot like her from the side,0.3612,9
She looks just like Katy Perry😍😍😍,0.3612,9
She looks like Katy Perry and Jenna Marbles had a baby.,0.3612,12
She looks like Katy Perry more than Katy Perry,0.3612,9
She looks like Katy already but her jaw is a bit to long and square compared to Katy,0.1901,18
She looks like Katy omg,0.3612,5
She looks like Katy perry even without makeup,0.3612,8
She looks like a mix of Katy perry and Jenna marbles lol,0.6486,12
She looks like katy !!,0.4738,6
She looks like katy!,0.4199,5
She looks more Katy Perry than Katy does,0.0,8
She looks so much like Katy some times,0.4173,8
She looks so much like her!,0.4714,7
She naturaly looks like katy thou.,0.3612,7
She really looks like Katy Perry at the last look,0.4173,10
She reminds me of Katy but without the cute dimple.,-0.4973,11
She reminds me of Natalie from Love...actually,0.0,9
She's a mixture of Katy perry and Adele in a certain way,0.2732,12
Shes look like Katy more than Katy!,0.4199,8
Shoutout to the hair stylist for giving life to those party city wigs,0.6249,13
TAYLOR SWIFT,0.2023,2
THESE HAIR HATS MAKE MW SO JEALOUS!!! Where do you get those wigs? Look like they're home made.,-0.6292,23
TWINNING I LOVE ❤,0.6369,4
Taylor Swifttttt,0.0,2
That purple wig suited you sooo much!!!,0.0,10
"The blonde hair made her look like Katy the most, but other than that she kinda looked like her",0.6124,20
The eye closeups remind me of jenna marbles for some reason,0.0,11
The first one they looked like the same person,0.3612,9
The hair stylist sucks. In every video the hair is done so poorly.,-0.3612,15
The make up artist did an AMAZING job on this. Wow,0.876,12
"The makeup artist is so good, like wtf",0.3519,9
The one thing that is different is her jaw,0.0,9
The thing about these transform videos is you need someone who ALREADY looks like them .,0.3612,16
"The upper part of her face (eyes, brows, hairline) looks identical to katy's. @__@",0.0,20
Their eyes are like..TWINS!,0.0,7
They even have the same eye color 😍,0.0,8
"They have the same eye shape...
Think thats why she looks so much like Katy....",0.4173,17
They’re so much alike !!! Beautiful women,0.6981,11
This is the best one I have seen.,0.6369,9
This is the best transformation! !!!!.......actually really I can't defined real katy perry,0.7482,18
"This lady is beautiful & a dead ringer for Katy Perry! Her skin is to die for. Hats off to the MUA, she kills the game in every video! ❤️",-0.855,35
This makeup artist tho! Get it girl!!,0.0,10
"Those fangs are just..... 






......like mine.",0.0,8
Trending at 22k views wtf,-0.5859,5
Twins 😱 I love Katy so much,0.6369,7
Wh does Katy Perry's parents say she has sold her soul to Satan?,0.0,14
"When she screamed at the final reveal , I’m like same",0.0516,13
Which celebrity do you want to see next? Comment below :),0.5106,12
Why does she look more Katy than the actual katy perry?,0.0,12
Winona Ryder,0.0,2
Winona Ryder!,0.0,3
Wow she is real pretty with or without the Katie Perry look. Wow!,0.902,15
Wow she looks so much like her,0.7635,7
Wow she's so gorgeous. She looked STUNNING with the purple and that look.,0.9086,15
Wow the makeup artist is amazing!,0.8356,7
Wow the makeup artist is so good,0.8196,7
YOOO SHE LOOKS LIKE KATY PERRY IN CERTAIN ANGLES,0.5574,9
You guys make these so well! I love how everyone you bring in looks like the person you are recreating them into in some way! Definitely the best transformation videos out there💕,0.9532,35
You kinda look like her...,0.3008,6
You look like Katy Perry already!,0.4199,7
You should do Effie Trinket,0.0,5
You should do marilyn munroe,0.0,5
ariana grande!!,0.0,4
awesome,0.6249,1
can someone tell me what song have they used at 4:10 please?,0.3182,13
ciaraaa,0.0,1
doppelganger,0.0,1
holy crap when she turns on her side she looks so much like Katy I had to double check.,0.046,20
