,sentiment,wordCount
""" those are almost full coverage "" if I wore those swim bottoms I would get smacked by my mom",0.0,20
"""Yes it's conservative, we have long sleeves on.."" 😂 You know what Amber i agree with you!",0.6696,22
"""Yes this is a conservative look we have long sleeves on"" I literately cant with u anymore, I'm crying",-0.1027,22
"""Yes, this is conservative. We have long sleeves on."" Why is this so me 😂😂😂",0.0,22
"""because its cheap and cute!""",0.0,8
*Cool,0.0,2
*Whoever read this I hope YOU follow your dreams! 🤘🏼 My dream is to be a successful YouTuber 💕💝*,0.9035,24
.,0.0,1
0:13 CHRISTIAN?! WHAT HAPPENED TO YOU?! CHRISTIAN U OK? You folded cardboard Christian you😂😂😂,0.6196,22
1 totally love this video!! And 2 what is the name of your camera??,0.7534,18
AMBER YOU'RE LOOKING AMAZINGLY FIT !!!! your abs!!!! gahhhhhhh i can see you've been working hard at the gym xoxo,0.8758,25
"AMBER! Will you please do a 90's inspired lookbook, kind of like what Cardi B is wearing in the Finesse music video? I'd love to see your take on 90's vibes!",0.9098,39
Also can you do a shoe collection video pls,0.0772,9
Also does anyone know where to get some low block heel sock boots?,-0.6124,14
Amber Grey actually sounds like a good name tbh,0.6808,9
Amber Has An Awesome Body Shape.,0.6249,7
"Amber I got a Pun.

DO you wanna hear a pizza joke? Well never mind. It's to Cheesy. 🤣",0.5106,23
Amber I just saw your video with marlin!,0.0,9
"Amber I literally can't get over how stunning you look, you could pull of literally any look. Love itttt. Much love❤❤",0.7783,26
Amber Scholl the sweetheart of youtube.,0.6486,7
Amber can you do a video on your astrological birth chart? It tells you a lot about your personality!,0.0,21
Amber do a workout routine video! You’re body is looking snatched!,0.0,15
"Amber no disrespect but H&M is rascist,  they made a sweater that said "" coolest monkey in the jungle"" and let a black kid wear it. But if u want to shop there ...",-0.2617,39
Amber plz have a week without your eyelashes just mascara ( but you have lash extensions don’t you)😅😅😂😂😂🤣🤣,0.0387,28
Amber why are you receiving so much hate? Its unbelievable,-0.4902,11
Amber you need a doggie 🙂😃,0.0,7
"Amber, please make hair tutorials. I love your hair!!!",0.8114,14
And well put together,0.2732,4
Andreea Enache ...you re welcome,0.4588,6
Andreea Enache ..she is 1.65 and 28 years old. She really has a boyfriend who is 12 without a dick,0.4023,22
Are you with Marlin,0.0,4
CAN YOU PLEASE DO A DIY DIAMOND WATCH,0.5719,8
Can u do a 5 days without makeup challenge pls 💗,-0.1139,11
Can u do an outfit inspired for Lee Hi from her music video my start please,0.6705,16
Can you do an updated eye lash extensions routine?,0.0,10
"Can you make a ""cool school kid look book""",0.3182,11
Coool I love it you are Awsome!!,0.6988,9
Cutieee,0.0,1
D. Sch. Thank you soo much,0.3612,8
Did an ad for 50 shades of grey appeared right in time when you clicked on this video😂 or is it just me,0.0516,24
Do an Amazon purse video! 💋,0.2481,7
Does anyone also find it funny when she dances in look 5... She's my favorite.... I love you Amber..😍😘,0.7964,24
Does anyone remember if Amber has depop,0.0,7
Enjoyed every single bit of this video💋💋💋❤❤❤,0.5106,13
Every single time amber posts a look book i feel more beautiful and make me wanna walk around my house in heels love you amber❤️❤️,0.8553,29
FIFTY SHADES OF AMBER ❤️❤️❤️,0.0,10
Favorite vid so far 😍😍 love these looks!!,0.8421,11
Fifty Scholls of Styles,0.0,4
Fifty looks of Grey,0.0516,4
Girl how r you really single because you’re so good,0.5777,12
God my future wife,0.2732,4
Grey never look so good,0.6048,5
HIGH WAIST JEANS AND SKIRTS ARE SO FUCKING UGLY. THE ARE MAKE YOUR ASS SO BIG,-0.8111,17
HOOOW DO YOU LOOK SO GOOD IN EVERYTHING? how.,0.6867,11
Hahaha harry styles,0.5574,3
Have u ever got the urge to put tan lotion on ur feet? Lol ❤ you!,0.4753,18
Have you been working out Amber?!!?! I SEE ABS! AHHH😍,0.0,17
Her and her Harry cutout. I can't deal! She's just like me😂😂,0.4199,16
"Hey amber love your videos, ,,love how u make stuff look stinky cute lol,,,i made a video just for you.how can I send it to you directly, ,,plus hope to meet you one day :)",0.891,45
"Hiiii 
I love your channel, your like, my IDEAL youtuber! Your fun, creative, and love to express yourself through fashion!!! 
Luv U!",0.9732,31
"How do you edit all of your AMAZING videos? P.S. you are my idol; i've been watching your videos for a few days now and each one is it's own kind of awesome. My confidence has grown just from watching your videos; I have no idea what your doing, but keep on doing it.",0.6927,63
How do you remove your body hair??,0.0,9
How is Fifty Shades of Grey thriving in the #methree era?!,0.126,13
How is amber single,0.0,4
How she still look fabulous with a pineapple head?,0.5267,10
How tall are you ? By The way I LOVE your videos and of course you ❤️🖤,0.7125,19
I DIED when I saw Harry,-0.6523,6
I always shop in the guys section lol 😂,0.4215,9
I am watching this video thinking how someone can be that pretty and funny at the same time.... And here I am looking like a potato... 😂,0.8225,29
I don't give a shit about girls fashion but she is so hot that I somehow end up watching all her videos.,0.2411,23
I don't think I've ever seen someone have so much fun filming a lookbook before...,0.5542,16
I dont know why but u feel like ive outgrown amber....,0.5023,12
I just found her channel and she reminds me of the little girl in Despicable Me,0.0,16
