,sentiment,wordCount
"""chivol inferno a dipimo ! "" wonder wtf that means",-0.6239,11
"#BIGREDMACHINE😲😲
#THEBEAST😷😷
#THEMONSTERAMONGMEN🤗🤗
#BIGREDMACHINE WINS😂😂😘😘😘😍😍😍",0.0,19
#Kane is the best in your world and #Randi orton best,0.8555,11
#brocklesnardestroyseveryone,0.0,1
1 choke slam is not enough for Beast,-0.7269,8
2018?,0.0,2
"22 milion subscribers!!!!!
oh my lord",0.0,9
2:36-2:41 wtf?,-0.5859,4
2:41 listen to the sound,0.0,5
3:14 lol,0.4215,2
"3:14- Brock-"" Well that was a good nap""",0.6124,11
Aamir,0.0,1
Act like you brave heyman Act like that,0.8126,8
Actually my favorite is Roman but brock is best,0.8316,9
Ah kane needs to go back in shape and grow his hair again,0.0,13
And change that awful mask that looks like a kid toy,-0.128,11
And people think it's real! :D,0.6514,7
Asuka vs kane,0.0,3
B r o k e 🔥 is my favourite wrestler,0.0,10
BLOOK LESNAG,0.0,2
Beard Lesnar looks Badass,-0.1531,4
Beer Gut Kane,0.0,3
Both are Weste fellows,0.0,4
"Braun Strowman faced Lesnar at No Mercy and Somoa Joe at Great Balls of Fire! Kane can to after WrestleMania, only this time get the title!!!",0.6331,31
Braun Strowman will powerslam Kane because he superplexed the big show and Brock lesnar will leave WWE!!!!!,-0.3331,20
Bro I saw a YouTuber there ayyyy,0.0,7
Brock,0.0,1
"Brock Lesnar lost some muscles, he was stronger in his 20's.",0.0772,15
Brock iam biggest of you in thr world,0.0,8
Brock is back,0.0,3
Brock is machine monster and best,0.6369,6
"Brock is the best in wwe ) 
and if he return to ufc he should be the best in ufc ))",0.8555,22
Brock lesnar fears no challenger? He refused to fight the big show twice that I recollect,-0.8074,17
Brock lesnar vs Barack Obama,0.0,5
Brock lesner good strong,0.7351,4
Brock son of goldberg,0.0,4
Brock taker,0.0,2
Brock vs Roman,0.0,3
Brok super,0.5994,2
Broke is king wwe,-0.4215,4
Bruan storoman vs goldburg watch this match,0.0,7
Brutal fight,-0.7717,2
CHOKE SLAM CITY,-0.7269,3
Can anyone make out what Heyman said at the end?,0.0,11
Come on Brock! 🙌🙌🙌🙌,0.0,7
Come on if undertaker loses to brock how can he lose to kane?,-0.6124,14
"Damn Kane has been on wwe since the 90's, cool to see he's still on here",-0.1027,19
Did u hear the undertaker sound entrance,0.0,7
"Don't care how old he is, Kane really needs to get himself in better shape and go back to the way he was was when he first started, mask, costume, and all.",0.0701,37
EGO ON BREAK CAKE EDITION WE TALK WRESTLE KINGDOM STERDUST PRO WRESTLING EGO AND I GET HIT WITH A CAKE SO LIKE SUBSCRIBE  FAVORITE  AND SHARE SHARE SHAR Ehttps://youtu.be/lzxsn2IJIMc,0.9411,32
Empty seats,-0.2023,2
Eu não gosto desses dois,0.0,5
First time seeing joker(Kane) with Brock..... for goodsake don't create rivalry of mask joker with beast...let the joker first beat WWE minnows and come,0.048,30
Give me 1 miliönnnnnngk kfjfjjfbbnfngbfbsjqj2z1tź,0.0,6
Gold dust still out here😂😂😂,0.0,8
Goldberg can kill the beast 😈😈 or u can call him Brock lesnar,-0.6908,14
Good brock,0.4404,2
Great video,0.6249,2
Grow the beard from UFC,0.0,5
HAVE TO Be SO RUDE U MF HAVE TO RUDE,-0.889,10
"Hello, Humans. My name is Terrance. Do you want to become a part of something special? Join our Youtube family by subscribing to our channel. All Humans are welcome in the Tramaine Terrance family. All you need to do is, come on over to our channel and hit that awesome subscribe button. Join us, Humans. We want you there with us. Subscribe now, Humans.

TERRANCE OUT",0.93,79
"I Loveee Sheamusss
But Kane nice
Qadeer irani",0.4215,8
I bet brock could take out the whole roster,0.0,9
I don't even watch tennis⚾ how did I get here,0.0,11
"I havent watched WWE in months, and I come back to see they put the mask back on Kane again.. smh",-0.3182,23
I hope rey mysterio return to wwe and beat that (Beard lesnar),0.4404,14
I like Brock lesner,0.3612,4
I like that,0.3612,3
I like that  moment@3:15,0.3612,7
I like wwe it's is so cool,0.6696,7
I love Jon Seena,0.6369,4
"I love Kane so much and I hope he wins, but he doesn’t he needs to retire I would definitely miss him but I really think he needs to ❤️🔥 he is always gonna be my favorite demon",0.9132,43
I love you brock lenser wwe,0.6369,6
I'm Cory Koller!!!,0.0,6
I'm going to be there on Saturday January 27 2018!!!!,0.0,13
I'm rooting for Strowman.,0.0,5
I'm sure this was the beginning of an UnderLesnar story,0.3182,10
"I've always been confused about the whole Mark/smark thing where you know it's not real but pretend it is, and get angry at people breaking the illusion. It's basically theater in the round and it think they could do a lot more with it if everyone would just openly maintain their suspension of disbelief like any other fiction.",-0.3412,63
Im not watching wwe anymore at least they can keep pyro for kane he is very old wwe superstar now no pyro later no titantron and then no music,-0.6808,29
Is it just me or is Kane outta shape,0.0,9
"Is it me ,or is Brock's beard on 144p quality.",0.0,12
"It's hard to believe that there are people who, in the XXI century, still believe in this plain hoax. It's crystal clear that this all is fake. ww Entertainment.",-0.0516,34
Jesus Brock is a scary individual.,-0.4939,7
"KOGDA ONI UZHE BUDUT PIZDIT'SYA, SUKI!!!!",0.0,10
Kane 1998 > 2018 WWE sucks now,-0.3612,7
Kane Is Just Another Version Of UnderTaker,0.0,7
Kane and jeff hardy the best ones still wrestling,0.7845,9
Kane got a little fat XD,0.6433,6
Kane has became a Joke 😂,0.296,6
Kane is best he is greatest of all time in WWE history,0.8555,12
Kane is new championship,0.4404,4
